qstr_Received_{reg0}_dama|Recebeu {reg0} dano.
qstr_an_ORC^_serving_the_W|um Orc,^ servindo ao Mão-Branca
qstr_one_of_the_URUK_HAI^|um dos URUK-HAI,^ criado em Isengard
qstr_a_MAN_of_Dunland^_th|um Homem da Terra Parda,^ das Planícies Ocidentais
qstr_Click_the_center_but|Clique no botão para alternar entre a facção centro ^ clique os avatares para ver os detalhes deles
qstr_Level:_{reg3}^Health|Nível: {reg3}^Saúde: {reg4}
qstr_Attributes|Atributos
qstr_STR^AGI^INT^CHA|FOR^AGI^INT^CAR
qstr_Skills|Perícias
qstr_Ironflesh^Power_Stri|Pele de Ferro^Ataque Forte^Arremesso Forte^Tiro Forte^Escudo^Atletismo^Montaria^Arquearia Montada
qstr_Proficiencies|Proficiências
qstr_1H_Weapons^2H_Weapon|Armas de 1 mão^Armas de 2 mãos^Armas de Haste^Arcos^Bestas^Arremesso
qstr_Equipment|Equipamento
qstr_The_Last_Days_Mod_Op|Opções do Mod The Last Days
qstr_War_Starts_at_Level:|Guerra começa no nível:
qstr_Restrict_Player_Equi|Restringir Equipamento de Jogador:
qstr_Battle_Formations_an|Formações de Batalha e IA:
qstr_Native|Nativo
qstr_TLD_FormAI__Original|TLD Formato de IA (Original)
qstr_TLD_New_FormAI|TLD Novo Formato de IA
; qstr_Siege_AI:__|Siege AI:  
; qstr_Basic__better_perfor|Basic (better performance)
; qstr_Advanced|Advanced
; qstr_Campaign_difficulty:|Campaign difficulty:  
; qstr_Hard|Hard
; qstr_Default|Default
; qstr_Easy|Easy
qstr_Cutscenes:__|Cinemáticas:
qstr_Injuries_for_compani|Ferimentos por companheiros:
qstr_Permanent_death_for_|Morte permanente para Senhores e Companheiros:
qstr_Permanent_death_for_p|Morte permanente para o jogador (este é VOCÊ!):
qstr_Battle_morale_system|Sistema de Moral para Batalha:
qstr_Animal_ambushes:__|Emboscadas de animais:
qstr_Fallen_rider_damage_|Mensagens de dano ao cair do cavalo:
qstr_No_Messages|Sem Mensagens
qstr_Player_damage_only|Dano ao jogador apenas
qstr_All_Messages|Todas as mensagens
qstr_Preferred_Camera_Mod|Modo de Câmera Preferido:
qstr_Default_Camera|Câmera padrão
qstr_Free_Mode_Custom_Cam|Modo câmera livre
qstr_Fixed_Over_The_Shoul|Câmera Acima do Ombro Fixada:
qstr_Prevent_AI_from_taki|Previna IA de tomar a defensiva:
qstr_Brighter_Nights:__|Noites mais claras:
qstr_Done|Finalizado
qstr_Gameplay_Tweaks|Ajustes de Jogabilidade
qstr_Beta_Formations_Twea|Ajustes de Formação Beta
; qstr_Set_to_Native_if_you|Set to Native if you encounter any types of AI problems during battle.
; qstr_Disable_cutscenes_if|Disable cutscenes if you encounter any crashes at the start of the war.
; qstr_Campaign_Difficulty_a|Campaign Difficulty affects abundance of volunteers, lord party size, and strength income for allied factions.
qstr_War_Will_Start_at_Le|Guerra começará no nível {reg0}
; qstr_Be_aware_that_many_q|Be aware that many quests and campaign mechanics scale with player level. Increasing this setting will give you more time to prepare, but will make the war unfold quicker.
qstr_Troop_Tree|Árvore de Tropas
qstr__Click_on_a_unit_for|(Clique numa unidade para detalhes)
qstr_Weapons|Armas
qstr_Armors|Armaduras
qstr_Others|Outros
qstr_F4___Complex_formati|F4 - Formações Complexas
qstr_F7___Memorize_div._p|F7 - Memorizar Posição de Divisões
qstr_F8___Default_divisio|F8 - Posição de Divisões Padrão
qstr_F4___Ranks|F4 - Fileiras
qstr_F5___Shield_Wall|F5 - Parede de Escudos
qstr_F6___Wedge|F6 - Formação de Cunha (Wedge)
qstr_F7___Square|F7 - Quadrado
qstr_F8___No_Formation|F8 - Sem Formação
qstr_Extended_Formations_|Formações Ampliadas e Opções de IA
qstr_Put_player_in_divisi|Colocar jogador na divisão:
qstr_None|Nenhum
qstr_Army_rotates_to_face|Exército rotaciona para encarar centro da formação inimiga:
qstr_Prevent_AI_from_takin|Prevenir IA de tomar a defensiva:
qstr_AI_Controls_Troops_W|IA Controla tropas quando o jogador está nocauteado:
qstr_You_gained_{reg0}_Re|Você ganhou {reg0} Pontos de Recursos de {s0}.
qstr_You_lost_{reg0}_Reso|Você perdeu {reg0} Pontos de Recursos de {s0}.
qstr_{s24}:|{s24}:
qstr_Great_Hope_of_{s5}|Grande Esperança de {s5}
qstr_Hope_of_{s5}|Esperanças de {s5}
qstr_Indispensable_Ally_o|Aliado Indispensável de {s5}
qstr_Faithful_Ally_of_{s5|Aliado Fiel de {s5}
qstr_Trusted_Friend_of_{s|Amigo Confiável de {s5}
qstr_Close_Friend_of_{s5}|Amigo Próximo de {s5}
qstr_Friend_of_{s5}|Amigo de {s5}
qstr_Familiar_to_{s5}|Familiar de {s5}
qstr_Known_to_{s5}|Conhecido de {s5}
qstr_Stranger_to_{s5}|Desconhecido para {s5}
qstr_Great_Enforcer_of_{s|Grande apoiador de {s5}
qstr_Enforcer_of_{s5}|Apoiador de {s5}
qstr_Important_Ally_of_{s|Aliado importante de {s5}
qstr_Ally_of_{s5}|Aliado de {s5}
qstr_Accomplice_of_{s5}|Cúmplice de {s5}
qstr_Useful_Tool_of_{s5}|Ferramenta útil de {s5}
qstr_Servant_of_{s5}|Servo de {s5}
qstr_Unknown_to_{s5}|Desconhecido para {s5}
qstr_You_have_been_{reg1?|Você foi {reg1?promovido:rebaixado} para {s24} ({reg0})!
qstr_You_{reg1?earned:los|Você {reg1?ganhou:perdeu} {reg11} pontos de classificação {reg12?e {reg12} influência:}com sua facção natal {s11}.
qstr_You_{reg1?earned:lost|Você {reg1?ganhou:perdeu} {reg11} pontos de rank {reg12?e {reg12} influência :}com {s11}.
qstr_You_spent_{reg10}_of|Você gastou {reg10} da sua influência com {s1}, restando {reg11}.
qstr_Troop_upkeep:|Custo das tropas:
qstr_{s11}_and_{s10}|{s11} e {s10}
qstr_their|deles
qstr_its|dele
qstr_[no_upkeep_costs]|[sem despesas]
qstr_Short_of_Resource_Po|Poucos Pontos de Recursos!!
qstr_{s10}_will_soon_reas|{s10} logo convocará de volta algumas das tropas de {s12} no seu destacamento!
qstr_Superior_orders_from|Ordens superiores de {s11} para reatribuir tropas:
qstr_{reg12}_{s10}_left_t|{reg12} {s10} deixou o destacamento!
qstr_Fangorn_claimed_{reg|Fangorn reivindicada {reg0} mortos e {reg1} feridos de suas tropas!
qstr_You_were_wounded_in_|Você foi ferido em Fangorn!
qstr_{s1}_of_{s3}_was_def|{s1} de {s3} foi derrotado em batalha.
qstr_{s2}_have_razed_{s1}|{s2} arrasou {s1}!
qstr_Left_for_dead_but_mi|Deixado para morrer mas sobreviveu miraculosamente: {reg1?{reg1} tempo{reg2?s:}:NUNCA}
qstr_1_Res.Pt__{s2}_|1 pto. recursos ({s2})
qstr_{reg1}_Res.Pts__{s2}|{reg1} pto. recursos ({s2})
qstr_+30_to_Party_Morale|+30 de moral do destacamento
qstr_+20_to_Party_Morale|+20 de moral do destacamento
qstr_+1_to_Riding_Skill|+1 em habilidade de cavalgar
qstr_during_battles|durante batalhas 
qstr_+1_to_Pathfinding|+1 em encontrar o caminho
; qstr_+2_to_Wound_Treatmen|+2 to Wound Treatment (Party)
; qstr_+2_to_Surgery__Party|+2 to Surgery (Party)
; qstr_+2_to_Pathfinding__P|+2 to Pathfinding (Party)
qstr_Use_from_Camp_Menu|Usar do Menu do Acampamento
qstr_Use_from|Use de
qstr_Action_Menu|Menu de Ação
; qstr_Bonus_to_Wound_Treat|Bonus to Wound Treatment (Party)
; qstr_Bonus_to_Surgery__Pa|Bonus to Surgery (Party)
; qstr_Bonus_to_First_Aid__|Bonus to First Aid (Party)
qstr_+1_to_Weapon_Mastery|+1 em Maestria em Arma
qstr_+1_to_Wound_Treatmen|+1 em Tratamento de Ferimento
qstr_+1_to_Tactics|+1 em Táticas
qstr_+1_to_Power_Strike|+1 em Ataque Forte
qstr_+1_to_Strength|+1 em Força
qstr_+1_to_Agility|+1 em Agilidade
qstr_+1_to_Leadership|+1 em Liderança
qstr_+1_to_Wildcraft|+1 para Criação Selvagem
qstr_+1_to_Tracking|+1 em Rastreamento
qstr_+1_to_Athletics|+1 em habilidade atlética
qstr_when_equipped|quando equipado
qstr_+1_to_Power_Draw|+1 Força de puxão
qstr_The_record_of_Balin_|O registro da expedição perdida de Balin.
qstr_Who_might_be_interes|Quem estaria interessado nisto?
qstr_Bonus_to_Shield_Skil|Bônus à Habilidade com Escudo
qstr_Turns_nature_to_your|Volte a natureza para o seu lado
qstr_when_equipped.__Effe|quando equipado. (Escala efeitos com Sobrevivência na Natureza)
qstr_Bonus_to_Power_Strik|Bônus ao Poder de Golpe
qstr_+1_to_Trainer|+1 em Treinador
qstr_Recruits_Tribal_Orcs|Recruta Orcs Tribais
qstr_rally|reunir
qstr_rallies|reunião
qstr_+{reg1}_{s3}_in_batt|+{reg1} {s3} em batalha
qstr_+1_to_Charisma|+1 em Carisma
; qstr_Call_Reinforcements|Call Reinforcements
; qstr__Effect_scales_with_|(Effect scales with Strength and Charisma)
qstr_+1_to_First_Aid|+1 em Primeiros Socorros
qstr_+1_to_Surgery|+1 em Cirurgia
qstr_+1_to_Intelligence|+1 em Inteligência
qstr_+2_to_Surgery|+2 em Cirurgia
qstr_+1_to_Riding|+1 em Montaria
qstr_+1_to_Mounted_Archer|+1 em Arquearia Montada
qstr_Bonus_to_Riding|Bônus à Montaria
qstr_when_equipped.__Effec|quando equipado. (Escala efeitos com Força)
qstr_Orcs:_+1_Riding_Requ|Orcs: +1 Montaria Requerida
qstr_+1_to_Prisoner_Mgmt|+1 em Administração de Prisioneiros
qstr_+2_to_Tactics|+2 em Táticas
qstr_+1_Intelligence|+1 Inteligência
qstr_+{reg1}_to_Spotting|+{reg1} para Observação
qstr__Scales_with_Wildcra|(Escalas com Sobrevivência na Natureza)
; qstr_Strengthens_all_Hero|Strengthens all Heroes
; qstr_+2_to_First_Aid__Par|+2 to First Aid (Party)
; qstr_lead_more_Uruks|lead more Uruks
qstr_+1_to_Power_Throw|+1 em Poder de Arremesso
; qstr_Recruit_Black_Numeno|Recruit Black Numenoreans from various places
; qstr__Scales_with_Charism|(Scales with Charisma. Human leaders only.)
qstr_+1_to_Spotting|+1 em Observação
; qstr_+2_to_Weapon_Master|+2 to Weapon Master
; qstr_+2_to_First_Aid|+2 to First Aid
qstr_Less_Dunnish_upkeep|Menor Despesa com Terra-pardenses
qstr_Less_Wargs_upkeep|Menor Despesa com Wargs
qstr_Light_Armor|Armadura Leve
qstr_Bonus_to_Strength__P|Bônus em Força (Jogador apenas)
qstr_Lead_more_Orcs|Lidere mais Orcs
; qstr_Can_scare_horses|Can scare horses
qstr_+{reg1}_to_Party_Mor|+{reg1} em Moral do Destacamento
qstr_Range:_{reg55}|Alcance: {reg55}
qstr_Dwarves|Anões
; qstr_Humans_and_Elves|Humans and Elves
; qstr_Orcs|Orcs
; qstr_Uruks_and_Uruk_Hai|Uruks and Uruk-Hai
; qstr_Humans_Uruks_and_Uru|Humans, Uruks, and Uruk-Hai
; qstr_Humans|Humans
; qstr_This_item_can_be_use|This item can be used by {s2}
qstr_Do_you_want_to_disem|Deseja desembarcar?
qstr_Move_here|Mover aqui
qstr_View_notes|Ver anotações
qstr_Looted_your_items|Saqueou seus itens
qstr_nothing|nada
qstr_Good|Bom
qstr_Med|Médio
qstr_Bad|Ruim
qstr_You_gained_{reg84}_e|Você ganhou {reg84} de experiência com sua inteligência.
; qstr_You_gained_{reg84}_w|You gained {reg84} weapon points from your agility.
qstr_{reg4}_killed_{reg5}|{reg4} Mortos, {reg5} Incapacitados, {reg6} Afugentados
qstr_{reg4}_killed_{reg5}_|{reg4} Mortos, {reg5} Incapacitados
qstr_{reg4}_killed_{reg5}_r|{reg4} Mortos, {reg5} Afugentados
qstr_{reg4}_wounded_{reg5|{reg4} Incapacitados, {reg5} Afugentados
qstr_killed|morto
qstr_routed|Afugentado
qstr_wounded|Incapacitado
qstr_{s0}^TOTAL:_{reg3}__|{s0}^TOTAL: {reg3} ({s2})
qstr_^None|^Nenhum
qstr_near_the_Great_East_|perto da Grande Estrada Leste, a estrada velha abandonada
qstr_near_what_is_left_of|perto do que restou da Velha Estrada da Floresta, o caminho ancestral dos anões que cruzava a densa floresta
qstr_close_to_the_Hand_sh|perto do sinal da mão de Saruman, apontando para a torre de Orthanc
qstr_in_sight_of_the_maje|à vista dos muros majestosos de Minas Tirith, a Cidade Branca
qstr_in_sight_of_Edoras_t|à vista de Edoras, capital de Rohan
qstr_in_sight_of_the_Horn|à vista de Hornburg, a grande fortaleza de Rohan
qstr_in_sight_of_Dol_Amro|à vista de Dol Amroth, o trono dos Príncipes de Belfalas
qstr_in_sight_of_the_Mora|à vista de Morannon, o Portão Negro de Mordor
qstr_in_sight_of_Dol_Guld|à vista de Dol Guldur, fortaleza norte de Sauron
qstr_on_the_green_pasture|nas pradarias verdes e nos prados floridos cercando a casa de Beorn
qstr_on_the_shores_of_Lak|nas margens do Lago Mirrormere, perto do Portão Leste de Moria
qstr_on_the_shores_of_the|nas margens do Lago Longo, à vista de Esgaroth, a Cidade do Lago
qstr_near_the_coast_of_Go|próximo à costa de Gondor. Você consegue ouvir o som distante de ondas e os gritos das gaivotas.
qstr_in_the_outskirts_of_|Nos arredores de Osgilliath, antiga capital de Gondor
qstr_in_sight_of_the_entr|à vista da entrada de Erebor, o forte Anão
qstr_in_sight_of_the_dark|à vista da Torre Negra de Orthanc
qstr_near_the_Old_Ford_wh|perto do Velho Vau, onde a Velha Estrada da Floresta atravessa o Rio Anduin
qstr_near_a_big_ford_cros|perto de um grande vau que atravessa o Rio {s15}
qstr_near_a_small_ford_cr|perto de um pequeno vau que atravessa o Rio {s15}
qstr_Battle_Advantage_=_{ = "Vantagem de Batalha = {reg0}."
qstr_{s9}_wants_you_to_re|{s9} quer que você continue seguindo seu exército até segunda ordem.
qstr__Being_Raided_|(Sendo Invadida)
qstr__Looted_|(Saqueada)
qstr__Under_Siege_|(Sob Cerco)
qstr_{s3}_is_no_longer_un|{s3} não está mais sob cerco.
qstr_Enemies_spotted_near|Inimigos avistados perto de {s1}.
qstr_Your_relation_with_{|Sua relação com {s1} melhorou.
qstr_Your_relation_with_{s|Sua relação com {s1} piorou.
qstr_{s1}_gained_faction_|{s1} ganhou poder da facção!
qstr_{s1}_lost_faction_st|{s1} perdeu poder da facção!
qstr_{s2}_{reg3?was:is_cu|{s2} {reg3?estava:está agora} em {s3}.
qstr_{s2}_{reg3?was:is}_t|{s2} {reg3?estava:está} viajando para {s3} e {reg4?ela:ele} {reg3?estava:deve estar} perto de {s4}{reg3?: no momento}.
qstr_{s2}_{reg3?was:is}_i|{s2} {reg3?estava:está} em uma região selvagem e {reg4?ela:ele} {reg3?estava:deve estar} perto de {s3}{reg3?: no momento}.
qstr_{s2}_{reg3?was:is}_b|{s2} {reg3?estava:está} preso em {s3}.
qstr_{s2}_{reg3?was:has_b|{s2} {reg3?foi capturado pelos:está sob custódia dos} inimigos {reg4?dela:dele}.
qstr_{reg3?{s2}_s_locatio|{reg3?A localização de {s2} é desconhecida:Eu não sei onde {s2} está}.
qstr_{s6}_has_joined_your|{s6} se juntou ao seu destacamento
qstr_elven|élfico
qstr_dwarven|anão
qstr_orc|orc
qstr_uruk|uruk
qstr_uruk_hai|uruk-hai
qstr_trollish|troll
qstr_man|homem
qstr_riding|cavalgando
qstr_marching|marchando
qstr_charging|investindo
qstr_We_know_this_is_your|Nós sabemos que esta é sua terra, {playername}.^Confie em nós, nós estamos aqui para batalhar um inimigo em comum.
qstr_I_trust_you._{s20}_a|Eu confio em você. {s20} e {s21} deveriam ser amigos e confiar um no outro.
qstr_There_is_wisdom_in_y|Há sabedoria em suas palavras, {playername}.
qstr_Why_should_I?_Better|Porque eu deveria? Melhor deixar as terras de {s20}.
qstr_We_will_go_in_peace_|Nós iremos em paz, assim que completarmos nossa missão, sobre a qual, nós não podemos lhe falar, sinto muito.
qstr_Is_this_your_land_{p|Essas são suas terras, {playername}? Esse lugar fede.^Mas fique calmo, nós somos aqui em {s20} apenas seguindo ordens de nosso mestre.
qstr_Yes_go_on_do_whateve|Sim, faça o que {s22} disser.
qstr_Of_course.|Certamente.
qstr_I_don_t_like_this._W|Eu não gosto disso. O que o traz aqui, todo o caminho desde {s21}?
qstr_Do_you_fear_us_{play|Você nos teme, {playername} de {s20}? hum, o que está escondendo de {s22}?^^Nos deixe em paz, e ninguém se machuca.
qstr_It_s_a_servant_of_{s|É um servo de {s22}. Tema {s23}, {playername}!
qstr_Our_allies_are_you?_|Aliados nossos? Acho que você pode passar.
qstr_And_we_shall_not_kil|E nós não iremos lhe matar, por enquanto.
qstr_This_land_belongs_to|Essas terras pertencem a {s20}... não há nada aqui para {s23}.
qstr_We_will_stay_as_long|Nós ficaremos enquanto nosso mestre mandar! Agradeça ao seu destino que nós não viemos por você.
qstr_You_wear_the_colors_|Você usa as cores de {s20}. O que traz você a {s21}?^Fale rápido!
qstr_We_are_pursuing_our_|Nós estamos perseguindo nossos inimigos, que também são seus inimigos!
qstr_Maybe._Or_maybe_you_|Talvez. Ou talvez vocês sejam espiões.^Volte para o seu lugar, soldado de {s20}.
qstr_We_are_friends_of_{s|Nós somos amigos de {s21}.
qstr_Time_will_tell_if_yo|O tempo dirá se você diz a verdade. É difícil diferenciar amigo de inimigo hoje em dia.
qstr_What_are_you_doing_h|O que você faz aqui em {s21}, escória de {s20}? Esse lugar é nosso, não seu!
qstr_You_dare_question_di|Você ousa questionar ordens diretas de {s23}?
qstr_Guess_not._But_I_sti|Acho que não. Mas eu ainda não gosto de você por aqui.^Eu estarei de olho em você, {playername} de {s20}.
qstr_None_of_your_busines|Não é da sua conta, porco!
qstr_*growls*^You_should_|*rosnado*^Você deveria estar feliz de lutar por nosso Mestre, de outro modo você não escaparia com essa.
qstr_What_are_you_doing_s|O que faz tão longe de casa, escravo de {s22}? Por essas bandas, {s23} é o Mestre!
qstr_Quiet!_I_didn_t_came|Quieto! Não vim por você. Dessa vez.
qstr_And_I_ve_orders_to_l|E eu tenho ordens para te deixar passar. Dessa vez.
qstr_None_of_your_business|Não é da sua conta.
qstr_You_slaves_of_{s22}_|Vocês escravos de {s22} são fracos! Vocês tem sorte que nós consideramos vocês aliados...
qstr_Look_whom_we_meet_so|Olhem quem nós encontramos longe de casa: soldados de {s20}! São boas novas ou más?
qstr_{s20}_and_{s21}_figh|{s20} e {s21} lutam pela mesma causa. Nós deveríamos cooperar nessa terras hostis.
qstr_In_these_dark_times_|Nesses tempos sombrios, é cada um por si, {playername}.^Mas eu desejo a você uma jornada para a casa em segurança.
qstr_Neither_good_nor_bad|Nem bom, nem ruim. Nossos negócios são da nossa conta.
qstr_Everybody_on_his_way|Cada um no seu caminho, então.
qstr_What_are_you_trying_|O que você está tentando fazer, {s20} escória? Roubo ou espólios?
qstr_Ha!_Soon_there_will_|Ha! Logo haverão espólios para todos.
qstr_Yes._Unless_you_get_|Sim. A menos que você morra antes.
qstr_You_don_t_get_any_sp|Você não fica com nada se estiver morto, escória de {s21}.
qstr_Is_that_a_threat?_Be|Isso é uma ameaça? Seja agradecido que temos inimigos para matar antes da sua vez chegar.
qstr_The_enemy_is_upon_us|Os inimigos estão sobre nós! ^
qstr_They_are_upon_us!_^|Eles estão sobre nós! ^
qstr_{playername}_and_{hi|{playername} e sua ralé de {s18} estão sobre nós! ^
qstr_ORCS!_ORCS!|ORCS! ORCS!
qstr_ORCS!_ORCS!_Fight_fo|ORCS! ORCS! Lutem por suas vidas!
qstr_Elven_ghosts!|Fantasmas dos elfos!
qstr_Here_they_come!_Hold|Aqui vem eles! Mantenham as fileiras!
qstr_We_are_under_attack!|Estamos sob ataque!
qstr_Horse_people!_The_ho|O Povo dos Cavalos! O Povo dos Cavalos está sobre nós!
qstr_Men_from_the_White_C|Homens da Cidade Branca? Deixe-os vir, para sua morte!
qstr_Death_to_men!|Morte aos Homens!
qstr_Kill_the_maggots!|Morte aos vermes!
qstr_Death_to_traitors_of|Morte aos traidores do Olho!
qstr_Death_to_traitors_of_|Morte aos traidores da Mão Branca!
qstr_{s14}Kill_them_all!_|{s14}Matem todos! Sem prisioneiros!
qstr_Tonight_we_feast_on_|Hoje a noite nos banquetaremos com carne {s15}!
qstr_Gharr!_Kill!_Kill!_K|Gharr! Matem! Matem! Matem!
qstr_Slaughter_these_half|Matem os pequeninos!
qstr_Fear_no_elven_ghosts|Não temam nenhum fantasma dos elfos!
qstr_{s14}Double_rations_|{s14}Ração em dobro para aquele que trouxer mais cabeças!
qstr_{s14}Double_rations_t|{s14}Ração em dobro para aquele que trouxer mais cabeças de {s15}!
qstr_{s14}Kill_these_hors|{s14}Matem esses ladrões de cavalos!
qstr_Kill_them_all!_Take_|Matem todos! Tomem de volta o que é nosso!
qstr_Tonight_there_will_b|Hoje a noite {s16} terá um inimigo a menos!
qstr_Baruk_Khazd!_Khazd_a|Baruk Khazâd! Khazâd ai-mênu!
qstr_{s14}Riders_of_Rohan|{s14} Cavaleiros de Rohan! Lembrem-se pelo o que vocês lutam!
qstr_{s14}More_{s19}heads|{s14}Mais cabeças de {s19} para decorar os portões de Morannon!
qstr_The_Wise_Master_shal|O Sábio Mestre ficará satisfeito quando mostrar o corpo de {playername}!
qstr_{s14}Now_we_will_put|{s14}Agora nós vamos por um fim no sofrimento dessas coisas malditas.
qstr_{s14}Today_we_shall_|{s14}Hoje nós devemos batalhar com os inimigos de Imladris e de tudo que é justo.
qstr_All_who_enter_Mirkwo|Todos que entrarem na Floresta das Trevas com malícia nunca deverão sair!
qstr_Men_of_{s16}_the_ene|Homens de {s16}, o inimigo está aqui! Lutem por sua terra!
qstr_Men_of_{s16}_charge!|Homens de {s16}, Atacar! Lutem por sua terra!
qstr_{s14}Grind_their_bod|{s14}Triturem seus corpos na areia!
qstr_{s14}Dwarves_or_men_|{s14}Anões ou Homens, Eles não são páreo para nossa fúria!
qstr_{s14}Elves_or_men_th|{s14}Elfos ou Homens, Eles não são páreo para nossa fúria!
qstr_{s14}Flesh_to_shatte|{s14}Carne para rasgar, gargantas para cortar, sangue para derramar!
qstr_Put_on_the_masks_of_|Ponham as máscaras de guerreiros, Homens! Hoje a ruína cairá sobre nossos inimigos!
qstr_They_seek_the_tempes|Eles buscam a tempestade, e a encontraram! Homens, preparem-se para lutar!
qstr_Draw_your_weapons_me|Preparem suas armas homens, a tempestade foi solta sobre nossos inimigos!
qstr_Orcs_of_{s16}_get_re|Orcs de {s16}, se preparem! Aqui estão algumas gargantas para serem cortadas!
qstr_These_friend_of_elve|Esses amigos dos elfos caíram sob nossa lâminas!
qstr_These_Elves_will_fal|Esses Elfos cairão sob nossas lâminas!
qstr_Raahh!_Draw_your_wea|Raahh! Preparem suas armas, escória de {s16}! Hoje nos banquetearemos em entranhas de {s15}!
qstr_Rha!_{s14}More_{s15}|Rha! {s14}Mais corpos {s15} para desfigurar com nossas armas amaldiçoadas!
qstr_Slaughter_these_puny|Destruam esse ladrões fracos de {s18} agora! Depois queimem suas casa e matem suas famílias.
qstr_Death_to_the_trespas|Morte aos invasores das terras de {s16}!
qstr_CHARGE!_Let_s_clear_|ATACAR! Vamos limpar a escória de {s18} {s19}de {s17}!
qstr_{s14}Now_that_{s19}s|{s14}Agora a escória de {s19} vai experimentar a fúria do povo urso!
qstr_Attack!|Ataque!
; qstr_You_are_attacked_by_|You are attacked by a group of bandits!
qstr_Holding|Segurando
qstr_Following|Seguindo
qstr_Charging|Investindo
qstr_Advancing|Avançando
qstr_Falling_Back|Recuando
qstr_Standing_Closer|Se aproximando
qstr_Spreading_Out|Se espalhando
qstr_Standing|Em posição
qstr_N/A|N/A
qstr_Free|Livre
qstr_Any_Weapon|Qualquer Arma
qstr_Blunt_Weapons|Armas de Impacto
qstr_Infantry__{reg1}_|Infantaria ({reg1})
