menu_start_game_1|^^^^^^^^^^Per cosa combatti ?
mno_start_minmo|Nelle miniere di Moria
mno_start_cliff|Tra le rocce del monte Gundabad
menu_start_gondor_mt|^^^^^^^^^^Seleziona il tuo Lignaggio:
mno_start_1_com|Cittadino Comune
mno_start_2_hib|Alto Lignaggio
menu_start_haradrim|^^^^^^^Sei un Haradrim,^un Uomo del Deserto.^Seleziona il tuo lignaggio:
mno_start_1_des|Uomo del Deserto
mno_start_2_far|Uomo delle Tribù del Lontano Harad
menu_choose_gender|^^^^^^^^^^Il tuo sesso ?
mno_start_male|Uomo
mno_start_female|Donna
mno_proc|Prosegui
mno_continue|Continua...
menu_character_report|^^^^^Morale della Compagnia: {reg8}^Limite Dimensioni Compagnia: {reg7}^{s5}
menu_camp|^^^^Sei a {s1}.{s2}^^Cosa vuoi fare ?
mno_camp_scene|Ispeziona la zona.
mno_camp_troop|Rassegna{reg10? truppe:}{reg12? e:}{reg11? prigionieri:}.
mno_camp_action|Usa un oggetto.
mno_camp_wait_here|Accampati qui per qualche tempo.
mno_camp_options|Cambia le opzioni di TLD.
mno_Cheat_enable|Abilita opzioni cheat/modding.
menu_game_options|^^^^^^^^Clicca su un'opzione per attivarla:
mno_game_options_restrict_items|Equipaggiamento del giocatore limitato: {s7}
mno_game_options_formations|Formazioni di battaglia e IA: {s7}
mno_game_options_town_menu|PNG delle città sempre accessibili dal Menu: {s7}
mno_game_options_cutscenes|Scene d'intermezzo: {s7}
mno_game_options_injuries|Ferite per i compagni: {s7}.
mno_game_options_death|Morte permanente per nobili e compagni: {s7}.
mno_game_options_death2|Morte permanente per il giocatore (sei TU !): {s7}.
mno_game_options_morale|Calcolo del morale in battaglia: {s7}
mno_game_options_animal_ambushes|Imboscate degli animali: {s7}
mno_game_options_tweaks|Modifiche al gameplay...
mno_game_options_back|Ritorna al menu del campo.
menu_camp_tweaks|^^^^^^^^Seleziona un'opzione che vorresti modificare.
mno_tweak_options_compat|Modifiche di compatibilità...
mno_tweak_options_strat|Modifiche di strategia...
mno_tweak_options_back|Ritorna al menu delle opzioni.
menu_camp_compat_tweaks|^^^^^^^^Clicca su un'opzione per modificarla (tieni premuto shift per diminuire):^(sono parametri per la compatibilità, non sono trucchi)
mno_game_options_compat_party|Numero massimo di membri per le compagnie: {s1}
mno_game_options_compat_back|Ritorna al menu delle modifiche.
menu_camp_strat_tweaks|^^^^^^^^Clicca su un'opzione per attivarla:^(attenzione: questi sono trucchi !)
mno_strat_tweaks_siege_reqs|Forza richiesta per assedi: {s7}
mno_strat_tweaks_siege_relax_rate|Relazione della richiesta di forza per assediare: {reg1}
mno_strat_tweaks_regen_rate|Tasso di rigenerazione della forza: {s7}
mno_strat_tweaks_siege_regen_limit|Le fazioni non si rigenerano sotto: {reg1}
mno_strat_tweaks_influence_gain_rate|Tasso d'influenza guadagnata: {s7}
mno_strat_tweaks_rank_gain_rate|Tasso di Rango guadagnato: {s7}
mno_strat_tweaks_back|Ritorna al menu delle modifiche.
menu_camp_action|^^^^^^^^^ Quale oggetto ?
mno_camp_customize_defilement|Personalizza armatura corrotta
mno_camp_drink_water|Bevi l'acqua Ent !
mno_camp_action_4|Indietro.
menu_assasins_attack_player_won|Hai sconfitto con successo gli assassini da {s2}, inviati da {s3}.
menu_assasins_attack_player_retreat|Sei scappato, salvandoti la vita!
menu_fangorn_danger|^^^^^^Strano, senti rumori minacciosi intorno a te.^Sono gli alberi a parlare ? C'è un senso di profonda ira e di dolore nell'aria.^I tuoi ordini ?
mno_be_quiet_elf|Rispetta l'odio degli alberi. Allontanati silenziosamente.
mno_be_quiet|Abbassa le armi e rimani calmo ! Ora via da qui !
mno_be_bold|Continua ! Non ho paura delle piante e di vecchie leggende !
mno_fight_back|Mettetevi a cercare ! Ispezionare l'area ! Abbattete e bruciate un albero o due !
menu_fangorn_search_fails|^^^^^^Esplori l'oscura, fitta foresta ma non trovi niente.^Eppure, ti senti osservato e minacciato, sempre di più.
menu_fangorn_battle_debrief_won|^^Vittoria !^^^Così questo era il significato di tutte le leggende su Fangorn...
menu_fangorn_killed_player_only|^^^^^^Osservi nella fitta, oscura foresta.^All'improvviso vieni colpito da qualcosa ! Forse un pesante ramo è caduto sulla tua testa ?^Rimani svenuto per qualche minuto. Sei ferito seriamente ma puoi continuare.
mno_ow_get_out|Ahi ! Andiamocene da questo posto maledetto !
menu_fangorn_killed_troop_and_player|^^^^^^Osservi nella fitta, oscura foresta.^^All'improvviso vieni colpito da qualcosa ! Forse un pesante ramo è caduto sulla tua testa.^^Svieni per qualche minuto, quando ti riprendi, noti con terrore che non tutte le tue truppe sono state così fortunate.^^
menu_fangorn_killed_troop_only|^^^^^^Osservi nella fitta, oscura foresta. Le tue truppe sono terrorizzate.^^ All'improvviso, senti un urlo provenire da dietro ! Ti affretti a dirigerti verso il grido, solo per trovare alcune truppe a terra in una pozza di sangue.^^Di altre hai perso ogni traccia...
mno_get_out|Andiamocene da questo posto maledetto !
menu_can_capture_troll|Il troll selvaggio abbattuto continua a respirare !^^I suoi occhi malvagi continuano a fissarti pieni di dolore e rabbia.^Anche adesso che è stato abbattuto, e giace inerme nella sua pozza di sangue, ha un aspetto tremendamente pericoloso...
mno_killit|Spediscilo, ora. Assicurati che muoia.
mno_cageit1|Ingabbialo e portatelo dietro.
mno_cageit2|Ingabbialo insieme all'altro troll.
mno_cheat_disabable|Disattiva le opzioni di cheat/modding.
menu_drank_ent_water_human|^^^Bevi l'acqua. Ha un sapore pulito e rinfrescante. Ha una piacevole fragranza, come di muschio.^Ti senti rinvigorito.^^Comunque, hai anche uno strano, innaturale presentimento. Qualcosa ti dice che faresti meglio a non bere mai più questa acqua.
menu_drank_ent_water_orc|^^^Bevi l'acqua. È semplicemente acqua.^Improvvisamente, afferri la tua gola, in un raptus di dolore.^Avvelenato !^Soffochi, sputi sangue nero, stai quasi per passare a miglior vita.^^Fa male, oh.. quanto fa male.
mno_i_shall_surv|Io...devo...sopravvivere !
menu_end_game|^^^^^La decisione è presa, e consiste nell'abbandonare la tua vita da avventuriero insieme a tutto il resto. Vendi le tue armi e le tue armature, insieme a tutti i tuoi averi, e cavalchi verso il tramonto...
mno_end_game_bye|Addio.
menu_cattle_herd|Incontri alcune persone.
mno_cattle_drive_away|Ordinagli di seguirti.
mno_cattle_stop|Conducili ad accamparsi.
mno_leave|Abbandona.
menu_simple_encounter|^^^^^{s2}^Hai {reg22} truppe pronte per la battaglia contro {reg11} delle loro.^^Luogo della battaglia: {s3}{s4}.^^I tuoi ordini ?
mno_encounter_attack|{reg21?Carica !:Prepariamoci ad affrontarli}.
mno_encounter_order_attack|Ordina alle tue truppe di {reg21?attaccare:affrontarli} senza di te.
mno_special_whip|Corri in avanti verso di loro rompendo il {s4}.
mno_encounter_leave|Ritirati.
mno_encounter_retreat|Ritirati, lasciando alcuni soldati dietro di te per coprire la ritirata.
menu_encounter_retreat_confirm|Come membro della compagnia con le abilità di tattica più elevate,  ({reg2}), {reg3? escogiti:{s3} escogita} un piano che permetterà a te e i tuoi uomini di scappare in salvo, ma dovrai lasciare {reg4} soldati indietro a coprire la ritirata.
mno_leave_behind|Procedi. Il sacrificio di questi uomini salverà molte vite.
mno_dont_leave_behind|No. Noi non lasciamo nessuno indietro.
menu_encounter_retreat|^^^^^Ordini a {reg4} delle tue truppe di impegnare il nemico mentre ti ritiri con il resto della compagnia.
menu_order_attack_begin|^^^^^^ Le tue truppe si preparano ad attaccare il nemico.
mno_order_attack_begin|Ordina che l'attacco abbia inizio.
mno_call_back|Chiamali indietro.
menu_order_attack_2|^{s4}^Le tue perdite: {s8}^^Perdite nemiche: {s9}
mno_order_attack_continue|Ordina ai tuoi soldati di continuare l'attacco.
mno_order_retreat|Fai ritirare i tuoi soldati.
menu_kingdom_army_quest_report_to_army|{s8} manda a dire che vuole che tu ti unisca alla sua nuova campagna militare. È necessario portare almeno {reg13} truppe per l'esercito, e sei incaricato di arruolare più guerrieri con la dovuta rapidità se non ne hai abbastanza.
mno_reject|Invia un messaggio in cui dichiari di essere troppo impegnato.
mno_send_word|Fagli sapere che presto ti unirai a lui.
menu_kingdom_army_quest_messenger|{s8} manda a dire che vuole parlare con voi di un compito che ha bisogno di eseguire. Egli chiede di andare a consultarlo al più presto possibile..
menu_kingdom_army_quest_join_siege_order|{s8}  manda a dire che si sta per unire l'assedio di {s9} in preparazione di un assalto. Le tue truppe devono prendere {s9} a tutti i costi.
menu_kingdom_army_follow_failed|Hai disobbedito agli ordini e non sei riuscito a seguire {s8}.  Manda un messaggio che presuppone che tu hai questioni più urgenti, ma mettiti in guardia la sua pazienza non è illimitata.
menu_battle_debrief|{s11}^Le tue perdite:{s8}{s10}^^Perdite nemiche:{s9}
mno_inspect_troll|Esamina il troll abbattuto
menu_pre_join|^^^^^Ti imbatti in una battaglia che vede come avversari {s2} e {s1}. Decidi di...
mno_pre_join_help_attackers|Muoviti in aiuto di: {s2}.
mno_pre_join_help_defenders|Corri in soccorso di {s1}.
mno_pre_join_leave|Non farti coinvolgere.
menu_join_battle|^^^Assisti {s2} contro {s1}.^ Hai {reg22} truppe pronte per affrontare le {reg11} del nemico.^^Luogo dello scontro: {s3}{s4}.
mno_join_attack|Carica il nemico.
mno_join_order_attack|Ordina alle tue truppe di attaccare al fianco degli alleati mentre tu rimani nelle retrovie.
mno_join_leave|Ritirati.
menu_join_order_attack|{s4}^^I tuoi caduti: {s8}^^Caduti alleati: {s9}^^Caduti nemici: {s10}
mno_enter|Entra.
menu_battlefields|^^^^^^^^^Seleziona un campo...
mno_enter_f1|Campo 1
mno_enter_f2|Campo 2
mno_enter_f3|Campo 3
mno_enter_f4|Campo 4
mno_enter_f5|Campo 5
menu_join_siege_outside|^^^^^^{s1} è stata assediata da {s2}.
mno_approach_besiegers|Avvicinati al campo d'assedio.
mno_pass_through_siege|Passa attraverso le linee degli assedianti ed entra a {s1}.
menu_cut_siege_without_fight|Gli assediati ti lasciano avvicinare al cancello senza sfidarti.
menu_besiegers_camp_with_allies|{s1} rimane sotto assedio. Gli stendardi di {s2} sventolano sopra al campo degli assedianti, dove tu e le tue truppe siete i benvenuti.
mno_talk_to_siege_commander|Richiedi un incontro con il comandante.
mno_join_siege_with_allies|Unisciti al prossimo assalto.
mno_join_siege_stay_back|Ordina ai tuoi soldati di unirsi al prossimo assalto senza di te.
menu_moria_must_escape|^^Il libro sembra essere un resoconto dell'ultimo tentativo dei nani di ristabilirsi a Moria. Tentativo che apparentemente sembra essersi concluso con una morte terribile per tutti i soggetti coinvolti. Sfogliando le pagine, ti imbatti nelle parole 'vero argento ! Studiando il libro improvvisamente comprendi che si tratta della descrizione delle scorte segrete naniche e che queste dovrebbero trovarsi nei livelli inferiori. Hah ! Non sarebbe fantastico riportare alla luce il Mithril nanico da tempo perduto !? ^Con entusiasmo cerchi di seguire la strada, scendendo in uno stretto e tortuoso tunnel... ^...^Dopo un paio d'ore d'infruttuosa ricerca capisci che ti sei perso nelle profondità di Moria e che ora devi cercare la via per uscirne.
mno_moria_exit_scene|Trova la via d'uscita !
menu_castle_outside|Sei fuori da {s2}.{s11} {s3} {s4}
mno_moria_enter|Ritorna nel salone principale di Moria attraverso l'entrata segreta
mno_moria_enter_door|Entra a Moria.
mno_castle_start_siege|Assedia {reg6?}.
mno_castle_leave|Abbandona.
menu_castle_besiege|Stai assediando {s1}. {s2} {s3}
mno_siege_request_meeting|Richiedi un incontro con il comandante del castello.
mno_wait_24_hours|Aspetta fino a domani.
mno_castle_lead_attack|Guida i tuoi soldati in un assalto.
mno_attack_stay_back|Ordina ai tuoi soldati di attaccare mentre resti nelle retrovie...
mno_build_ladders|Prepara le scale per attaccare le mura.
mno_lift_siege|Abbandona l'assedio.
menu_siege_attack_meets_sally|^^^^^^I difensori fanno una sortita per contrastare il tuo assalto.
menu_construct_ladders|In quanto membro della compagnia con maggiore abilità Ingegneristica ({reg2}), {reg3?stimi:{s3} stima} che impiegherete {reg4} ore per costruire abbastanza scale d'assedio per condurre l'assalto.
mno_build_ladders_cont|Fallo.
menu_castle_attack_walls_simulate|{s4}^^Le tue perdite: {s8}^^Perdite nemiche: {s9}
menu_castle_attack_walls_with_allies_simulate|{s4}^^I tuoi caduti: {s8}^^Caduti alleati: {s9}^^Caduti nemici: {s10}
menu_castle_taken|{s3} ha perso le sue truppe, e adesso tu hai il pieno controllo del {reg2?town:castle}. {reg1? Sembrerebbe che non ci sia nulla ti impedisce di prenderlo per te ...:}
menu_castle_taken_2|{s3} ha perso le sue truppe, e adesso hai il pieno controllo del castello. E tempo di passare parola a {s9} riguardo la tua vittoria. {s5}
mno_castle_taken_no_claim|Non pretendere una ricompensa.
menu_siege_started_defender|{s1} sta lanciando l'assalto contro le mure di {s2}. Hai {reg22} soldati pronti alla battaglia conro i nemici di {reg11}. Decidi di...
mno_siege_defender_join_battle|Unirti alla battaglia.
mno_siege_defender_troops_join_battle|Ordinare ai tuoi uomini di partecipare alla battaglia senza di te.
menu_siege_join_defense|{s4}^^I tuoi caduti: {s8}^^Caduti alleati: {s9}^^Caduti nemici: {s10}
menu_village_hunt_down_fugitive_defeated|^^^^^ Un duro colpo da parte del fuggitivo ti manda a terra, mentre la testa ti gira vorticosamente la tua vista si spegne. Il tempo passa. Quando apri nuovamente gli occhi ti ritrovi malconcio e sanguinante, ma per fortuna nessuna delle ferite sembra essere letale.
menu_town_bandits_succeeded|^^^^^ I goblin cadono davanti a voi come il grano sotto la falce ! Presto scopri di essere l'unico rimasto in piedi, mentre la maggior parte dei tuoi nemici si trova privo di sensi, morto\no moribondo. Certamente le genti del posto ti saranno molto grate per averle salvate da questa minaccia.
menu_town_brawl_lost|^^^^^^Sei stato colpito a tradimento. Coloro che ti hanno attaccato si affrettano a frugarti in cerca di cose di valore, prima di darsi alla fuga.
menu_town_brawl_won|^^^^^Hai battuto tutti gli avversari e le guardie hanno riportato l'ordine. Velocemente cerchi oggetti di valore per poi sparire finchè non si calmano le acque.^Magari la prossima volta mostreranno più rispetto e faranno marcia indietro.
menu_close|Niente.
menu_town|Sei arrivato a {s60}.{s12}{s13}
mno_town_menu_0|Vai da qualche parte.
mno_town_menu_0_door|Porta che conduce verso un luogo.
mno_town_approach|Vai verso: {s1}...
mno_town_castle|Vai a: {s1}.
mno_town_castle_door|Portone del castello.
mno_town_center|Passeggia per la piazza principale...
mno_town_center_door|Porta per il centro della città.
mno_aw_chamber_door|Apri la porta.
mno_trade_with_arms_merchant|Visita {s40}.
mno_trade_with_horse_merchant|Visita {s41}.
mno_town_prison_door|Porta della prigione.
mno_dungeon_enter|Cerca le lance perdute all'interno delle montagne.
mno_dungeon_enter_door|Apri la porta.
mno_dwarven_warehouse|Visita il Magazzino dei Nani
mno_dwarven_warehouse_door|Entra nel Magazzino dei Nani
mno_talk_to_castle_commander|Visita le caserme di {s61}.
mno_speak_with_elder|Parla con il {s6}.
mno_isengard_underground|Dirigiti verso le caverne sotterranee 
mno_tirith_toplevel|Raggiungi il livello più alto
mno_town_leave|Abbandona...
mno_town_leave_door|Abbandona l'area
menu_disembark|Desideri sbarcare ?
mno_disembark_yes|Si.
mno_disembark_no|No.
menu_ship_reembark|Desideri imbarcarti ?
mno_reembark_yes|Si.
mno_reembark_no|No.
menu_center_reports|Nome della Città: {s1}^Entrate da rendite: {reg1} denari^Entrate da tariffe: {reg2} denari^Scorte di cibo: per {reg3} giorni
menu_sneak_into_town_suceeded|Camuffato in abiti da povero pellegrino, aggiri le guardie e riesci ad accedere alla città.
menu_sneak_into_town_caught|Non appena provi ad intrufolarti, una delle guardie ti riconosce e dà l'allarme ! Ti devi ritirare fuori dalle mura prima che le guardie ti piombino addosso!
mno_sneak_caught_fight|Prova a farti largo combattendo !
mno_sneak_caught_surrender|Arrenditi.
menu_sneak_into_town_caught_dispersed_guards|Ti liberi delle guardie e cancelli le tue tracce per non farti trovare, semini facilmente gli inseguitori nel dedalo di strade.
menu_sneak_into_town_caught_ran_away|Trovi una via di fuga attraverso il cancello e ti ritiri prontamente verso la salvezza sulle colline.
menu_tld_player_defeated|^^^^^ Improvvisamente senti un dolore dirompente alla nuca ! Il tuo corpo è scosso dai brividi mentre tutto si oscura attorno a te... ^ E' questa la tua fine ?
menu_recover_after_death_fangorn|Ti svegli. La foresta ti circonda ancora e ogni osso ti fa male. Sei vivo, per miracolo.^^ E' stata una sconfitta, ma almeno sei in grado di vedere quello che è successo. ^Ora sai che cosa accade in questa foresta maledetta,^e sei sopravvissuto per raccontarlo. ^^Ti crederà mai qualcuno, quando lo farai ?
menu_recover_after_death_moria|^^^^^Riprendi conoscenza. Sei sdraiato su di un soffice manto erboso, una fresca brezza ti accarezza il volto. Sei all'esterno !^Gli orchi devono averti creduto morto e hanno scaricato il tuo corpo dentro un pozzo profondo.^Devi essere stato trasportato in superficie da un torrente sotterraneo.
mno_whatever|Alzati !
menu_recover_after_death_default|^^^^^Riprendi conoscenza. Giaci nel posto in cui sei caduto. I nemici devono averti creduto morto e ti hanno lasciato lì. Comunque, pare che nessuna delle tue ferite sia letale, e anche se ti senti in modo orribile, ti rendi conto di essere in grado di camminare. Ti alzi e cerchi altri sopravvissuti della tua compagnia.
menu_recover_after_death_town|^^^^Riprendi conoscenza a ti accorgi di trovarti nella periferia cittadina. Sei sopravvissuto ! Nessuno è nei paraggi e ne approfitti per allontanarti dalla città. Sembra che nessuna delle tue ferite sia letale, e anche se ti senti uno straccio, riesci ancora a camminare.
menu_recover_after_death_town_alone|Riprendi conoscenza e ti accorgi di trovarti nella periferia cittadina. Sei sopravvissuto ! Nessuno è nei paraggi e ne approfitti per allontanarti dalla città. I tuoi compagni ti trovano. Sembra che nessuna delle tue ferite sia letale, e anche se ti senti uno straccio, riesci ancora a camminare.
menu_notification_center_under_siege|{s1} è sotto assedio da parte di {s2} di {s3} !
menu_notification_one_side_left|^^^^^La Guerra dell'Anello è terminata !^^Il {s1} ha sconfitto tutti i nemici e ora si erge vittorioso !
menu_notification_total_defeat|^^^^^La Guerra dell'Anello è terminata per te !^^Il {s1} è stato sconfitto dai suoi nemici e tu sei rimasto solo nella sconfitta !
menu_notification_your_faction_collapsed|^^^^^La tua {s11} madrepatria è stata sconfitta !^Per ora, gli altri alleati continuano nella guerra. Tu, assieme a qualcuno rimasto di {s11}, potete ancora aiutare la vostra fazione a vincere.
menu_notification_faction_defeated|^^^^^{s1} È stato sconfitto !^{s1} non c'è più, essendo sconfitto dal esercito di {s13} !
menu_ruins|^^^^Ti avvicini a {s1}. In questo luogo, un tempo, un grande accampamento è stato raso al suolo, è ancora possibile vedere tracce di fortificazioni e vecchie armi arrugginite.
menu_legendary_place|^^^^Hai seguito le tracce ed hai trovato {s1}. Puoi esplorare questo posto e verificare da te se le indiscrezioni che hai sentito sono vere.
mno_explore|Esplora questo posto.
menu_ring_hunter_lair|^^^^Hai seguito il sentiero dei Cacciatori dell'Anello attraverso la foresta di Mirkwood e sei giunto a {s1}. Li vedi mentre stanno lasciando una cassa.
mno_attack_lair|Attaccali adesso
mno_leave_bandit_lair|Lascia per ora.
menu_starting_quest_good|^^^^^^Avvisti una piccola carovana sotto attacco da parte di una banda di orchi. Cos'hai intenzione di fare ?
mno_help|Aiuta gli stranieri !
mno_start_defend_caravan|Difendi la Carovana !
mno_start_raid_caravan|Saccheggia la Carovana !
mno_start_ambush_orcs|Un'imboscata degli Orchi !
mno_start_kill_scouts|Ferma gli esploratori dal segnalare il tuo arrivo !
mno_go_your_way|Lasciali al loro destino
mno_defend_villagers|Difendi gli abitanti del villaggio !
mno_raid_villagers|Razzia il Villaggio !
mno_go_away|Lasciali al loro destino
menu_custom_battle_choose_faction1|^^^^^^^^^^Scegli il tuo lato e il vantaggio:
mno_good_equal|Fazione buona
mno_bad_equal|Fazione malvagia
mno_replay_prev|Utilizza le impostazioni precedenti
menu_custom_battle_choose_faction2|^^^^^^^^^^Scegli una fazione buona
mno_cb_gondor|Gondor
mno_cb_gondor1|Rohan
mno_cb_gondor2|Lothlorien 
mno_cb_gondor3|Gran Burrone
mno_cb_gondor4|Bosco Atro
mno_cb_gondor5|Nani
mno_cb_gondor6|Dale
mno_cb_gondor7|Popolo di Beorn
menu_custom_battle_choose_faction3|^^^^^^^^^^Scegli una fazione malvagia
mno_cb_mordor|Mordor
mno_cb_mordor1|Isengard
mno_cb_mordor2|Dunland
mno_cb_mordor3|Haradrim
mno_cb_mordor4|Esterling
mno_cb_mordor5|Moria
mno_cb_mordor6|Gundabad 
mno_cb_mordor7|Rhun
mno_cb_mordor8|Corsari
mno_rescue_mission|Intrufolati nel covo dello stregone con il favore della notte.
mno_next_rescue_scene_door|Prosegui !
mno_pick_troops1|Scegli compagni per la missione, {reg0} selezionati
menu_pick_troops|Chi sceglierai a venire insieme a te nella missione ? Fino ad ora hai scelto {reg0} compagni. Puoi scegliere fino a 10 truppe.
mno_go_forward|Chiudi la selezione dei compagni e procedi.
menu_burial_mound|Ti avvicini al al tumulo di {s1} da {s2}. Sopra di esso è possibile vedere moltissime armi abbandonate dai suoi nemici caduti.
mno_pay_respects|Inginocchiati e rendi omaggio.
mno_swear_oath|Presta un giuramento di vendetta !
mno_despoil|Dissacra il sito
mno_leave_mound|Abbandona il tumulo.
