
str_yes|Si.
str_tutorial_1_msg_5|Come puoi vedere, c'è un bersaglio da arciere all'altro lato della stanza. Il tuo prossimo compito è quello di usare il tuo arco per infilare tre frecce nel bersaglio. Premi e tieni premuto il tasto sinistro del mouse per incoccare una freccia. Puoi quindi tirare la freccia rilasciando il tasto sinistro del mouse. Nota il reticolo del mirino al centro dello schermo, che mostra l'accuratezza del tuo tiro. In modo da ottenere un'accuratezza ottimale, scocca la freccia quando il reticolo è nelle dimensioni minime. Prova a colpire il bersaglio adesso.
str_tutorial_1_msg_6|Ben fatto! Hai appreso le basi delmovimento e dell'attacco. Con un po' di pratica sarai presto in grado di padroneggiarle. Nella seconda lezione potrai imparare ulteriori abilità avanzate sul combattimento e affrontare avversari armati. Ora puoi premere il tasto Tab per tornare al menu delle lezioni.
str_tutorial_2_msg_1|In questa lezione apprenderai come difenderti con uno scudo e come combattere avversari armati. Per il momento non hai altro equipaggiamento oltre allo scudo. Il tuo compito è quello di non attaccare ma di proteggerti con successo col tuo scudo. C'è un avversario armato che ti sta aspettando nella prossima stanza. Farà del suo meglio per stenderti, mentre tu dovrai proteggerti con lo scudo premendo e tenendo premuto il tasto destro del mouse. Vai nella prossima stanza per affrontare il tuo avversario. Ricorda che puoi premere il tasto Tab in qualsiasi momento per interrompere questa lezione o per uscire verso ogni altra parte del gioco.
str_tutorial_2_msg_2|Premi e tieni premuto il tasto destro del mouse per alzare lo scudo. Cerca di restare in piedi per trenta secondi. Mancano {reg3} all'inizio.
str_tutorial_2_msg_3|Ben fatto, hai fatto in modo di difenderti da un avversario armato. La fase successiva di questa lezione metterà te e il tuo scudo contro un gruppo di arcieri nemici. Muoviti nella prossima stanza quando vorrai affrontare gli arcieri.
str_tutorial_2_msg_4|Difenditi dalle frecce alzando lo scudo con il tasto destro del mouse. Cerca di restare in piedi per trenta secondi. Mancano {reg3} all'inizio.
str_tutorial_2_msg_5|Eccellente, hai eseguito con successo una difesa contro gli arcieri. C'è una ricompensa che ti attende nella prossima stanza.
str_tutorial_2_msg_6|Nella configurazione classica, il tasto F sulla tua tastiera viene usato per interazioni non violente con oggetti e persone nel mondo di gioco. Per prendere la spada sull'altare, guardala e premi F quando appare la parola 'Equipaggia'.
str_tutorial_2_msg_7|Una buona arma! Ora puoi usarla per rendere pan per focaccia. Torna indietro attraverso la porta e sbarazzati degli arcieri che hai affrontato prima.
str_tutorial_2_msg_8|Molto bene. Il tuo ultimo incarico prima di finire questa lezione è quello di affronare lo scudiero. Va oltre quella porta e mostragli il tuo acciaio!
str_tutorial_2_msg_9|Congratulazioni! Hai appreso come difenderti con uno scudo e hai anche avuto il tuo primo assaggio di combattimento contro un avversario armato. Fai ancora un po' di pratica e diverrai un rinomato spadaccino. La prossima lezione riguarda la direzione di difesa, che è uno dei più importanti elementi del gioco. Puoi premere il tasto Tab in qualsiasi momento per tornare al menu delle lezioni.
str_tutorial_3_msg_1|Questa lezione ha lo scopo di darti una panoramica sulle parate e la difesa senza scudo. Parare gli attacchi con la tua arma è un po' più complicato rispetto al bloccarli con uno scudo. Quando ti stai difendendo con un'arma, ti proteggi solo rispetto ad una direzione, ovvero quella verso cui la tua arma è puntata. Se stai facendo un blocco verso l'alto, parerai un attacco proveniente da quella direzione, ma non sarai in grado di fermare affondi o attacchi dai lati. Ogniuno di quegli attacchi sarebbe in grado di colpirti. Ecco perché, in modo da sopravvivere senza uno scudo, dovrai apprendere la difesa direzionale. Va a prendere l'ascia adesso per iniziare a far pratica.
str_tutorial_3_msg_2|Di base, la direzione verso cui ti difendi (premendo e tenendo premuto il tasto destro del mouse) è determinata dalla direzione dell'attacco dell'avversario più vicino a te. Per esempio, se il tuo avversario sta effettuando un colpo d'affondo, premendo e tenendo premuto il tasto destro del mouse parerà l'affondo, ma non gli attacchi dall'alto o dai lati. Devi osservare il tuo avversario attentamente e far partire la tua parata solo DOPO che il nemico avrà iniziato il suo attacco. Se inizi PRIMA che l'attacco sia partito, potresti fare una parata nella direzione sbagliata! Ora è giunto il momento di spostarci nella prossima stanza, dove dovrai difenderti da un avversario armato. Il tuo compito è quello di difenderti con successo per trenta secondi, senza altro equipaggiamento se non una semplice ascia. Gli attacchi sono stati disattivati in questa lezione, quindi non preoccuparti di attaccare e focalizzati sulla tua difesa. Spostati nella prossima stanza quando vorrai iniziare lo scontro.
str_tutorial_3_msg_3|Premi e tieni premuto il tasto destro del mouse per difenderti con la tua ascia, dopo che il tuo avversario avrà fatto partire l'attacco. Cerca di restare in piedi per trenta secondi. Mancano {reg3} all'inizio.
str_tutorial_3_msg_4|Ben fatto, hai avuto successo in questa prova! Ora sarai alle prese con un avversario più abile che ti renderà la vita più difficile. Spostati nella prossima stanza quando sei pronto a fronteggiarlo.
str_tutorial_3_msg_5|Premi e tieni premuto il tasto destro del mouse per difenderti con la tua ascia, dopo che il tuo avversario avrà fatto partire l'attacco. Cerca di restare in piedi per trenta secondi. Mancano {reg3} all'inizio.
str_tutorial_3_msg_6|Congratulazioni, hai fatto in modo di restare in piedi nonostante i migliori sforzi dell'avversario. È giunto ora il momento di attaccare oltre che difendersi. Avvicinati alla porta e premi il tasto F quando vedi la parola 'Entra'.
str_tutorial_3_2_msg_1|Gli attacchi della tua ascia sono ora riattivati. Il tuo primo avversario ti sta aspettando nella prossima stanza. Sconfiggilo con una combinazione di attacco e difesa.
str_tutorial_3_2_msg_2|Sconfiggi l'avversario con la tua ascia.
str_tutorial_3_2_msg_3|Eccellente. Adesso l'unica cosa che resta davanti a te è l'ultimo avversario. Si trova nella prossima stanza. Entra e stendilo.
str_tutorial_3_2_msg_4|Sconfiggi l'avversario con la tua ascia.
str_tutorial_3_2_msg_5|Ben fatto! In questa lezione hai appreso come poter combattere con abilità senza uno scudo. Addestrati duramente e impara bene, in questo modo nessuno sarà in grado di colpirti. Nella prossima lezione potrai imparare come cavalcare e combattere in sella. Puoi premere il tasto Tab in qualunque momento per tornare al menu delle lezioni.
str_tutorial_4_msg_1|Ti do il benvenuto alla quarta lezione. I questa sequenza apprenderai come andare a cavallo o cavalcare un warg e a come effettuare alcuni esercizi marziali a cavallo. Inizieremo con il montare. Avvicinati all'animale e premi il tasto 'F' quando vedrai la parola 'Montare'.
str_tutorial_4_msg_2|Mentre stai cavalcando, i tasti WASD controllano il movimento della tua cavalcatura, non il tuo. Cavalca il tuo animale e cerca di seguire le bandiere lungo il percorso. Quando raggiungi una bandiera, si attiverà la successiva fino al traguardo.
str_tutorial_4_msg_3|Molto bene. Ora ci occuperemo di nemici che attaccano da cavallo. Avvicinati alla bandiera.
str_tutorial_4_msg_4|Estrai la spada (usando la rotellina del mouse) e distruggi i tuoi bersagli. Cerca di colpire i manichini mentre li superi al galoppo - ciò rappresenta una sfida ulteriore, ma la maggiore velocità unita alla forza del tuo colpo ti permetterà di causare più danno. Il modo più semplice per fare questo è premere e tener premuto il tasto sinistro del mouse fino al momento giusto, rilasciandolo un attimo prima di superare il bersaglio.
str_tutorial_4_msg_5|Lavoro eccellente. Ora proviamo a tirare contro qualche bersaglio cavalcando. Ora va vicino alla bandiera.
str_tutorial_4_msg_6|Individua il bersaglio da arciere a lato del circuito e tira tre volte con il tuo arco. Sebbene non sia obbligatorio calvacare mentre si tira, è consigliabile che tu provi a colpire il bersaglio a velocità e ad angoli differenti, per avere un'idea di come la velocità e la direzione della tua cavalcatura influiscono sulla tua mira.
str_tutorial_4_msg_7|Congratulazioni, hai terminato questa lezione. Puoi premre il tasto Tab quando vuoi per tornare al menu delle lezioni.
str_tutorial_5_msg_1|Ti do il benvenuto alla quinta ed ultima lezione, che ti fornirà una breve panoramica sul comando delle truppe in battaglia, uno degli aspetti più importanti.^^Il primo meno di comando che dovrai apprendere riguarda i comandi di movimento, che appariranno premendo il tasto F1. Premilo ora e osserva le diverse opzioni di movimento che puoi fornire alle tue truppe in battaglia.^^Per questa prima fase, ordina alle tue truppe di seguirti e dirigiti verso la collina dove si trova la bandiera, puntando su di essa.
str_tutorial_5_msg_2|Eccellente. Le tue truppe ti hanno seguito sulla collina. Adesso hai una buona visuale del campo di battaglia.^^Questa volta, comanda alle tue truppe di mantenere questa posizione premendo il tasto F1 ancora una volta e selezionando Mantenere questa Posizione (F1).^^Una volta che avrai fatto questo, ti accorgerai che i tuoi soldati smetteranno di seguirti e terranno la posizione come gli hai chiesto di fare.^^Questo è un buon momento per imparare qualcosa del secondo menu dei comandi, che ruota attorno alle formazioni di base delle truppe.^^Questo menu ti permette di comandare le tue truppe di serrare i ranghi, per tenere contro una carica di fanteria, o di allargarsi per sostenere il tiro degli arcieri.^^Comandando alle tue truppe di spostarsi in avanti o indietro di dieci passi usando questo menu dei comandi, permette ai tuoi soldati di muoversi mantenendo la formazione.^^Dopo aver esplorato le diverse opzioni, mantieni le tue truppe a tenere questa collina e muoviti verso la collina di fronte, dove sventola la bandiera e dove si trova il puntatore.
str_tutorial_5_msg_3|Grandioso. Come puoi vedere, la tua fanteria sta tenendo la posizione come gli hai ordinato. Ora, dirigiti verso il mulino a vento.
str_tutorial_5_msg_4|Ora hai degli arceri che si sono uniti sotto il tuo comando. In TLD, puoi dare comandi separati per specificare i reparti interessati come la fanteria, gli arcieri e la cavalleria.^^Premere i tasti numerati comporta la scelta del reparto (1 per la fanteria, 2 per gli arcieri, 3 per la cavalleria). Puoi quindi usare i menu di comando che appaiono per dare ordini a quello specifico reparto.^^Osserva che la scelta resterà attiva, e che accedendo ai vari menu di comando (F1,F2,F3) le scelte riguarderanno l'ultimo reparto selezionato. Leggi i messaggi che appaiono sullo schermo per vedere a quale reparto stai dando ordini.^^Ora, ordina alla tua fanteria di seguirti, poi ordina la stessa cosa agli arcieri. Una volta che avranno costituito un gruppo unico, torna alla collina su cui eri prima.^^Una volta là, controlla il puntatore e ordina alla tua fanteria di muoversi tenendo premuto il tasto 1, in modo da far comparire lo stendardo. Puoi usare questo sistema per spostare le truppe su un luogo preciso di tua scelta.^^Ordina ai tuoi arcieri di muoversi verso lo stendardo dietro al puntatore, su un terreno elevato.
str_tutorial_5_msg_5|I tuoi uomini sono in posizione, i nemici si sono radunati e stanno caricando verso la tua posizione. Usa cià che hai imparato per far avanzare la tua fanteria in formazione, oppure ordina loro di caricare. Le cariche rompono tutte le formazioni e fanno muovere le tue truppe verso i nemici più vicini.^^Puoi anche tenere i tuoi arcieri in una posizione sopraelevata per avere un vantaggio, oppure ordinare loro di spostarsi altrove.^^Puoi inoltre premere F3 per far comparire il terzo menu dei comandi e vedere quali differenti ordini in merito all'armamento puoi dare ai tuoi soldati.
str_tutorial_5_msg_6|Eccellente! Hai completato la tua prima battaglia sul campo. L'uso intelligente dei comandi alle tue truppe è fondamentale per i tuoi successi quale comandante. Assicurati di apprendere come muovere i tuoi soldati in posizioni di vantaggio.^^In The Last Days of the Third Age, sono presenti formazioni complesse per manovre più avanzate, come il Muro di Scudi per la fanteria e il cuneo per la Cavalleria. Potrai imparare di più giocando.^^Puoi premere Tab quando vuoi per lasciare la lezione.
str_trainer_help_1|Questo è un campo d'addestramento in cui puoi apprendere le basi del gioco. Usa i tasti A, S, D, W per muoverti e il mouse per guardarti attorno.
str_trainer_help_2|Per parlare con l'addestratore, avvicinati a lui, guardalo e premi il tasto 'F' quando vedrai la parola 'Parla' sotto il suo nome. Quando vorrai lasciare questa o altre zone o ritirarti dalla battaglia, potrai premere il tasto TAB.
str_custom_battle_1|Angbor l'Impavido e la sua compagnia di Gondor hanno intercettato dei rinforzi di Harad. Lanciando il suo grido di guerra, sprona avanti il suo destriero e guida i suoi leali soldati verso una feroce battaglia.
str_custom_battle_2|Celeborn da Lorien guida una pattuglia di cavalieri e arcieri quando una vedetta in avanscoperta li avverte della malvagia presenza di una forza composta da uomini dal volto cinereo in avvicinamento. Si tratta dei temuti Numenoreani Neri! Da tempo immemore non venivano visti nei pressi del Lothlorien, ma ora devono essere ricacciati nell'oblio.
str_custom_battle_3|Lord Grimbold di Rohan sta guidando l'ultima disperata difesa delle mura contro le armate di Isengard. Gli assedianti si stanno ora preparando per l'assalto finale alle mura, e lui dovrà difenderle con il coraggio e l'acciaio.
str_custom_battle_4|Quando gli esploratori di Lord Beranhelm lo informano dell'avvicinamento di una compagnia armata di Rhun, egli rapidamente decide di approntare le difese del suo campo nel tentativo di resistere a forze soverchianti.
str_custom_battle_5|Ugluk ha portato i suoi feroci ochi da Ovest con la promessa di un bottino. Se quest'oggi riuscirà a far cadere questa roccaforte nanica, a Barad-Dur saranno enormemente soddisfatti.
str_custom_battle_6|Ugluk e la sua squadra di orchi razziatori sono stati schivi il più possibile per evitare le pattuglie Elfiche. Ma la fortuna non può durare per sempre e sembra che quei luridi pelle-chiara avranno ciò che gli spetta ora.
str_custom_battle_7|I Corsari hanno allestito il loro campo sulle rive di Gondor ! Come hanno osato. Assaliamoli prima che possano stabilire una testa di ponte e possano ricevere rifornimenti, dobbiamo rispedirli in mare, al quale appartengono.
str_finished|(Finito)
str_delivered_damage|Inflitti {reg60} danni.
str_archery_target_hit|Distanza: {reg61} iarde. Punteggio: {reg60}
str_use_baggage_for_inventory|Utilizza il tuo bagaglio per accedere al tuo inventario durante la battaglia (lo troverai nella posizione iniziale)
str_cant_use_inventory_now|Non puoi accedere all'inventario in questo momento
str_cant_use_inventory_arena|Non puoi accedere all'inventario nell'arena
str_cant_use_inventory_disguised|Non puoi accedere all'inventario mentre sei camuffato
str_cant_use_inventory_tutorial|Non puoi accedere all'inventario mentre sei nel campo d'addestramento
str_1_denar|1 Punto Risorsa
str_reg1_denars|{reg1} Punti Risorsa
str_january_reg1_reg2|T.A.{reg2}, Narvinyë {reg1} (Gennaio)
str_february_reg1_reg2|T.A.{reg2}, Nénimë {reg1} (Febbraio)
str_march_reg1_reg2|T.A.{reg2}, Súlìmë {reg1} (Marzo)
str_april_reg1_reg2|T.A.{reg2}, Víressë {reg1} (Aprile)
str_may_reg1_reg2|T.A.{reg2}, Lótessë {reg1} (Maggio)
str_june_reg1_reg2|T.A.{reg2}, Náríë {reg1} (Giugno)
str_july_reg1_reg2|T.A.{reg2}, Cermië {reg1} (Luglio)
str_august_reg1_reg2|T.A.{reg2}, Urimë {reg1} (Agosto)
str_september_reg1_reg2|T.A.{reg2}, Yavannië {reg1} (Settembre)
str_october_reg1_reg2|T.A.{reg2}, Narquelië {reg1} (Ottobre)
str_november_reg1_reg2|T.A.{reg2}, Hísimë {reg1} (Novembre)
str_december_reg1_reg2|T.A.{reg2}, Ringarë {reg1} (Dicembre)
str_calendar_spec_day_1|T.A.{reg2}, Yestarë (Capodanno)
str_calendar_spec_day_2|T.A.{reg2}, Tuilérë (Primavera)
str_calendar_spec_day_3|T.A.{reg2}, Loëndë (Festa di mezzo Anno)
str_calendar_spec_day_4|T.A.{reg2}, Yáviérë (Festa del Raccolto)
str_calendar_spec_day_5|T.A.{reg2}, Mettarë (Vigilia di Capodanno)
str_town_nighttime| È notte fonda.
str_door_locked|La porta è chiusa a chiave.
str_castle_is_abondened|Il castello sembra essere disabitato.
str_town_is_abondened|La città non è protetta da nessuna guarnigione.
str_place_is_occupied_by_player|La zona è occupata dalle tue truppe.
str_place_is_occupied_by_enemy|La zona è occupata da truppe nemiche.
str_place_is_occupied_by_friendly|La zona è occupata da truppe alleate.
str_do_you_want_to_retreat|Sei sicuro di volerti ritirare ?
str_give_up_fight|Rinunci al combattimento ?
str_do_you_wish_to_leave_tutorial|Vuoi abbandonare il tutorial ?
str_do_you_wish_to_surrender|Desideri arrenderti ?
str_can_not_retreat|Non puoi ritirarti, ci sono troppi nemici vicino !
str_s1_joined_battle_enemy|{s1} è entrato in battaglia in aiuto del nemico.
str_s1_joined_battle_friend|{s1} è entrato in battaglia in tuo aiuto.
str_entrance_to_town_forbidden|Le guardie cittadine vigilano attentamente, sembra che tu non sia in grado di passare il cancello senza essere notato.
str_sneaking_to_town_impossible|Le guardie cittadine sono allertate. Non sarai in grado di intrufolarti in città nemmeno con un ottimo travestimento.
str_battle_won|Hai vinto la battaglia !
str_battle_lost|Hai perso la battaglia !
str_player_down|Sei stato messo fuori combattimento, ma le tue truppe continuano a battersi !
str_attack_walls_success|Al termine di una sanguinosa battaglia, i tuoi valorosi soldati conquistano le mura sconfiggendo il nemico !
str_attack_walls_failure|I tuoi soldati cadono a frotte mentre provano ad assaltare le mura, quei pochi che sopravvivono si danno alla fuga, non li rivedrai mai più.
str_attack_walls_continue|Si scatena una sanguinosa battaglia ed entrambi gli eserciti si battono con egual valore. Nonostante gli sforzi delle tue truppe, il castello rimane in mano nemica.
str_order_attack_success|I tuoi uomini hanno combattuto con coraggio e hanno sconfitto il nemico.
str_order_attack_failure|Osservi la battaglia non riuscendo a credere alla facilità con la quale il nemico ha decimato i tuoi uomini, facendo fuggire i pochi superstiti.
str_order_attack_continue|Nonostante numerosi tentativi, le tue truppe non riescono ad ottenere una vittoria decisiva.
str_join_order_attack_success|I tuoi uomini combattono con valore a fianco degli alleati, dividendosi la gloria di una vittoria sul nemico.
str_join_order_attack_failure|Osservi la battaglia non riuscendo a credere alla facilità con la quale il nemico ha decimato i tuoi uomini, facendo fuggire i pochi superstiti.
str_join_order_attack_continue|Nonostante numerosi tentativi, né le tue truppe né quelle alleate riescono ad ottenere una vittoria decisiva.
str_siege_defender_order_attack_success|La guarnigione riesce a mantenere il controllo delle mura con abilità e coraggio, respingendo ogni attacco nemico e trasformando una probabile sconfitta in vittoria certa !
str_siege_defender_order_attack_failure|L'assalto si trasforma subito in un bagno di sangue. Ogni sforzo è vano; la guarnigione, soverchiata, non riesce a tenere le mura e il nemico trucida i difensori fino all'ultimo uomo.
str_siege_defender_order_attack_continue|Ripetuti e sanguinosi attacchi alle mura non hanno prodotto risultati utili, ci sono ancora troppi nemici in difesa delle mura per poter acclamare un vincitore. L'assedio continua.
str_hero_taken_prisoner|{s1} di {s3} è stato fatto prigioniero da {s2}.
str_hero_freed|{s1} di {s3} è stato liberato dalla prigionia da {s2}.
str_center_captured|{s2} ha preso {s1} da {s3} !
str_troop_relation_increased|Le tue relazioni con {s1} sono migliorate da {reg1} a {reg2}.
str_troop_relation_detoriated|Le tue relazioni con {s1} sono peggiorate da {reg1} a {reg2}.
str_faction_relation_increased|Le tue relazioni con {s1} sono migliorate da {reg1} a {reg2}.
str_faction_relation_detoriated|Le tue relazioni con {s1} sono peggiorate da {reg1} a {reg2}.
str_party_gained_morale|La tua Compagnia guadagna {reg1} punti morale.
str_party_lost_morale|La tua Compagnia perde {reg1} punti morale.
str_qst_follow_spy_noticed_you|La spia si è accorta della tua presenza ! Sta correndo ad avvisare i suoi !
str_father|padre
str_husband|marito
str_wife|moglie
str_daughter|figlia
str_mother|madre
str_son|figlio
str_brother|fratello
str_sister|sorella
str_he|Lui
str_she|Lei
str_s3s_s2|{s2} di {s3} 
str_s5_is_s51|{s5} è {s51}.
str_s5_is_the_ruler_of_s51|{s5} è  il signore di {s51}.
str_s5_is_a_nobleman_of_s6|{s5} è  un nobile di {s6}.
str_relation_mnus_100|Vendicativo
str_relation_mnus_90|Vendicativo
str_relation_mnus_80|Vendicativo
str_relation_mnus_70|Odioso
str_relation_mnus_60|Odioso
str_relation_mnus_50|Ostile
str_relation_mnus_40|Adirato
str_relation_mnus_30|Astioso
str_relation_mnus_20|Scorbutico
str_relation_mnus_10|Diffidente
str_relation_plus_0|Indifferente
str_relation_plus_10|Cooperativo
str_relation_plus_20|Cordiale
str_relation_plus_30|Favorevole
str_relation_plus_40|Sostenitore
str_relation_plus_50|Amichevole
str_relation_plus_60|Cortese
str_relation_plus_70|Affettuoso
str_relation_plus_80|Leale
str_relation_plus_90|Devoto
str_relation_mnus_100_ns|{s60} è vendicativo nei tuoi confronti.
str_relation_mnus_90_ns|{s60} è vendicativo nei tuoi confronti.
str_relation_mnus_80_ns|{s60} è vendicativo nei tuoi confronti.
str_relation_mnus_70_ns|{s60} ti odia.
str_relation_mnus_60_ns|{s60} ti odia.
str_relation_mnus_50_ns|{s60} ti è ostile.
str_relation_mnus_40_ns|{s60} è irato con te.
str_relation_mnus_30_ns|{s60} è risentito nei tuoi confronti.
str_relation_mnus_20_ns|{s60} si lamenta di te.
str_relation_mnus_10_ns|{s60} è diffidente nei tuoi confronti.
str_relation_plus_0_ns|{s60} è indifferente nei tuoi confronti.
str_relation_plus_10_ns|{s60} collabora con te.
str_relation_plus_20_ns|{s60} è cordiale verso di te.
str_relation_plus_30_ns|{s60} è favorevole nei tuoi confronti.
str_relation_plus_40_ns|{s60} ti appoggia.
str_relation_plus_50_ns|{s60} è amichevole nei tuoi confronti.
str_relation_plus_60_ns|{s60} è cortese nei tuoi confronti.
str_relation_plus_70_ns|{s60} è cordiale nei tuoi confronti.
str_relation_plus_80_ns|{s60} ti è leale.
str_relation_plus_90_ns|{s60} ti è devoto.
str_relation_reg1|Relazione: {reg1}
str_center_relation_mnus_100|La popolazione ti detesta pesantemente
str_center_relation_mnus_90|La popolazione ti detesta intensamente
str_center_relation_mnus_80|La popolazione ti detesta fortemente
str_center_relation_mnus_70|La popolazione ti detesta
str_center_relation_mnus_60|La popolazione ti odia
str_center_relation_mnus_50|La popolazione è estremamente ostile verso di te
str_center_relation_mnus_40|La popolazione è molto ostile nei tuoi confronti
str_center_relation_mnus_30|La popolazione ti è ostile
str_center_relation_mnus_20|La popolazione è contro di te
str_center_relation_mnus_10|La popolazione ti è avversa
str_center_relation_plus_0|La popolazione è indifferente verso di te
str_center_relation_plus_10|La popolazione ti accetta
str_center_relation_plus_20|La popolazione coopera con te
str_center_relation_plus_30|La popolazione ti offre il suo aiuto
str_center_relation_plus_40|La popolazione ti supporta
str_center_relation_plus_50|La popolazione ti supporta grandemente
str_center_relation_plus_60|La popolazione è leale nei tuoi confronti
str_center_relation_plus_70|La popolazione è estremamente leale verso di te
str_center_relation_plus_80|La popolazione ti è devota
str_center_relation_plus_90|La popolazione è fieramente devota a te
str_town_prosperity_0|La miseria in cui vive {s60} è insopportabile
str_town_prosperity_10|La squallida città di {s60} è praticamente deserta.
str_town_prosperity_20|La città di {s60} appare un infelice luogo desolato.
str_town_prosperity_30|La città di {s60} sembra povera ed abbandonata.
str_town_prosperity_40|La città di {s60} sembra in rivolta.
str_town_prosperity_50|La città di {s60} non sembra degna di nota.
str_town_prosperity_60|La città di {s60} sembra essere fiorente.
str_town_prosperity_70|La facoltosa città di {s60} prospera di attività.
str_town_prosperity_80|La città di {s60} sembra ricca e ben mantenuta.
str_town_prosperity_90|La città di {s60} è ricca e affollata di persone  benestanti.
str_town_prosperity_100|La scintillante città di {s60} mostra apertamente il suo magnifico stato di salute.
str_village_prosperity_0|La povertà del villaggio di {s60} è insopportabile.
str_village_prosperity_10|Il villaggio di {s60} sembra disgraziatamente povero e miserabile.
str_village_prosperity_20|Il villaggio di {s60} appare povero e desolato.
str_village_prosperity_30|Il villaggio di {s60} appare povero e trascurato.
str_village_prosperity_40|Il villaggio di {s60} sembra essere alquanto povero e mostra segni di rivolta.
str_village_prosperity_50|Il villaggio di {s60} non sembra degno di nota.
str_village_prosperity_60|Il villaggio di {s60} sembra essere fiorente.
str_village_prosperity_70|Il villaggio di {s60} sembra essere prospero.
str_village_prosperity_80|Il villaggio di {s60} sembra ricco e ben mantenuto.
str_village_prosperity_90|Il villaggio di {s60} sembra molto ricco e prosperoso.
str_village_prosperity_100|Il villaggio di {s60}, circondato da vasti e fertili terreni, sembra immensamente ricco.
str_war_report_minus_4|stiamo per perdere la guerra
str_war_report_minus_3|la situazione sembra senza speranze
str_war_report_minus_2|le cose non stanno andando bene per noi
str_war_report_minus_1|possiamo ancora vincere la guerra se ci riprendiamo
str_war_report_0|siamo alla pari con il nemico
str_war_report_plus_1|abbiamo una buona possibilità di vincere la guerra
str_war_report_plus_2|le cose stanno andando abbastanza bene
str_war_report_plus_3|non dovremmo avere molta difficoltà a sconfiggerli
str_war_report_plus_4|stiamo per vincere la guerra
str_persuasion_summary_very_bad|Fai del tuo meglio cercando di persuadere {s50}, ma nessuna delle tue argomentazioni sembra essere quella giusta. Tutte le volte che sembra tu riesca quasi a convincere, rovini tutto dicendo qualcosa di completamente errato.  Finendo di parlare ti accorgi di non essere riuscito a presentare un singolo punto a tuo favore, e capisci che hai ottenuto invece l'effetto contrario scavandoti da solo la fossa. Ovviamente {s50} non è rimasto impressionato.
str_persuasion_summary_bad|Provi a persuadere {s50}, ma {reg51?lei:lui} superandoti in astuzia ti aggira fin dall'inizio, facendo risultare vuoti i tuoi propositi perfino alle tue stesse orecchie.  Ad ogni modo, non sei riuscito ad impressionare troppo {s50}.
str_persuasion_summary_average|{s50} si rivela essere un abile conversatore con una mente acuta e tu sembri non riuscire a presentare nulla di concreto che {reg51?lei:lui} non possa facilmente controbattere a suo favore. Alla fine, tuttavia, nessuno dei due raggiunge un risultato.
