stringsfile version 1
2193
str_no_string NO_STRING!
str_tutorial_1_msg_4 Nice_work!_You've_destroyed_all_four_dummies._You_can_now_move_on_to_the_next_room.
str_tutorial_1_msg_5 As_you_see,_there_is_an_archery_target_on_the_far_side_of_the_room._Your_next_task_is_to_use_your_bow_to_put_three_arrows_into_that_target._Press_and_hold_down_the_left_mouse_button_to_notch_an_arrow._You_can_then_fire_the_arrow_by_releasing_the_left_mouse_button._Note_the_targeting_reticule_in_the_centre_of_your_screen,_which_shows_you_the_accuracy_of_your_shot._In_order_to_achieve_optimal_accuracy,_let_fly_your_arrow_when_the_reticule_is_at_its_smallest._Try_to_shoot_the_target_now.
str_tutorial_1_msg_6 Well_done!_You've_learned_the_basics_of_moving_and_attacking._With_a_little_bit_of_practice_you_will_soon_master_them._In_the_second_tutorial_you_can_learn_more_advanced_combat_skills_and_face_armed_opponents._You_can_press_the_Tab_key_at_any_time_to_return_to_the_tutorial_menu.
str_tutorial_2_msg_1 This_tutorial_will_teach_you_how_to_defend_yourself_with_a_shield_and_how_to_battle_armed_opponents._For_the_moment_you_are_armed_with_nothing_but_a_shield._Your_task_is_not_to_attack,_but_to_successfully_protect_yourself_from_harm_with_your_shield._There_is_an_armed_opponent_waiting_for_you_in_the_next_room._He_will_try_his_best_to_knock_you_unconscious,_while_you_must_protect_yourself_with_your_shield_by_pressing_and_holding_the_right_mouse_button._Go_into_the_next_room_now_to_face_your_opponent._Remember_that_you_can_press_the_Tab_key_at_any_time_to_quit_this_tutorial_or_to_exit_any_other_area_in_the_game.
str_tutorial_2_msg_2 Press_and_hold_down_the_right_mouse_button_to_raise_your_shield._Try_to_remain_standing_for_thirty_seconds._You_have_{reg3}_seconds_to_go.
str_tutorial_2_msg_3 Well_done,_you've_succeeded_in_defending_against_an_armed_opponent._The_next_phase_of_this_tutorial_will_pit_you_and_your_shield_against_a_force_of_enemy_archers._Move_on_to_the_next_room_when_you're_ready_to_face_the_archers.
str_tutorial_2_msg_4 Defend_yourself_from_arrows_by_raising_your_shield_with_the_right_mouse_button._Try_to_remain_standing_for_thirty_seconds._You_have_{reg3}_seconds_to_go.
str_tutorial_2_msg_5 Excellent,_you've_put_up_a_succesful_defence_against_archers._There_is_a_reward_waiting_for_you_in_the_next_room.
str_tutorial_2_msg_6 In_the_default_configuration,_the_F_key_on_your_keyboard_is_used_for_non-violent_interaction_with_objects_and_humans_in_the_gameworld._To_pick_up_the_sword_on_the_altar,_look_at_it_and_press_F_when_you_see_the_word_'Equip'.
str_tutorial_2_msg_7 A_fine_weapon!_Now_you_can_use_it_to_deliver_a_bit_of_payback._Go_back_through_the_door_and_dispose_of_the_archers_you_faced_earlier.
str_tutorial_2_msg_8 Very_good._Your_last_task_before_finishing_this_tutorial_is_to_face_the_maceman._Go_through_the_door_now_and_show_him_your_steel!
str_tutorial_2_msg_9 Congratulations!_You_have_now_learned_how_to_defend_yourself_with_a_shield_and_even_had_your_first_taste_of_combat_with_armed_opponents._Give_it_a_bit_more_practice_and_you'll_soon_be_a_renowned_swordsman._The_next_tutorial_covers_directional_defence,_which_is_one_of_the_most_important_elements_of_Mount&Blade_combat._You_can_press_the_Tab_key_at_any_time_to_return_to_the_tutorial_menu.
str_tutorial_3_msg_1 This_tutorial_is_intended_to_give_you_an_overview_of_parrying_and_defence_without_a_shield._Parrying_attacks_with_your_weapon_is_a_little_bit_more_difficult_than_blocking_them_with_a_shield._When_you_are_defending_with_a_weapon,_you_are_only_protected_from_one_direction,_the_direction_in_which_your_weapon_is_set._If_you_are_blocking_upwards,_you_will_parry_any_overhead_swings_coming_against_you,_but_you_will_not_stop_thrusts_or_attacks_to_your_sides._Either_of_these_attacks_would_still_be_able_to_hit_you._That's_why,_in_order_to_survive_without_a_shield,_you_must_learn_directional_defence._Go_pick_up_up_the_quarterstaff_now_to_begin_practice.
str_tutorial_3_msg_2 By_default,_the_direction_in_which_you_defend_(by_clicking_and_holding_your_right_mouse_button)_is_determined_by_the_attack_direction_of_your_closest_opponent._For_example,_if_your_opponent_is_readying_a_thrust_attack,_pressing_and_holding_the_right_mouse_button_will_parry_thrust_attacks,_but_not_side_or_overhead_attacks._You_must_watch_your_opponent_carefully_and_only_initiate_your_parry_AFTER_the_enemy_starts_to_attack._If_you_start_BEFORE_he_readies_an_attack,_you_may_parry_the_wrong_way_altogether!_Now_it's_time_for_you_to_move_on_to_the_next_room,_where_you'll_have_to_defend_yourself_against_an_armed_opponent._Your_task_is_to_defend_yourself_successfully_for_thirty_seconds_with_no_equipment_other_than_a_simple_quarterstaff._Your_quarterstaff's_attacks_are_disabled_for_this_tutorial,_so_don't_worry_about_attacking_and_focus_on_your_defence_instead._Move_on_to_the_next_room_when_you_are_ready_to_initiate_the_fight.
str_tutorial_3_msg_3 Press_and_hold_down_the_right_mouse_button_to_defend_yourself_with_your_staff_after_your_opponent_starts_his_attack._Try_to_remain_standing_for_thirty_seconds._You_have_{reg3}_seconds_to_go.
str_tutorial_3_msg_4 Well_done,_you've_succeeded_this_trial!_Now_you_will_be_pitted_against_a_more_challenging_opponent_that_will_make_things_more_difficult_for_you._Move_on_to_the_next_room_when_you're_ready_to_face_him.
str_tutorial_3_msg_5 Press_and_hold_down_the_right_mouse_button_to_defend_yourself_with_your_staff_after_your_opponent_starts_his_attack._Try_to_remain_standing_for_thirty_seconds._You_have_{reg3}_seconds_to_go.
str_tutorial_3_msg_6 Congratulations,_you_still_stand_despite_the_enemy's_best_efforts._The_time_has_now_come_to_attack_as_well_as_defend._Approach_the_door_and_press_the_F_key_when_you_see_the_word_'Go'.
str_tutorial_3_2_msg_1 Your_staff's_attacks_have_been_enabled_again._Your_first_opponent_is_waiting_in_the_next_room._Defeat_him_by_a_combination_of_attack_and_defence.
str_tutorial_3_2_msg_2 Defeat_your_opponent_with_your_quarterstaff.
str_tutorial_3_2_msg_3 Excellent._Now_the_only_thing_standing_in_your_way_is_one_last_opponent._He_is_in_the_next_room._Move_in_and_knock_him_down.
str_tutorial_3_2_msg_4 Defeat_your_opponent_with_your_quarterstaff.
str_tutorial_3_2_msg_5 Well_done!_In_this_tutorial_you_have_learned_how_to_fight_ably_without_a_shield._Train_hard_and_train_well,_and_no_one_shall_be_able_to_lay_a_stroke_on_you._In_the_next_tutorial_you_may_learn_horseback_riding_and_cavalry_combat._You_can_press_the_Tab_key_at_any_time_to_return_to_the_tutorial_menu.
str_tutorial_4_msg_1 Welcome_to_the_fourth_tutorial._In_this_sequence_you'll_learn_about_riding_a_horse_and_how_to_perform_various_martial_exercises_on_horseback._We'll_start_by_getting_you_mounted_up._Approach_the_horse,_and_press_the_'F'_key_when_you_see_the_word_'Mount'.
str_tutorial_4_msg_2 While_on_horseback,_the_WASD_keys_control_your_horse's_movement,_not_your_own._Ride_your_horse_and_try_to_follow_the_yellow_flag_around_the_course._When_you_reach_the_flag,_it_will_move_to_the_next_waypoint_on_the_course_until_you_reach_the_finish.
str_tutorial_4_msg_3 Very_good._Next_we'll_cover_attacking_enemies_from_horseback._Approach_the_yellow_flag_now.
str_tutorial_4_msg_4 Draw_your_sword_(using_the_mouse_wheel)_and_destroy_the_four_targets._Try_hitting_the_dummies_as_you_pass_them_at_full_gallop_--_this_provides_an_extra_challenge,_but_the_additional_speed_added_to_your_blow_will_allow_you_to_do_more_damage._The_easiest_way_of_doing_this_is_by_pressing_and_holding_the_left_mouse_button_until_the_right_moment,_releasing_it_just_before_you_pass_the_target.
str_tutorial_4_msg_5 Excellent_work._Now_let_us_try_some_target_shooting_from_horseback._Go_near_the_yellow_flag_now.
str_tutorial_4_msg_6 Locate_the_archery_target_beside_the_riding_course_and_shoot_it_three_times_with_your_bow._Although_you_are_not_required_to_ride_while_shooting,_it's_recommended_that_you_try_to_hit_the_target_at_various_speeds_and_angles_to_get_a_feel_for_how_your_horse's_speed_and_course_affects_your_aim.
str_tutorial_4_msg_7 Congratulations,_you_have_finished_this_tutorial._You_can_press_the_Tab_key_at_any_time_to_return_to_the_tutorial_menu.
str_tutorial_5_msg_1 TODO:_Follow_order_to_the_flag
str_tutorial_5_msg_2 TODO:_Move_to_the_flag,_keep_your_units_at_this_position
str_tutorial_5_msg_3 TODO:_Move_to_the_flag_to_get_the_archers
str_tutorial_5_msg_4 TODO:_Move_archers_to_flag1,_infantry_to_flag2
str_tutorial_5_msg_5 TODO:_Enemy_is_charging._Fight!
str_tutorial_5_msg_6 TODO:_End_of_battle.
str_trainer_help_1 This_is_a_training_ground_where_you_can_learn_the_basics_of_the_game._Use_A,_S,_D,_W_keys_to_move_and_the_mouse_to_look_around.
str_trainer_help_2 To_speak_with_the_trainer,_go_near_him,_look_at_him_and_press_the_'F'_key_when_you_see_the_word_'Talk'_under_his_name._When_you_wish_to_leave_this_or_any_other_area_or_retreat_from_a_battle,_you_can_press_the_TAB_key.
str_custom_battle_1 Captain_Malvogil_and_his_Gondor_company_intercepted_Harad_reinforcement_group._Shouting_out_his_warcry,_he_spurs_his_horse_forward,_and_leads_his_loyal_men_to_a_fierce_battle.
str_custom_battle_2 Celeborn_from_Lorien_is_leading_a_patrol_of_horsemen_and_archers_when_forward_lookout_brings_a_warning_of_a_force_of_ash-faced_evil_men_approaching._It's_the_dreaded_Black_Numenoreans!_Those_were_not_seen_near_Lothlorien_for_ages,_but_now_they_must_be_driven_back_to_the_neverworld.
str_custom_battle_3 Lord_Grimbold_of_Rohan_is_leading_the_last_defence_of_the_walls_against_an_army_of_Isengard._Now,_as_the_besiegers_prepare_for_a_final_assault_on_the_walls,_he_must_hold_the_walls_with_courage_and_bright_steel.
str_custom_battle_4 When_the_scouts_inform_Lord_Beranhelm_of_the_approach_of_an_Rhun_war_band,_he_decides_to_quickly_prepare_the_defences_of_his_camp_and_try_to_hold_against_superior_numbers.
str_custom_battle_5 Ugluk_has_brought_his_fierce_orksies_into_the_west_with_the_promise_of_plunder._If_he_can_make_this_dwarf_stronghold_fall_to_him_today,_his_masters_in_Barad-Dur_will_be_mightily_pleased.
str_custom_battle_6 Ugluk_and_his_orc_raider_squad_were_as_keen_as_possible_in_escaping_Elven_patrols._But_one's_good_fortunes_may_not_last_forever,_and_it_seems_like_filthy_paleskins_will_have_their_share_now.
str_custom_battle_7 Cosairs_have_set_up_their_camp_on_the_shores_of_Gondor!_How_dare_they._Let_us_strike_them_before_they_get_reinforcements_and_drive_them_off_into_the_sea,_where_they_belong.
str_finished (Finished)
str_delivered_damage Delivered_{reg60}_damage.
str_archery_target_hit Distance:_{reg61}_yards._Score:_{reg60}
str_use_baggage_for_inventory Use_your_baggage_to_access_your_inventory_during_battle_(it's_at_your_starting_position).
str_cant_use_inventory_now Can't_access_inventory_now.
str_cant_use_inventory_arena Can't_access_inventory_in_the_arena.
str_cant_use_inventory_disguised Can't_access_inventory_while_you're_disguised.
str_cant_use_inventory_tutorial Can't_access_inventory_in_the_training_camp.
str_1_denar 1_Resource_Point.
str_reg1_denars {reg1}_Resource_Points.
str_january_reg1_reg2 T.A.{reg2},_Narvinyë_{reg1}_(Jan)
str_february_reg1_reg2 T.A.{reg2},_Nénimë_{reg1}_(Feb)
str_march_reg1_reg2 T.A.{reg2},_Súlìmë_{reg1}_(Mar)
str_april_reg1_reg2 T.A.{reg2},_Víressë_{reg1}_(Apr)
str_may_reg1_reg2 T.A.{reg2},_Lótessë_{reg1}_(May)
str_june_reg1_reg2 T.A.{reg2},_Náríë_{reg1}_(Jun)
str_july_reg1_reg2 T.A.{reg2},_Cermië_{reg1}_(Jul)
str_august_reg1_reg2 T.A.{reg2},_Urimë_{reg1}_(Aug)
str_september_reg1_reg2 T.A.{reg2},_Yavannië_{reg1}_(Sep)
str_october_reg1_reg2 T.A.{reg2},_Narquelië_{reg1}_(Oct)
str_november_reg1_reg2 T.A.{reg2},_Hísimë_{reg1}_(Nov)
str_december_reg1_reg2 T.A.{reg2},_Ringarë_{reg1}_(Dec)
str_calendar_spec_day_1 T.A.{reg2},_Yestarë_(First_Day)
str_calendar_spec_day_2 T.A.{reg2},_Tuilérë_(Spring_Day)
str_calendar_spec_day_3 T.A.{reg2},_Loëndë_(Midyear's_Day)
str_calendar_spec_day_4 T.A.{reg2},_Yáviérë_(Harvest_Day)
str_calendar_spec_day_5 T.A.{reg2},_Mettarë_(Last_Day)
str_town_nighttime _It_is_late_at_night.
str_door_locked The_door_is_locked.
str_castle_is_abondened The_castle_seems_to_be_unoccupied.
str_town_is_abondened The_town_has_no_garrison_defending_it.
str_place_is_occupied_by_player The_place_is_held_by_your_own_troops.
str_place_is_occupied_by_enemy The_place_is_held_by_hostile_troops.
str_place_is_occupied_by_friendly The_place_is_held_by_friendly_troops.
str_do_you_want_to_retreat Are_you_sure_you_want_to_retreat?
str_give_up_fight Give_up_the_fight?
str_do_you_wish_to_leave_tutorial Do_you_wish_to_leave_the_tutorial?
str_do_you_wish_to_surrender Do_you_wish_to_surrender?
str_can_not_retreat Can't_retreat,_there_are_enemies_nearby!
str_s1_joined_battle_enemy {s1}_has_joined_the_battle_on_the_enemy_side.
str_s1_joined_battle_friend {s1}_has_joined_the_battle_on_your_side.
str_entrance_to_town_forbidden The_town_guards_are_on_the_lookout_for_intruders_and_it_seems_that_you_won't_be_able_to_pass_through_the_gates_unchallenged.
str_sneaking_to_town_impossible The_town_guards_are_alarmed._You_wouldn't_be_able_to_sneak_through_that_gate_no_matter_how_well_you_disguised_yourself.
str_battle_won You_have_won_the_battle!
str_battle_lost You_have_lost_the_battle!
str_player_down You_have_been_knocked_out,_but_your_troops_fight_on!
str_attack_walls_success After_a_bloody_fight,_your_brave_soldiers_manage_to_claim_the_walls_from_the_enemy.
str_attack_walls_failure Your_soldiers_fall_in_waves_as_they_charge_the_walls,_and_the_few_who_remain_alive_soon_rout_and_run_away,_never_to_be_seen_again.
str_attack_walls_continue A_bloody_battle_ensues_and_both_sides_fight_with_equal_valour._Despite_the_efforts_of_your_troops,_the_castle_remains_in_enemy_hands.
str_order_attack_success Your_men_fight_bravely_and_defeat_the_enemy.
str_order_attack_failure You_watch_the_battle_in_despair_as_the_enemy_cuts_your_soldiers_down,_then_easily_drives_off_the_few_ragged_survivors.
str_order_attack_continue Despite_an_extended_skirmish,_your_troops_were_unable_to_win_a_decisive_victory.
str_join_order_attack_success Your_men_fight_well_alongside_your_allies,_sharing_in_the_glory_as_your_enemies_are_beaten.
str_join_order_attack_failure You_watch_the_battle_in_despair_as_the_enemy_cuts_your_soldiers_down,_then_easily_drives_off_the_few_ragged_survivors.
str_join_order_attack_continue Despite_an_extended_skirmish,_neither_your_troops_nor_your_allies_were_able_to_win_a_decisive_victory_over_the_enemy.
str_siege_defender_order_attack_success The_men_of_the_garrison_hold_their_walls_with_skill_and_courage,_breaking_the_enemy_assault_and_skillfully_turning_the_defeat_into_a_full-fledged_rout.
str_siege_defender_order_attack_failure The_assault_quickly_turns_into_a_bloodbath._Valiant_efforts_are_for_naught;_the_overmatched_garrison_cannot_hold_the_walls,_and_the_enemy_puts_every_last_defender_to_the_sword.
str_siege_defender_order_attack_continue Repeated,_bloody_attempts_on_the_walls_fail_to_gain_any_ground,_but_too_many_enemies_remain_for_the_defenders_to_claim_a_true_victory._The_siege_continues.
str_hero_taken_prisoner {s1}_of_{s3}_has_been_taken_prisoner_by_{s2}.
str_hero_freed {s1}_of_{s3}_has_been_freed_from_captivity_by_{s2}.
str_center_captured {s2}_have_taken_{s1}_from_{s3}!
str_troop_relation_increased Your_relation_with_{s1}_has_increased_from_{reg1}_to_{reg2}.
str_troop_relation_detoriated Your_relation_with_{s1}_has_deteriorated_from_{reg1}_to_{reg2}.
str_faction_relation_increased Your_relation_with_{s1}_has_increased_from_{reg1}_to_{reg2}.
str_faction_relation_detoriated Your_relation_with_{s1}_has_deteriorated_from_{reg1}_to_{reg2}.
str_party_gained_morale Your_party_gains_{reg1}_morale.
str_party_lost_morale Your_party_loses_{reg1}_morale.
str_qst_follow_spy_noticed_you The_spy_has_spotted_you!_He's_making_a_run_for_it!
str_father father
str_husband husband
str_wife wife
str_daughter daughter
str_mother mother
str_son son
str_brother brother
str_sister sister
str_he He
str_she She
str_s3s_s2 {s3}'s_{s2}
str_s5_is_s51 {s5}_is_{s51}.
str_s5_is_the_ruler_of_s51 {s5}_is_the_ruler_of_{s51}._
str_s5_is_a_nobleman_of_s6 {s5}_is_a_nobleman_of_{s6}._
str_relation_mnus_100 Vengeful
str_relation_mnus_90 Vengeful
str_relation_mnus_80 Vengeful
str_relation_mnus_70 Hateful
str_relation_mnus_60 Hateful
str_relation_mnus_50 _Hostile
str_relation_mnus_40 __Angry
str_relation_mnus_30 ____Resentful
str_relation_mnus_20 ______Grumbling
str_relation_mnus_10 ________Suspicious
str_relation_plus_0 _________Indifferent
str_relation_plus_10 __________Cooperative
str_relation_plus_20 ___________Welcoming
str_relation_plus_30 ____________Favorable
str_relation_plus_40 _____________Supportive
str_relation_plus_50 ______________Friendly
str_relation_plus_60 _______________Gracious
str_relation_plus_70 _________________Fond
str_relation_plus_80 __________________Loyal
str_relation_plus_90 ___________________Devoted
str_relation_mnus_100_ns {s60}_is_vengeful_towards_you.
str_relation_mnus_90_ns {s60}_is_vengeful_towards_you.
str_relation_mnus_80_ns {s60}_is_vengeful_towards_you.
str_relation_mnus_70_ns {s60}_is_hateful_towards_you.
str_relation_mnus_60_ns {s60}_is_hateful_towards_you.
str_relation_mnus_50_ns {s60}_is_hostile_towards_you.
str_relation_mnus_40_ns {s60}_is_angry_towards_you.
str_relation_mnus_30_ns {s60}_is_resentful_against_you.
str_relation_mnus_20_ns {s60}_is_grumbling_against_you.
str_relation_mnus_10_ns {s60}_is_suspicious_towards_you.
str_relation_plus_0_ns {s60}_is_indifferent_against_you.
str_relation_plus_10_ns {s60}_is_cooperative_towards_you.
str_relation_plus_20_ns {s60}_is_welcoming_towards_you.
str_relation_plus_30_ns {s60}_is_favorable_to_you.
str_relation_plus_40_ns {s60}_is_supportive_to_you.
str_relation_plus_50_ns {s60}_is_friendly_to_you.
str_relation_plus_60_ns {s60}_is_gracious_to_you.
str_relation_plus_70_ns {s60}_is_fond_of_you.
str_relation_plus_80_ns {s60}_is_loyal_to_you.
str_relation_plus_90_ns {s60}_is_devoted_to_you.
str_relation_reg1 _Relation:_{reg1}
str_center_relation_mnus_100 The_populace_hates_you_with_a_passion
str_center_relation_mnus_90 The_populace_hates_you_intensely
str_center_relation_mnus_80 The_populace_hates_you_strongly
str_center_relation_mnus_70 The_populace_hates_you
str_center_relation_mnus_60 The_populace_is_hateful_to_you
str_center_relation_mnus_50 The_populace_is_extremely_hostile_to_you
str_center_relation_mnus_40 The_populace_is_very_hostile_to_you
str_center_relation_mnus_30 The_populace_is_hostile_to_you
str_center_relation_mnus_20 The_populace_is_against_you
str_center_relation_mnus_10 The_populace_is_opposed_to_you
str_center_relation_plus_0 The_populace_is_indifferent_to_you
str_center_relation_plus_10 The_populace_is_acceptive_to_you
str_center_relation_plus_20 The_populace_is_cooperative_to_you
str_center_relation_plus_30 The_populace_is_somewhat_supportive_to_you
str_center_relation_plus_40 The_populace_is_supportive_to_you
str_center_relation_plus_50 The_populace_is_very_supportive_to_you
str_center_relation_plus_60 The_populace_is_loyal_to_you
str_center_relation_plus_70 The_populace_is_highly_loyal_to_you
str_center_relation_plus_80 The_populace_is_devoted_to_you
str_center_relation_plus_90 The_populace_is_fiercely_devoted_to_you
str_town_prosperity_0 The_poverty_of_the_town_of_{s60}_is_unbearable
str_town_prosperity_10 The_squalorous_town_of_{s60}_is_all_but_deserted.
str_town_prosperity_20 The_town_of_{s60}_looks_a_wretched,_desolate_place.
str_town_prosperity_30 The_town_of_{s60}_looks_poor_and_neglected.
str_town_prosperity_40 The_town_of_{s60}_appears_to_be_struggling.
str_town_prosperity_50 The_town_of_{s60}_seems_unremarkable.
str_town_prosperity_60 The_town_of_{s60}_seems_to_be_flourishing.
str_town_prosperity_70 The_prosperous_town_of_{s60}_is_bustling_with_activity.
str_town_prosperity_80 The_town_of_{s60}_looks_rich_and_well-maintained.
str_town_prosperity_90 The_town_of_{s60}_is_opulent_and_crowded_with_well-to-do_people.
str_town_prosperity_100 The_glittering_town_of_{s60}_openly_flaunts_its_great_wealth.
str_village_prosperity_0 The_poverty_of_the_village_of_{s60}_is_unbearable.
str_village_prosperity_10 The_village_of_{s60}_looks_wretchedly_poor_and_miserable.
str_village_prosperity_20 The_village_of_{s60}_looks_very_poor_and_desolate.
str_village_prosperity_30 The_village_of_{s60}_looks_poor_and_neglected.
str_village_prosperity_40 The_village_of_{s60}_appears_to_be_somewhat_poor_and_struggling.
str_village_prosperity_50 The_village_of_{s60}_seems_unremarkable.
str_village_prosperity_60 The_village_of_{s60}_seems_to_be_flourishing.
str_village_prosperity_70 The_village_of_{s60}_appears_to_be_thriving.
str_village_prosperity_80 The_village_of_{s60}_looks_rich_and_well-maintained.
str_village_prosperity_90 The_village_of_{s60}_looks_very_rich_and_prosperous.
str_village_prosperity_100 The_village_of_{s60},_surrounded_by_vast,_fertile_fields,_looks_immensely_rich.
str_war_report_minus_4 we_are_about_to_lose_the_war
str_war_report_minus_3 the_situation_looks_bleak
str_war_report_minus_2 things_aren't_going_too_well_for_us
str_war_report_minus_1 we_can_still_win_the_war_if_we_rally
str_war_report_0 we_are_evenly_matched_with_the_enemy
str_war_report_plus_1 we_have_a_fair_chance_of_winning_the_war
str_war_report_plus_2 things_are_going_quite_well
str_war_report_plus_3 we_should_have_no_difficulty_defeating_them
str_war_report_plus_4 we_are_about_to_win_the_war
str_persuasion_summary_very_bad You_try_your_best_to_persuade_{s50},_but_none_of_your_arguments_seem_to_come_out_right._Every_time_you_start_to_make_sense,_you_seem_to_say_something_entirely_wrong_that_puts_you_off_track._By_the_time_you_finish_speaking_you've_failed_to_form_a_single_coherent_point_in_your_own_favour,_and_you_realise_that_all_you've_done_was_dig_yourself_deeper_into_a_hole._Unsurprisingly,_{s50}_does_not_look_impressed.
str_persuasion_summary_bad You_try_to_persuade_{s50},_but_{reg51?she:he}_outmanoeuvres_you_from_the_very_start._Even_your_best_arguments_sound_hollow_to_your_own_ears._{s50},_likewise,_has_not_formed_a_very_high_opinion_of_what_you_had_to_say.
str_persuasion_summary_average {s50}_turns_out_to_be_a_skilled_speaker_with_a_keen_mind,_and_you_can't_seem_to_bring_forth_anything_concrete_that_{reg51?she:he}_cannot_counter_with_a_rational_point._In_the_end,_neither_of_you_manage_to_gain_any_ground_in_this_discussion.
str_persuasion_summary_good Through_quick_thinking_and_smooth_argumentation,_you_manage_to_state_your_case_well,_forcing_{s50}_to_concede_on_several_points._However,_{reg51?she:he}_still_expresses_doubts_about_your_request.
str_persuasion_summary_very_good You_deliver_an_impassioned_speech_that_echoes_through_all_listening_ears_like_poetry._The_world_itself_seems_to_quiet_down_in_order_to_hear_you_better_._The_inspiring_words_have_moved_{s50}_deeply,_and_{reg51?she:he}_looks_much_more_well-disposed_towards_helping_you.
str_name_1 Adanedhel
str_name_2 Ondoher
str_name_3 Aerandir
str_name_4 Agarwaen
str_name_5 Ailinel
str_name_6 Aldarion
str_name_7 Almarian
str_name_8 Amandil
str_name_9 Amlaith
str_name_10 Anardil
str_name_11 Anborn
str_name_12 Andróg
str_name_13 Angbor
str_name_14 Arador
str_name_15 Araglas
str_name_16 Arahael
str_name_17 Arantar
str_name_18 Arassuil
str_name_19 Alcarin
str_name_20 Belegund
str_name_21 Bereg
str_name_22 Bergil
str_name_23 Borthand
str_name_24 Ceorl
str_name_25 Ciryon
str_name_26 Damrod
str_name_27 Derufin
str_name_28 Dorlas
str_name_29 Duilin
str_name_30 Duinhir
