itm_horse_meat|لحم حصان
itm_harad_horse|حصان هاراد
itm_harad_warhorse|حصان حرب هاراد
itm_variag_pony|مهر فارياغ
itm_variag_kataphrakt|حصان حرب شرقي
itm_warg_1b|ورغ
itm_warg_1c|ورغ
itm_warg_1d|ورغ
itm_wargarmored_1b|ورغ مدرع
itm_wargarmored_1c|ورغ مدرع
itm_wargarmored_2b|ورغ مدرع
itm_wargarmored_2c|ورغ مدرع
itm_wargarmored_3a|ورغ مدرع
itm_warg_reward|ورغ ضخم
; itm_animal_big|Big Animal
; itm_animal_small|Small Animal
; itm_troll_weapon_long|Giant Halberd
itm_troll_weapon_dmg|صولجان عملاق
itm_tree_trunk_club_a|جذع شجرة
itm_giant_mace|صولجان عملاق
itm_troll_shield_a|درع القزم (الترول)
itm_arrows|سهام
itm_gondor_arrows|سهام غوندور
itm_orc_javelin|رمح عفريت ثقيل
itm_khergit_arrows|سهام شائكة
itm_harad_arrows|سهام هاردريم
itm_corsair_arrows|سهام قرصان
itm_ithilien_arrows|سهام إثيليان
itm_woodelf_arrows|سهام جان الغابة
itm_elven_arrows|سهام جان
itm_orc_hook_arrow|سهام عفريت خطافية
itm_isengard_arrow|سهام آيزنغارد
itm_leather_gloves|قفازات جلدية
itm_mail_mittens|قفازات بريدية
itm_leather_boots|أحذية جلدية
; itm_leather_boots_dark|Rider Boots
; itm_splinted_greaves|Splinted Greaves
itm_white_tunic_a|زي مدني
itm_rohan_shoes|أحذية جلدية
itm_furry_boots|أحذية من الفرو
itm_black_tunic|سترة سوداء
itm_hood_black|قلنسوة سوداء
itm_hood_green|قلنسوة خضراء
; itm_hood_grey|Grey Hood
; itm_hood_leather|Leather Hood
; itm_mail_coif|Mail Coif
itm_axe_a|فأس الشماليين
itm_axe_b|فأس ملتحي للشماليين
itm_axe_c|فأس الشماليين
itm_axe_d|فأس الشماليين
itm_long_bearded_axe|فأس طويلة ملتحية للشماليين
itm_2_handed_axe|فأس طويلة للشماليين
itm_shortened_spear|رمح مقصور
itm_spear|رمح
itm_light_lance|رمح خفيف
itm_lance|رمح
itm_tab_shield_small_round_b|درع فارس دائري
itm_short_bow|قوس قصير
itm_regular_bow|قوس
itm_nomad_bow|قوس بدوي
itm_gondor_bow|قوس غوندور
itm_strong_bow|قوس قوي
itm_elven_bow|قوس جان
itm_corsair_bow|قوس قرصان
itm_dwarf_horn_bow|قوس قرن قزم
itm_dwarf_short_bow|قوس قزم قصير
itm_harad_bow|قوس هاراد منحني
itm_lg_bow|قوس حارس النسر
itm_riv_bow|قوس ريفيندل
; itm_rhun_bow|Balchoth Bow
itm_lorien_bow|قوس غالادريم
itm_isengard_large_bow|قوس آيزنغارد كبير
itm_dale_bow|قوس ديل
itm_uruk_bow|قوس أوروك قوي
itm_mirkwood_bow|قوس ميركوود
itm_dunland_javelin|رماح دونلاند
itm_orc_throwing_arrow|نبال عفريت
itm_heavy_throwing_spear|رمح ثقيل للرمي
itm_javelin|رمح
itm_harad_javelin|رمح هاراد
itm_gondor_javelin|رمح غوندور
itm_rohirrim_throwing_axe|فؤوس روهيريم للرمي
itm_loss_throwing_axes|فؤوس لوسارناخ للرمي
itm_free_dunedain_helm_a|خوذة أرنور
itm_free_dunedain_helm_b|خوذة أرنور
itm_arnor_helm_c|خوذة أرنور
itm_arnor_helm_b|خوذة أرنور
itm_arnor_helm_a|خوذة أرنور
; itm_arnor_light_a|Dunedain Ranger Jerkin
; itm_arnor_light_b|Dunedain Ranger Mail
; itm_arnor_med_a|Dunedain Ranger Coat
; itm_arnor_med_b|Dunedain Mail
; itm_arnor_heavy|Arnorian High Armor
itm_arnor_greaves|ساقان آرنوريتان
itm_arnor_shield_c|درع فرسان أرنور
itm_arnor_shield_a|درع أرنور
itm_arnor_sword_c|سيف أرنور النغل
itm_arnor_sword_a|سيف أرنور النغل
itm_arnor_sword_f|سيف أرنور قصير
itm_riv_helm_b|خوذة رامي ريفيندل
itm_riv_helm_c|خوذة مشاة ريفيندل
; itm_tiara_reward|Elf Lord Tiara
itm_riv_shield_a|درع ريفيندل
itm_riv_shield_b|درع ريفيندل
itm_riv_bas_sword|سيف ريفيندل النغل
itm_riv_1h_sword|سيف ريفيندل
itm_riv_riding_sword|سيف فرسان ريفيندل
itm_riv_archer_sword|سيف رامي ريفيندل
itm_riv_spear|رمح ريفيندل
; itm_riv_light|Rivendell Tunic
; itm_riv_leather|Rivendell Leather Armor
; itm_riv_foot_mail|Rivendell Mail
; itm_riv_foot_scale|Rivendell Scale
; itm_riv_surcoat|Rivendell Surcoat
; itm_riv_knight|Rivendell Knightly Armour
itm_riv_armor_h_archer|درع ريفيندل
itm_riv_boots|أحذية ريفيندل
itm_gon_footman|قميص بريدي غوندوري
itm_gon_jerkin|سترة غوندور
itm_gon_regular|بريد غوندور ثقيل
itm_gon_bowman|غامبيسون غوندور
itm_gon_archer|غامبيسون غوندور مع عباءة
itm_gon_noble_cloak|سترة نبيل غوندور
itm_gon_squire|بريد غوندور مع عباءة
itm_gon_knight|بريد غوندور ثقيل مع عباءة
itm_gon_ranger_cloak|عباءة حارس غوندور
itm_gon_ranger_skirt|تنورة حارس غوندور
itm_gon_steward_guard|درع حارس المضيف في غوندور
itm_gon_tower_guard|درع حارس البرج في غوندور
itm_gon_tower_knight|درع فارس البرج في غوندور
itm_gon_leader_surcoat_cloak|معطف قائد غوندور
itm_gondor_ranger_hood|قلنسوة خضراء
itm_gondor_ranger_hood_mask|قلنسوة حارس غوندور
itm_gondor_light_greaves|ساقان غوندوريتان من الجلد
itm_gondor_med_greaves|ساقان غوندوريتان متوسطتان
itm_gondor_heavy_greaves|ساقان غوندوريتان بريديتان
itm_gondor_auxila_helm|خوذة مساعد غوندوري
itm_gondorian_archer_helm|خوذة رامي غوندوري
itm_tower_archer_helm|خوذة رامي البرج
itm_gondor_leader_helm|خوذة غوندور الرفيعة
itm_tower_guard_helm|خوذة حارس البرج
itm_gondor_citadel_knight_helm|خوذة فارس القلعة
itm_gondor_infantry_helm|خوذة مشاة غوندور
itm_gondor_knight_helm|خوذة فارس غوندور
itm_gondor_dolamroth_helm|خوذة دول امروث
itm_swan_knight_helm|خوذة فارس البجعة
itm_gondor_lamedon_helm|خوذة لاميدون
itm_gondor_lamedon_leader_helm|خوذة لاميدون الرفيعة
itm_blackroot_archer|غامبيسون مقنع لوادي بلاكروت
itm_blackroot_bowman|سترة مقنعة لوادي بلاكروت
itm_blackroot_footman|سترة وادي بلاكروت
itm_blackroot_warrior|غامبيسون وادي بلاكروت
itm_blackroot_leader|بريد وادي بلاكروت
itm_blackroot_hood|قلنسوة سوداء
itm_dol_hauberk|جوشن دول امروث
itm_dol_heavy_mail|بريد دول امروث ثقيل
itm_dol_padded_coat|معطف دول امروث المبطن
itm_dol_shirt|قميص دول امروث
itm_dol_very_heavy_mail|بريد دول امروث ثقيل جداً
itm_dol_greaves|ساقان دول امروث
itm_dol_shoes|أحذية دول امروث خفيفة
itm_lamedon_clansman|درع رجل عشيرة لاميدون
itm_lamedon_footman|درع جندي مشاة لاميدون
itm_lamedon_knight|درع فارس لاميدون
itm_lamedon_leader_surcoat_cloak|درع قائد لاميدون
itm_lamedon_warrior|درع محارب لاميدون
itm_lamedon_veteran|درع مخضرم لاميدون
itm_lamedon_vet_warrior|درع محارب مخضرم لاميدون
itm_lamedon_hood|قلنسوة
itm_pinnath_archer|درع رامي بينات غيلين
itm_pinnath_footman|درع جندي مشاة بينات غيلين
itm_pinnath_leader|درع فارس بينات غيلين
itm_pinnath_vet_footman|درع جندي مشاة مخضرم بينات غيلين
itm_pinnath_warrior|درع محارب بينات غيلين
itm_pel_footman|درع جندي مشاة بيلارغير
itm_pel_jerkin|سترة بيلارغير
itm_pel_leader|درع قائد بيلارغير
itm_pel_marine|مشاة بحرية بيلارغير
itm_pelargir_marine_leader|قائد مشاة بحرية بيلارغير
itm_pelargir_regular|جندي نظامي بيلارغير
itm_pelargir_hood|قلنسوة بيضاء
itm_pelargir_helmet_light|خوذة بيلارغير
itm_pelargir_helmet_heavy|خوذة بيلارغير ثقيلة
itm_pelargir_greaves|ساقان بيلارغير
itm_lossarnach_shirt|قميص لوسارناخ
itm_lossarnach_axeman|درع حامل فأس لوسارناخ
itm_lossarnach_leader|درع قائد لوسارناخ
itm_lossarnach_vet_axeman|درع حامل فأس مخضرم لوسارناخ
itm_lossarnach_vet_warrior|درع محارب مخضرم لوسارناخ
itm_lossarnach_warrior|درع محارب لوسارناخ
itm_lossarnach_cloth_cap|قبعة لوسارناخ القماشية
itm_lossarnach_leather_cap|قبعة لوسارناخ الجلدية
itm_lossarnach_scale_cap|قبعة لوسارناخ الحرشفية
itm_lossarnach_greaves|ساقان لوسارناخ
itm_gondor_shield_a|درع غوندور المربع
itm_gondor_shield_b|درع غوندور الطائرة الورقية
itm_gondor_shield_c|درع غوندور البرجي
itm_gondor_shield_d|درع غوندور الطائرة الورقية
itm_gondor_shield_e|درع غوندور القلعة
itm_gon_tab_shield_a|درع غوندور دائري شعاراتي
itm_gon_tab_shield_b|درع غوندور مربع شعاراتي
itm_gon_tab_shield_c|درع غوندور طائرة ورقية شعاراتي
itm_gon_tab_shield_d|درع غوندور برجي شعاراتي
itm_amroth_sword_a|سيف دول امروث
itm_amroth_sword_b|سيف فارس دول امروث
itm_gondor_sword|سيف مشاة غوندور
itm_amroth_bastard|سيف دول امروث الثقيل
itm_gondor_short_sword|إيكيت لينهير
itm_pelargir_eket|إيكيت بيلارغير
itm_pelargir_sword|سيف بيلارغير
itm_gondor_ranger_sword|سيف حارس غوندور
; itm_gondor_2h_sword|Gondor War Sword
itm_gondor_citadel_sword|سيف غوندور القلعة
itm_gondor_cav_sword|سيف فرسان غوندور
itm_gondor_spear|رمح غوندوري
itm_gondor_tower_spear|رمح برج غوندوري
itm_gondor_lance|رمح غوندور
itm_loss_axe|فأس قتال لوسارناخ
itm_loss_war_axe|فأس حرب لوسارناخ
itm_lorien_sword_a|سيف لورين الطويل
itm_lorien_sword_b|سيف لورين القصير
itm_lorien_sword_c|سيف حرب لورين
itm_lorien_archer|درع رامي لورين
itm_lorien_armor_a|درع مشاة لورين
itm_lorien_armor_b|درع مشاة لورين الثقيل
itm_lorien_armor_c|درع رامي لورين الملكي
itm_lorien_boots|أحذية لوثلورين
itm_lorien_shield_b|درع لورين البرجي
itm_lorien_shield_c|درع لورين الطائرة الورقية
itm_lorien_round_shield|درع لورين الدائري
itm_lorien_helm_a|خوذة رامي لورين
itm_lorien_helm_b|خوذة رامي لورين
itm_lorien_helm_c|خوذة مشاة لورين
; itm_orc_coif2|Orc Skullcap
itm_orc_greaves|أحذية عفريت بريدية
itm_orc_ragwrap|لفافة عفريت قماشية
itm_orc_furboots|أحذية عفريت من الفرو
itm_orc_tribal_a|جلد غير مدبوغ
itm_orc_tribal_b|جلد غير مدبوغ
itm_orc_tribal_c|جلد غير مدبوغ
itm_evil_gauntlets_a|قفازات
itm_evil_gauntlets_b|قفازات
; itm_orc_mittens|Orc Mittens
itm_isen_orc_light_a|درع عفريت آيزنغارد
itm_isen_orc_light_b|درع عفريت آيزنغارد
itm_isen_orc_pad_a|درع عفريت آيزنغارد
itm_isen_orc_pad_b|درع عفريت آيزنغارد
itm_isen_orc_mail_a|درع عفريت آيزنغارد
itm_isen_orc_mail_b|درع عفريت آيزنغارد
itm_isen_uruk_light_a|تسخير أوروك-هاي خفيف
itm_isen_uruk_light_b|درع أوروك-هاي الجلدي
itm_isen_uruk_light_c|درع أوروك-هاي الجلدي
; itm_isen_uruk_med_a|Uruk-hai Light Segmented Armour
; itm_isen_uruk_med_b|Uruk-hai Mail
itm_isen_uruk_heavy_a|بريد وجلد أوروك-هاي
itm_isen_uruk_heavy_b|درع أوروك-هاي الثقيل
itm_isen_uruk_heavy_c|درع أوروك-هاي الثقيل
itm_isen_uruk_heavy_d|جلد متعقب أوروك-هاي
itm_isen_uruk_heavy_e|جلد متعقب أوروك-هاي
itm_uruk_tracker_boots|أحذية متعقب أوروك
itm_uruk_greaves|ساقان أوروك
itm_uruk_chain_greaves|ساقان بريديتان أوروك
itm_uruk_ragwrap|لفافة أوروك قماشية
itm_isen_orc_helm_a|خوذة عفريت آيزنغارد
itm_isen_uruk_helm_a|خوذة أوروك-هاي
itm_isen_uruk_helm_d|خوذة قبطان أوروك-هاي
itm_isen_uruk_helm_e|خوذة متعقب أوروك-هاي
itm_uruk_pike_b|مطرد موردور
itm_uruk_falchion_a|سيف أوروك عريض
; itm_orc_bastard_scimitar|Orc Great Scimitar
; itm_orc_cleaver_a|Orc Cleaver
itm_orc_scimitar_b|سيف عفريت منحني
itm_orc_sabre_b|سيف عفريت
; itm_orc_mangler|Orc Spiked Staff
itm_isengard_sword|سيف آيزنغارد
itm_isengard_axe|فأس آيزنغارد
itm_isengard_hammer|مطرقة آيزنغارد
itm_isengard_halberd|مطرد آيزنغارد
itm_isengard_mallet|مطرقة آيزنغارد خشبية
itm_isengard_heavy_axe|فأس آيزنغارد الثقيل
itm_isengard_heavy_sword|سيف آيزنغارد الثقيل
itm_isengard_spear|رمح آيزنغارد
itm_isengard_pike|مطرد آيزنغارد
itm_isen_orc_shield_a|درع عفريت آيزنغارد
itm_isen_orc_shield_b|درع عفريت آيزنغارد
itm_isen_uruk_shield_b|درع أوروك آيزنغارد
itm_wood_club|هراوة خشبية
itm_twohand_wood_club|هراوة خشبية كبيرة
itm_bone_cudgel|هراوة عظمية
; itm_orc_pick|Orc Pick
; itm_orc_hammer|Evil Hammer
itm_orc_club_b|هراوة راكب الورغ
itm_orc_club_c|هراوة عفريت شائكة
; itm_orc_mace|Evil Mace
itm_orc_sledgehammer|مطرقة عفريت ثقيلة
itm_orc_simple_spear|رمح عفريت
itm_orc_skull_spear|رمح عفريت جمجمي
itm_orc_bill|منجل عفريت
itm_orc_slasher|سيف عفريت قاطع
itm_orc_falchion|سيف عفريت عريض
itm_orc_scimitar|سيف عفريت منحني
itm_orc_sabre|سيف عفريت
; itm_orc_battle_axe|Orc Battle Axe
itm_orc_axe|فأس عفريت
itm_orc_two_handed_axe|فأس عفريت بيدين
itm_orc_throwing_axes|فؤوس عفريت للرمي
itm_orc_bow|قوس عفريت
itm_orc_shield_a|درع عفريت
itm_orc_shield_b|درع عفريت
itm_orc_shield_c|درع عفريت برجي
itm_mordor_orc_shield_a|درع عفريت موردور
itm_mordor_orc_shield_b|درع عفريت موردور
itm_mordor_orc_shield_c|درع عفريت موردور
itm_mordor_orc_shield_d|درع عفريت موردور
itm_mordor_orc_shield_e|درع عفريت موردور
itm_mordor_uruk_shield_a|درع أوروك موردور
itm_mordor_uruk_shield_b|درع أوروك موردور
itm_mordor_uruk_shield_c|درع أوروك موردور
itm_mordor_man_shield_a|درع رجل موردور
itm_mordor_man_shield_b|درع رجل موردور
itm_angmar_shield|درع أنغمار
itm_orc_nosehelm|خوذة عفريت أنفية
itm_orc_kettlehelm|خوذة عفريت كتل
itm_orc_buckethelm|خوذة عفريت دلو
itm_orc_morion|خوذة عفريت موريون
itm_orc_beakhelm|خوذة عفريت منقارية
itm_orc_bughelm|خوذة عفريت حشرية
itm_orc_visorhelm|خوذة عفريت مزودة بحاجب
itm_orc_coif|قلنسوة عفريت جمجمية
; itm_orc_skullcap|Orc Skullcap
; itm_orc_skullhelm|Orc Skullhelm
itm_orc_barbuta|خوذة عفريت أنفية
itm_m_orc_light_a|درع عفريت موردور الخفيف
itm_m_orc_light_b|درع عفريت موردور الخفيف
itm_m_orc_light_c|درع عفريت موردور الخفيف
itm_m_orc_light_d|درع عفريت موردور الخفيف
itm_m_orc_light_e|درع عفريت موردور الخفيف
itm_m_orc_heavy_a|درع عفريت موردور الثقيل
itm_m_orc_heavy_b|درع عفريت موردور الثقيل
itm_m_orc_heavy_c|درع عفريت موردور الثقيل
itm_m_orc_heavy_d|درع عفريت موردور الثقيل
itm_m_orc_heavy_e|درع عفريت موردور الثقيل
itm_m_uruk_light_a|تسخير أوروك
itm_m_uruk_light_b|درع أوروك الجلدي
itm_m_uruk_light_c|بريد أوروك الخفيف
itm_m_uruk_med_a|جلد أوروك الثقيل
itm_m_uruk_med_b|بريد أوروك الثقيل
itm_m_uruk_med_c|حراشف أوروك الخفيفة
itm_m_uruk_heavy_a|حراشف أوروك الثقيلة
itm_m_uruk_heavy_b|بريد أوروك المصفح
itm_m_uruk_heavy_c|بريد لوغبورز المصفح
itm_m_cap_armor|درع قبطان موردور
itm_black_num_armor|درع النومينوري الأسود
itm_m_armor_a|درع موردور
itm_m_armor_b|درع موردور
itm_evil_light_armor|زي شائن
itm_uruk_helm_a|خوذة أوروك
itm_uruk_helm_b|خوذة أوروك
itm_uruk_helm_c|خوذة أوروك منقارية
itm_uruk_helm_d|خوذة أوروك شبكية
itm_uruk_helm_e|خوذة أوروك مقنعة
itm_uruk_helm_f|خوذة أوروك
itm_mordor_cap_helm|خوذة قبطان موردور
itm_mordor_helm|خوذة موردور
itm_black_num_helm|خوذة النومينوري الأسود
itm_mordor_sword|سيف موردور النغل
itm_mordor_longsword|سيف موردور
itm_moria_armor_a|تسخير صدرية موريا
itm_moria_armor_b|صدرية وأكتاف موريا
itm_moria_armor_c|بريد عفريت موريا
itm_moria_armor_d|جلد موريا المثبت بمسامير
itm_moria_armor_e|بريد عفريت موريا الثقيل
itm_moria_orc_shield_a|درع موريا العظيم
itm_moria_orc_shield_b|درع عفريت موريا
itm_moria_orc_shield_c|درع عفريت موريا
itm_gundabad_armor_a|خرق عفريت غونداباد
itm_gundabad_armor_b|فراء عفريت غونداباد
itm_gundabad_armor_c|درع عفريت غونداباد
itm_gundabad_armor_d|درع عفريت غونداباد
itm_gundabad_armor_e|درع عفريت غونداباد الثقيل
itm_gundabad_helm_a|قبعة جلدية
itm_gundabad_helm_b|خوذة جلدية
itm_gundabad_helm_c|خوذة غونداباد
itm_gundabad_helm_d|خوذة غونداباد
itm_gundabad_helm_e|خوذة راكب الورغ
itm_dunland_wolfboots|أحذية دونلاند الذئبية
; itm_dunland_tunic_1|Dunnish Leather Tunic
; itm_dunland_tunic_2|Dunnish Leather Tunic
; itm_dunland_fur_1|Dunnish Fur
; itm_dunland_fur_2|Dunnish Fur
; itm_dunland_mail_1|Dunnish Hauberk
; itm_dunland_mail_2|Dunnish Hauberk
; itm_dunland_chieftain|Dunnish Chief Armor
itm_dun_helm_a|قبعة دونيش ذئبية
itm_dun_helm_b|قبعة دونيش ذات قرون
itm_dun_helm_c|خوذة دونيش طويلة
; itm_dun_helm_d|Dunnish Skullcap
itm_dun_shield_a|درع دونيش
itm_dun_shield_b|درع دونيش
itm_dun_berserker|سيف زعيم دونلاند
itm_dunnish_antler_axe|فأس دونيش ذو قرون
itm_dunnish_war_axe|فأس حرب دونيش
; itm_dunnish_axe|Dunnish Light Axe
itm_dunland_spear|رمح دونيش
itm_dunnish_pike|مطرد دونيش
; itm_dunnish_long_axe|Dunnish Long Axe
; itm_dun_shortsword|Dunnish Short Sword
itm_rohan_cav_sword|سيف روهان للركوب
itm_rohan_inf_sword|سيف روهان
itm_rohan_spear|رمح روهان
itm_rohan_lance|رمح روهان
itm_rohan_sword_c|سيف روهان
itm_rohirrim_short_axe|فأس روهيريم قصير
itm_rohirrim_long_hafted_axe|فأس روهيريم طويل المقبض
itm_rohan_2h_sword|سيف روهان الحربي
itm_rohan_recruit|سترة روهان المبطن
itm_rohan_leather|سترة روهان الجلدية
itm_rohan_mail|جوشن روهان
itm_rohan_rider|درع فارس روهان
itm_rohan_scale|درع روهان الحرشفي
itm_rohan_surcoat|معطف روهان
itm_rohan_guard|درع حارس روهان
itm_rohan_light_helmet_a|خوذة روهان الخفيفة
itm_rohan_light_helmet_b|خوذة روهان الخفيفة
itm_rohan_inf_helmet_a|خوذة روهان واقية العينين
itm_rohan_inf_helmet_b|خوذة روهان واقية العينين
itm_rohan_archer_helmet_a|خوذة روهان الأنفية
itm_rohan_archer_helmet_b|خوذة روهان الأنفية
itm_rohan_archer_helmet_c|خوذة حارس روهان
itm_rohan_shield_a|درع روهان
itm_rohan_shield_b|درع روهان
itm_rohan_shield_c|درع روهان
itm_rohan_shield_d|درع روهان
itm_rohan_shield_e|درع روهان
itm_rohan_shield_f|درع روهان
itm_rohan_shield_g|درع روهان الملكي
itm_rohan_light_greaves|ساقان روهان الخفيفتان
itm_rohirrim_war_greaves|ساقان روهيريم الحربيتان
; itm_mirkwood_leather|Woodelf Leather Armor
; itm_mirkwood_pad|Greenwood Quilted Coat
; itm_mirkwood_mail|Greenwood Mail
; itm_mirkwood_scale|Greenwood Light Scale
; itm_mirkwood_heavy_scale|Greenwood Leafscale
; itm_mirkwood_axe_2h|Greenwood Great axe
itm_mirkwood_sword|سيف ميركوود
itm_mirkwood_great_spear|رمح ميركوود العظيم
itm_mirkwood_war_spear|رمح ميركوود الحربي
itm_mirkwood_short_spear|رمح ميركوود
itm_mirkwood_knife|سكين ميركوود الأبيض
; itm_mirkwood_axe|Woodelf Axe
itm_mirkwood_spear_shield_a|درع حامل رمح ميركوود
itm_mirkwood_spear_shield_b|درع ميركوود الحربي
itm_mirkwood_spear_shield_c|درع سياف ميركوود
itm_mirkwood_helm_a|خوذة رامي ميركوود
itm_mirkwood_helm_b|خوذة ميركوود
itm_mirkwood_helm_c|خوذة حامل رمح ميركوود الملكي
itm_mirkwood_helm_d|خوذة رامي ميركوود الملكي
; itm_woodelf_leather_boots|Woodelf Leather Boots
itm_mirkwood_boots|أحذية ميركوود
itm_harad_tunic|سترة هاراد
itm_harad_padded|درع هاروندور المبطن
itm_harad_lamellar|درع هاراسجالا
; itm_harad_heavy_lamellar|Harad Heavy Scale Vest
itm_harad_heavy|درع هاراد النبيل
; itm_harad_pectoral|Harad Breastplate
itm_black_snake_armor|درع مارانكا
itm_harad_champion|زي هاراد البعيدة
itm_harad_scale|درع هاراد الحرشفي
itm_harad_lion_scale|درع حارس الأسد
itm_harad_dragon_helm|خوذة كيلوكا
itm_harad_cav_helm_a|خوذة فرسان هاروندور
itm_harad_cav_helm_b|خوذة فرسان هاروندور
itm_black_snake_helm|خوذة مارانكا
itm_harad_finhelm|خوذة هاراد الكبرى
itm_harad_heavy_inf_helm|خوذة هاراد الكبرى
itm_harad_wavy_helm|خوذة هاراد الكبرى
itm_harad_eaglehelm|خوذة حارس النسر
itm_lion_helm|خوذة حارس الأسد
itm_harad_pantherhelm|قبعة حارس النمر
itm_harad_khopesh|سيف هاراد المنجلي
itm_black_snake_sword|سيف هاراد العريض الثقيل
itm_harad_heavy_sword|سيف هاراد الثقيل
itm_horandor_a|سيف هاراد المنحني
itm_skirmisher_sword|سيف مناوش هاراد
itm_harad_sabre|سيف هاراد
itm_harad_mace|صولجان هاراد البعيدة
itm_far_harad_2h_mace|صولجان هاراد البعيدة بيدين
itm_harad_dagger|سكين هاراد
itm_harad_short_spear|رمح هاراد القصير
itm_harad_long_spear|رمح هاراد
itm_eagle_guard_spear|سلاح هاراسجالا الرمحي
itm_harad_long_shield_a|درع هاراد النمري
itm_harad_long_shield_b|درع هاراد البرونزي
itm_harad_long_shield_c|درع هاراد الشمسي
itm_harad_long_shield_d|درع هاراد الأفعواني
itm_harad_long_shield_e|درع هاراد الأفعواني
itm_harad_shield_a|درع هاروندور
itm_harad_shield_b|ترس هاروندور
itm_harad_shield_c|ترس هاروندور
itm_harad_yellow_shield|درع هاراد
itm_desert_boots|أحذية صحراوية
itm_harad_leather_greaves|ساقان هاراد الجلديتان
itm_harad_scale_greaves|أحذية هاراد
itm_harad_lamellar_greaves|أحذية هاراد
; itm_camel|Harad Camel
; itm_khand_inf_helm_a|Khand Helm
; itm_khand_inf_helm_b|Khand Helm
; itm_khand_inf_helm_c1|Khand Bowl Helm
; itm_khand_inf_helm_c2|Khand Bowl Helm
; itm_khand_inf_helm_d|Khand Cone Helm
; itm_khand_cav_helm_a|Khand Rider Helm
; itm_khand_cav_helm_b|Khand Rider Helm
; itm_khand_cav_helm_c|Khand Decorated Helm
; itm_khand_helm_mask|Khand Mask
itm_khand_light|نقبة كهاند
itm_khand_light_lam|حراشف كهاند الخفيفة
; itm_khand_foot_lam|Khand Heavy Footman Armor
; itm_khand_med_lam|Khand Medium Lamellar
itm_khand_heavy_lam|حراشف كهاند الثقيلة
; itm_khand_mail|Khand Mail
itm_khand_noble_lam|درع كهاند النبيل
itm_khand_axe_great|فأس كهاند العظيم
itm_khand_axe_winged|فأس كهاند المجنح
itm_khand_halberd|مطرد كهاند
itm_khand_trident|رمح كهاند ثلاثي الشعب
itm_khand_voulge|فأس كهاند المزدوجة
itm_khand_mace1|صولجان كهاند
itm_khand_mace2|صولجان كهاند
; itm_khand_throwing_axe|Khand Throwing Axe
itm_khand_rammace|صولجان كهاند الكبشي
itm_khand_pitsword|سيف مقاتل الحفرة
itm_khand_tulwar|سيف كهاند التولوار
itm_khand_2h_tulwar|سيف كهاند التولوار بيدين
itm_khand_lance|رمح كهاند
itm_easterling_round_horseman|درع شرقي دائري للفارس
itm_variag_gladiator_shield|درع مصارع فارياغ
itm_easterling_hawk_shield|درع شرقي للصقر
itm_rhun_bull1_shield|درع رون
itm_rhun_bull2_shield|درع رون
itm_rhun_bull3_shield|درع رون
itm_rhun_shield|درع رون الطائرة الورقية
itm_rhun_armor_a|ملابس رون الخفيفة للمعركة
itm_rhun_armor_b|ملابس رون الخفيفة للمعركة
itm_rhun_armor_d|ملابس رون الخفيفة للمعركة
itm_rhun_armor_g|ملابس رون الثقيلة للمعركة
itm_rhun_armor_h|ملابس رون الثقيلة للمعركة
itm_rhun_armor_j|ملابس رون المتوسطة للمعركة
