; qstr_Wealth:_{reg0}_denar|Wealth: {reg0} denars
; qstr_Inventory:_{reg0}_de|Inventory: {reg0} denars
; qstr_Experience:_{reg0}|Experience: {reg0}
; qstr_Days_Passed:_{reg0}|Days Passed: {reg0}
; qstr_Difficulty:_{reg0}%|Difficulty: {reg0}%
; qstr_{reg3?+:}{reg0}|{reg3?+:}{reg0}
; qstr_TOTAL_SCORE:_{reg0}|TOTAL SCORE: {reg0}
; qstr_A_peaceful_village_n|A peaceful village not far from Westfold...
; qstr_The_War_is_upon_Roha|The War is upon Rohan!
; qstr_Minas_Tirith___The_W|Minas Tirith - The White City
; qstr_The_White_Tree_stand|The White Tree stands dead since the line of the Kings had failed
; qstr_The_Shadow_grows_eve|The Shadow grows ever stronger in the East
; qstr_Minas_Morgul___City_|Minas Morgul - City of the Nazgul
; qstr_Sauron_s_armies_marc|Sauron's armies march into War!
; qstr_Adventurers_at_audie|Adventurers at audience with Steward Denethor...
; qstr___What_business_do_y| 'What business do you have here, supplicants?'
; qstr___Your_Stewardship_w| 'Your Stewardship, we have come from distant lands to... jump!'
; qstr___Enough_of_this_mad| 'Enough of this madness! Guards!!'
; qstr___I_ve_had_enough_of| 'I've had enough of these pranks... The next bunch would have to kneel!'
; qstr_Chest|Chest
; qstr_Cape|Cape
; qstr_Arms|Arms
; qstr_Thighs|Thighs
; qstr_Legs|Legs
; qstr_Rotate|Rotate
; qstr_Close|Close
; qstr_Faction_Side:^^Campa|Faction Side:^^Campaign Difficulty*:^^Home Theater:^^Marshall:^^Enemies:^^
; qstr_Campaign_Difficulty_|Campaign Difficulty is based on starting faction strength, theater enemies,^ and faction troop tree & troop equipment.
; qstr_Rallies:|Rallies:
; qstr_View_Keybinds__Press|View Keybinds (Press Insert)
; qstr_What_do_you_fight_fo|What do you fight for?
; qstr_Go_Back...|Go Back...
; qstr_Learn_about_the_diff|Learn about the different factions of Middle-Earth
; qstr_The_DAWN_of_a_New_Er|The DAWN of a New Era
; qstr_The_TWILIGHT_of_Man|The TWILIGHT of Man
; qstr_Select_your_Race?|Select your Race?
; qstr_Man|Man
; qstr_Elf|Elf
; qstr_Dwarf|Dwarf
; qstr_Whom_Do_You_Serve?|Whom Do You Serve?
; qstr_SAURON_of_Mordor_The|SAURON of Mordor, The Lord of the Rings
; qstr_SARUMAN_of_Isengard_|SARUMAN of Isengard, The White Hand
; qstr_an_ORC^_serving_the_|an ORC,^ serving the Lidless Eye
; qstr_an_URUK^_the_new_bre|an URUK,^ the new breed of Orcs
; qstr_a_MAN^_subjugated_by|a MAN,^ subjugated by Sauron
; qstr_an_ORC^_serving_the_W|an ORC,^ serving the White Hand
; qstr_an_URUK_HAI^_bred_in|an URUK-HAI,^ bred in Isengard
; qstr_a_MAN_of_Dunland^_th|a MAN of Dunland,^ the Western Plains
; qstr_Click_the_center_but|Click the center button to toggle faction^Click the avatars to view details of them
; qstr_Level:_{reg3}^Health|Level: {reg3}^Health: {reg4}
; qstr_Attributes|Attributes
; qstr_STR^AGI^INT^CHA|STR^AGI^INT^CHA
; qstr_Skills|Skills
; qstr_Ironflesh^Power_Stri|Ironflesh^Power Strike^Power Throw^Power Draw^Shield^Athletics^Riding^Horse Archery
; qstr_Proficiencies|Proficiencies
; qstr_1H_Weapons^2H_Weapon|1H Weapons^2H Weapons^Polearms^Archery^Crossbows^Throwing
; qstr_Equipment|Equipment
; qstr_The_Last_Days_Mod_Op|The Last Days Mod Options
; qstr_War_Starts_at_Level:|War Starts at Level: 
; qstr_Restrict_Player_Equi|Restrict Player Equipment:  
; qstr_Battle_Formations_an|Battle Formations and AI:  
; qstr_Native|Native
; qstr_TLD_FormAI__Original|TLD FormAI (Original)
; qstr_TLD_New_FormAI|TLD New FormAI
; qstr_Advanced_Siege_AI:__|Advanced Siege AI:  
; qstr_On|On
; qstr_Town_NPCs_Always_Acc|Town NPCs Always Accessible from Menus:  
; qstr_Cutscenes:__|Cutscenes:  
; qstr_Injuries_for_compani|Injuries for companions:  
; qstr_Permanent_death_for_|Permanent death for lords and companions:  
; qstr_Permanent_death_for_p|Permanent death for player (that is YOU!):  
; qstr_Battle_morale_system|Battle morale system:  
; qstr_Animal_ambushes:__|Animal ambushes:  
; qstr_Fallen_rider_damage_|Fallen rider damage messages:  
; qstr_No_Messages|No Messages
; qstr_Player_damage_only|Player damage only
; qstr_All_Messages|All Messages
; qstr_Troop_Identifier_in_|Troop Identifier in Battles (Press Y during battle to show/hide):
; qstr_Disable|Disable
; qstr_Enable_without_Facti|Enable without Faction Names
; qstr_Enable_with_Faction_|Enable with Faction Names
; qstr_Simple:_Red___Enemy_|Simple: Red - Enemy / Green - Allies
; qstr_Preferred_Camera_Mod|Preferred Camera Mode:  
; qstr_Default_Camera|Default Camera
; qstr_Free_Mode_Custom_Cam|Free-Mode Custom Camera
; qstr_Fixed_Over_The_Shoul|Fixed Over-The-Shoulder Camera
; qstr_Prevent_AI_from_taki|Prevent AI from taking defensive:  
; qstr_Brighter_Nights:__|Brighter Nights:  
; qstr_Done|Done
; qstr_Gameplay_Tweaks|Gameplay Tweaks
; qstr_Beta_Formations_Twea|Beta Formations Tweaks
; qstr_War_Will_Start_at_Le|War Will Start at Level {reg0}
; qstr_Troop_Tree|Troop Tree
; qstr__Click_on_a_unit_for|(Click on a unit for details)
; qstr_Weapons|Weapons
; qstr_Armors|Armors
; qstr_Others|Others
; qstr_F4___Complex_formati|F4 - Complex formations
; qstr_F7___Memorize_div._p|F7 - Memorize div. placement
; qstr_F8___Default_divisio|F8 - Default division placement
; qstr_F4___Ranks|F4 - Ranks
; qstr_F5___Shield_Wall|F5 - Shield Wall
; qstr_F6___Wedge|F6 - Wedge
; qstr_F7___Square|F7 - Square
; qstr_F8___No_Formation|F8 - No Formation
; qstr_Extended_Formations_|Extended Formations and AI Options
; qstr_Put_player_in_divisi|Put player in division: 
qstr_None|لايوجد
; qstr_Army_rotates_to_face|Army rotates to face enemy center: 
; qstr_Prevent_AI_from_takin|Prevent AI from taking defensive: 
; qstr_AI_Controls_Troops_W|AI Controls Troops When Player is KO'd: 
; qstr_You_gained_{reg0}_Re|You gained {reg0} Resource Points of {s0}.
; qstr_You_lost_{reg0}_Reso|You lost {reg0} Resource Points of {s0}.
; qstr_{s24}:|{s24}:
; qstr_Great_Hope_of_{s5}|Great Hope of {s5}
; qstr_Hope_of_{s5}|Hope of {s5}
; qstr_Indispensable_Ally_o|Indispensable Ally of {s5}
; qstr_Faithful_Ally_of_{s5|Faithful Ally of {s5}
; qstr_Trusted_Friend_of_{s|Trusted Friend of {s5}
; qstr_Close_Friend_of_{s5}|Close Friend of {s5}
; qstr_Friend_of_{s5}|Friend of {s5}
; qstr_Familiar_to_{s5}|Familiar to {s5}
; qstr_Known_to_{s5}|Known to {s5}
; qstr_Stranger_to_{s5}|Stranger to {s5}
; qstr_Great_Enforcer_of_{s|Great Enforcer of {s5}
; qstr_Enforcer_of_{s5}|Enforcer of {s5}
; qstr_Important_Ally_of_{s|Important Ally of {s5}
; qstr_Ally_of_{s5}|Ally of {s5}
; qstr_Accomplice_of_{s5}|Accomplice of {s5}
; qstr_Useful_Tool_of_{s5}|Useful Tool of {s5}
; qstr_Servant_of_{s5}|Servant of {s5}
; qstr_Unknown_to_{s5}|Unknown to {s5}
; qstr_You_have_been_{reg1?|You have been {reg1?promoted:demoted} to {s24} ({reg0})!
; qstr_You_{reg1?earned:los|You {reg1?earned:lost} {reg11} rank points {reg12?and {reg12} influence :}with {s11}.
; qstr_You_spent_{reg10}_of|You spent {reg10} of your influence with {s1}, with {reg11} remaining.
; qstr_Troop_upkeep:|Troop upkeep:
; qstr_{s11}_and_{s10}|{s11} and {s10}
; qstr_their|their
; qstr_its|its
; qstr_[no_upkeep_costs]|[no upkeep costs]
; qstr_Short_of_Resource_Po|Short of Resource Points!!
; qstr_{s10}_will_soon_reas|{s10} will soon reassign some of {s12} troops away from your party!
; qstr_Superior_orders_from|Superior orders from {s11} to reassign troops:
; qstr_{reg12}_{s10}_left_t|{reg12} {s10} left the party!
; qstr_Fangorn_claimed_{reg|Fangorn claimed {reg0} killed and {reg1} wounded among your troops!
; qstr_You_were_wounded_in_|You were wounded in Fangorn!
; qstr_{s1}_of_{s3}_was_def|{s1} of {s3} was defeated in battle.
; qstr_{s2}_have_razed_{s1}|{s2} have razed {s1}!
; qstr_Left_for_dead_but_mi|Left for dead but miraculously survived: {reg1?{reg1} time{reg2?s:}:NEVER}
; qstr_1_Res.Pt__{s2}_|1 Res.Pt ({s2})
; qstr_{reg1}_Res.Pts__{s2}|{reg1} Res.Pts ({s2})
; qstr_+30_to_Party_Morale|+30 to Party Morale
; qstr_+20_to_Party_Morale|+20 to Party Morale
; qstr_+1_to_Riding_Skill|+1 to Riding Skill
; qstr_+1_to_Pathfinding|+1 to Pathfinding
; qstr_+1_to_Athletics|+1 to Athletics
; qstr_Use_from|Use from
; qstr_Action_Menu|Action Menu
; qstr_+1_to_First_Aid|+1 to First Aid
; qstr_+1_to_Weapon_Mastery|+1 to Weapon Mastery
; qstr_+1_to_Wound_Treatmen|+1 to Wound Treatment
; qstr_+1_to_Tactics|+1 to Tactics
; qstr_+1_to_Power_Strike|+1 to Power Strike
; qstr_when_equipped|when equipped
; qstr_+1_to_Strength|+1 to Strength
; qstr_+1_to_Agility|+1 to Agility
; qstr_+1_to_Leadership|+1 to Leadership
; qstr_+1_to_Power_Draw|+1 to Power Draw
; qstr_Turns_nature_to_your|Turns nature to your side (effect scales with Wildcraft)
; qstr_+1_to_Trainer|+1 to Trainer
; qstr_Recruits_Tribal_Orcs|Recruits Tribal Orcs
; qstr_rally|rally
; qstr_rallies|rallies
; qstr_+{reg1}_{s3}_in_batt|+{reg1} {s3} in battle
; qstr_+1_to_Charisma|+1 to Charisma
; qstr_+1_to_Surgery|+1 to Surgery
; qstr_+1_to_Wildcraft|+1 to Wildcraft
; qstr_+1_to_Ironflesh|+1 to Ironflesh
; qstr_+1_to_Prisoner_Mgmt|+1 to Prisoner Mgmt
; qstr_+2_to_Tactics|+2 to Tactics
; qstr_+3_to_Spotting|+3 to Spotting
; qstr_Less_Dunnish_upkeep|Less Dunnish upkeep
; qstr_Less_Wargs_upkeep|Less Wargs upkeep
; qstr_+{reg1}_to_Party_Mor|+{reg1} to Party Morale
; qstr_Do_you_want_to_disem|Do you want to disembark?
; qstr_Move_here|Move here
; qstr_View_notes|View notes
; qstr_Looted_your_items|Looted your items
; qstr_nothing|nothing
; qstr_Good|Good
; qstr_Med|Med
; qstr_Bad|Bad
; qstr_{reg4}_killed_{reg5}|{reg4} killed, {reg5} wounded, {reg6} routed
; qstr_{reg4}_killed_{reg5}_|{reg4} killed, {reg5} wounded
; qstr_{reg4}_killed_{reg5}_r|{reg4} killed, {reg5} routed
; qstr_{reg4}_wounded_{reg5|{reg4} wounded, {reg5} routed
; qstr_killed|killed
; qstr_routed|routed
; qstr_wounded|wounded
; qstr_{s0}^TOTAL:_{reg3}__|{s0}^TOTAL: {reg3} ({s2})
; qstr_^None|^None
; qstr_near_the_Great_East_|near the Great East Road, the abandoned old road
; qstr_near_what_is_left_of|near what is left of the Old Forest Road, the ancient dwarven path that used to cross the thick forest
; qstr_close_to_the_Hand_sh|close to the Hand-shaped sign of Saruman, pointing toward the tower of Orthanc
; qstr_in_sight_of_the_maje|in sight of the majestic City Walls of Minas Tirith, the White City
; qstr_in_sight_of_Edoras_t|in sight of Edoras, the capital of Rohan
; qstr_in_sight_of_the_Horn|in sight of the Hornburg, the great fortress of Rohan
; qstr_in_sight_of_Dol_Amro|in sight of Dol Amroth, the seat of the Princes of Belfalas
; qstr_in_sight_of_the_Mora|in sight of the Morannon, the Black Gate of Mordor
; qstr_in_sight_of_Dol_Guld|in sight of Dol Guldur, Sauron's northern fortress
; qstr_on_the_green_pasture|on the green pastures and many-flowered meadows surrounding Beorn's House
; qstr_on_the_shores_of_Lak|on the shores of Lake Mirrormere, near the East Gate of Moria
; qstr_on_the_shores_of_the|on the shores of the Long Lake, in sight of Esgaroth, the Laketown
; qstr_near_the_coast_of_Go|near the coast of Gondor. You can hear the distant sound of the waves and the cries of the seagulls.
; qstr_in_the_outskirts_of_|in the outskirts of Osgiliath, the former capital of Gondor
; qstr_in_sight_of_the_entr|in sight of the entrance to Erebor, the dwarven fortress
; qstr_in_sight_of_the_dark|in sight of the dark Tower of Orthanc
; qstr_near_the_Old_Ford_wh|near the Old Ford, where the Old Forest Road crosses the River Anduin
; qstr_near_a_big_ford_cros|near a big ford crossing the River {s15}
; qstr_near_a_small_ford_cr|near a small ford crossing the River {s15}
; qstr_Battle_Advantage_=_{|"Battle Advantage = {reg0}.
; qstr_{s9}_wants_you_to_re|{s9} wants you to resume following his army until further notice.
; qstr__Being_Raided_|(Being Raided)
; qstr__Looted_|(Looted)
; qstr__Under_Siege_|(Under Siege)
; qstr_{s3}_is_no_longer_un|{s3} is no longer under siege.
; qstr_Enemies_spotted_near|Enemies spotted near {s1}.
; qstr_Your_relation_with_{|Your relation with {s1} has improved.
; qstr_Your_relation_with_{s|Your relation with {s1} has deteriorated.
; qstr_{s2}_{reg3?was:is_cu|{s2} {reg3?was:is currently} at {s3}.
; qstr_{s2}_{reg3?was:is}_t|{s2} {reg3?was:is} travelling to {s3} and {reg4?she:he} {reg3?was:should be} close to {s4}{reg3?: at the moment}.
; qstr_{s2}_{reg3?was:is}_i|{s2} {reg3?was:is} in wilderness and {reg4?she:he} {reg3?was:should be} close to {s3}{reg3?: at the moment}.
; qstr_{s2}_{reg3?was:is}_b|{s2} {reg3?was:is} being held captive at {s3}.
; qstr_{s2}_{reg3?was:has_b|{s2} {reg3?was:has been} taken captive by {reg4?her:his} enemies.
; qstr_{reg3?{s2}_s_locatio|{reg3?{s2}'s location was unknown:I don't know where {s2} is}.
; qstr_{s6}_has_joined_your|{s6} has joined your party
; qstr_elven|elven
; qstr_dwarven|dwarven
; qstr_orc|orc
; qstr_uruk|uruk
; qstr_uruk_hai|uruk-hai
; qstr_trollish|trollish
; qstr_man|man
; qstr_riding|riding
; qstr_marching|marching
; qstr_charging|charging
; qstr_We_know_this_is_your|We know this is your land, {playername}.^Trust us, we're here to fight our common Enemy.
; qstr_I_trust_you._{s20}_a|I trust you. {s20} and {s21} should be friends and trust each other.
; qstr_There_is_wisdom_in_y|There is wisdom in your words, {playername}.
; qstr_Why_should_I?_Better|Why should I? Better leave the land of {s20}.
; qstr_We_will_go_in_peace_|We will go in peace, as soon as we have completed our mission, of which, I'm afraid, we cannot tell you.
; qstr_Is_this_your_land_{p|Is this your land, {playername}? This place stinks.^But stay calm, we are in {s20} only to follow orders by our common Master.
; qstr_Yes_go_on_do_whateve|Yes, go on, do whatever {s22} says.
; qstr_Of_course.|Of course.
; qstr_I_don_t_like_this._W|I don't like this. What brings your lot here, all the way from {s21}?
; qstr_Do_you_fear_us_{play|Do you fear us, {playername} from {s20}? Mmm, what are you hiding from {s22}?^^Leave us alone, and noone gets hurt.
; qstr_It_s_a_servant_of_{s|It's a servant of {s22}. Fear {s23}, {playername}!
; qstr_Our_allies_are_you?_|Our allies, are you? I guess you can pass. 
; qstr_And_we_shall_not_kil|And we shall not kill you, for now.
; qstr_This_land_belongs_to|This land belongs to {s20}... {s23} has no business here.
; qstr_We_will_stay_as_long|We will stay as long as  our master commands! Thank your fate that we didn't come for you.
; qstr_You_wear_the_colors_|You wear the colors of {s20}. What is your business in {s21}?^Speak quickly!
; qstr_We_are_pursuing_our_|We are pursuing our enemies, who are also your enemies!
; qstr_Maybe._Or_maybe_you_|Maybe. Or maybe you are spies.^Go back where you belong, soldier of {s20}.
; qstr_We_are_friends_of_{s|We are friends of {s21}.
; qstr_Time_will_tell_if_yo|Time will tell if you speak the truth. It is difficult to tell friend from foe these days.
; qstr_What_are_you_doing_h|What are you doing here in {s21}, {s20} scum? This is our place, not yours!
; qstr_You_dare_question_di|You dare question direct orders from {s23}?
; qstr_Guess_not._But_I_sti|Guess not. But I still don't like having you around.^I'll be watching you, {playername} of {s20}.
; qstr_None_of_your_busines|None of your business, pig!
; qstr_*growls*^You_should_|*growls*^You should be glad you fight for our Master, otherwise you would not get away with this trespassing.
; qstr_What_are_you_doing_s|What are you doing so far from home, slave of {s22}? Around here, {s23} is the Master!
; qstr_Quiet!_I_didn_t_came|Quiet! I didn't came for you. This time.
; qstr_And_I_ve_orders_to_l|And I've orders to let you pass. This time.
; qstr_None_of_your_business|None of your business.
; qstr_You_slaves_of_{s22}_|You slaves of {s22} are weak! You are fortunate that we consider you to be allies...
; qstr_Look_whom_we_meet_so|Look whom we meet so far from home: soldiers of {s20}! Is this good news or bad?
; qstr_{s20}_and_{s21}_figh|{s20} and {s21} fight for a common cause. We should cooperate in hostile lands.
; qstr_In_these_dark_times_|In these dark times, it is everybody for themselves, {playername}.^But I wish you a safe journey home.
; qstr_Neither_good_nor_bad|Neither good, nor bad.  Our business is our own.
; qstr_Everybody_on_his_way|Everybody on his way, then.
; qstr_What_are_you_trying_|What are you trying to do, {s20} scum? Steal our spoils?
; qstr_Ha!_Soon_there_will_|Ha! Soon there will be spoils for everybody.
; qstr_Yes._Unless_you_get_|Yes. Unless you get killed first.
; qstr_You_don_t_get_any_sp|You don't get any spoils if YOU get killed, scum of {s21}.
; qstr_Is_that_a_threat?_Be|Is that a threat? Be thankful that we have enemies around to slaughter before it is your turn.
; qstr_The_enemy_is_upon_us|The enemy is upon us! ^
; qstr_They_are_upon_us!_^|They are upon us! ^
; qstr_{playername}_and_{hi|{playername} and {his/her} rabble from {s18} is upon us! ^
; qstr_ORCS!_ORCS!|ORCS! ORCS!
; qstr_ORCS!_ORCS!_Fight_fo|ORCS! ORCS! Fight for your life!
; qstr_Elven_ghosts!|Elven ghosts!
; qstr_Here_they_come!_Hold|Here they come! Hold ranks!
; qstr_We_are_under_attack!|We are under attack!
; qstr_Horse_people!_The_ho|Horse people! The horse people are upon us!
; qstr_Men_from_the_White_C|Men from the White City? Let them come, to their death!
; qstr_Death_to_men!|Death to men!
; qstr_Kill_the_maggots!|Kill the maggots!
; qstr_Death_to_traitors_of|Death to traitors of the Eye!
; qstr_Death_to_traitors_of_|Death to traitors of the White Hand!
; qstr_{s14}Kill_them_all!_|{s14}Kill them all! Take no prisoners!
; qstr_Tonight_we_feast_on_|Tonight we feast on {s15} flesh!
; qstr_Gharr!_Kill!_Kill!_K|Gharr! Kill! Kill! Kill!
; qstr_Slaughter_these_half|Slaughter these half men!
; qstr_Fear_no_elven_ghosts|Fear no elven ghosts!
; qstr_{s14}Double_rations_|{s14}Double rations to the one bringing me the most heads!
; qstr_{s14}Double_rations_t|{s14}Double rations to the one bringing me the most {s15} heads!
; qstr_{s14}Kill_these_hors|{s14}Kill these horse thieves!
; qstr_Kill_them_all!_Take_|Kill them all! Take back what is ours!
; qstr_Tonight_there_will_b|Tonight there will be one less enemy of {s16}!
; qstr_Baruk_Khazd!_Khazd_a|Baruk Khazâd! Khazâd ai-mênu!
; qstr_{s14}Riders_of_Rohan|{s14}Riders of Rohan! Remember what you fight for!
; qstr_{s14}More_{s19}heads|{s14}More {s19}heads to decorate the gates of Morannon!
; qstr_The_Wise_Master_shal|The Wise Master shall be pleased when I show him the body of {playername}!
; qstr_{s14}Now_we_will_put|{s14}Now we will put an end to the suffering of these foul things.
; qstr_{s14}Today_we_shall_|{s14}Today we shall battle the enemies of Imladris and all that is fair.
; qstr_All_who_enter_Mirkwo|All who enter Mirkwood with malice shall never leave!
; qstr_Men_of_{s16}_the_ene|Men of {s16}, the enemy is here! Fight for your land!
; qstr_Men_of_{s16}_charge!|Men of {s16}, charge! Fight for your land!
; qstr_{s14}Grind_their_bod|{s14}Grind their bodies into the sand!
; qstr_{s14}Dwarves_or_men_|{s14}Dwarves or men, they are no match for our fierceness!
; qstr_{s14}Elves_or_men_th|{s14}Elves or men, they are no match for our fierceness!
; qstr_{s14}Flesh_to_shatte|{s14}Flesh to shatter, throats to cut, blood to spill!
; qstr_Put_on_the_masks_of_|Put on the masks of warriors, men! Today the doom falls upon our enemies from {s18}!
; qstr_They_seek_the_tempes|They seek the tempest, and they shall have it! Men, prepare to fight!
; qstr_Draw_your_weapons_me|Draw your weapons, men, for tempest is unleashed upon our enemies!
; qstr_Orcs_of_{s16}_get_re|Orcs of {s16}, get ready! Here are a few throats for you to cut!
; qstr_These_friend_of_elve|These friend of elves will fall under our blades!
; qstr_These_Elves_will_fal|These Elves will fall under our blades!
; qstr_Raahh!_Draw_your_wea|Raahh! Draw your weapons, scum of {s16}! Tonight we feast on {s15} entrails!
; qstr_Rha!_{s14}More_{s15}|Rha! {s14}More {s15} bodies to disfigure with our twisted weapons!
; qstr_Slaughter_these_puny|Slaughter these puny thieves of {s18} now! Then we burn their homes and cut down their families.
; qstr_Death_to_the_trespas|Death to the trespassers of the lands of {s16}!
; qstr_CHARGE!_Let_s_clear_|CHARGE! Let's clear the {s18} {s19}scum from {s17}!
; qstr_{s14}Now_that_{s19}s|{s14}Now that {s19}scum will taste the fury of the bear people!
; qstr_Attack!|Attack!
; qstr_You_are_attacked_by_|You are attacked by a group of goblins!
; qstr_Holding|Holding
; qstr_Following|Following
; qstr_Charging|Charging
; qstr_Advancing|Advancing
; qstr_Falling_Back|Falling Back
; qstr_Standing_Closer|Standing Closer
; qstr_Spreading_Out|Spreading Out
; qstr_Standing|Standing
; qstr_N/A|N/A
; qstr_Free|Free
; qstr_Any_Weapon|Any Weapon
; qstr_Blunt_Weapons|Blunt Weapons
; qstr_Infantry__{reg1}_|Infantry ({reg1})
; qstr_Archers__{reg2}_|Archers ({reg2})
; qstr_Cavalry__{reg3}_|Cavalry ({reg3})
; qstr_Orc_brew_finished!|Orc brew finished!
; qstr_Given_by:_{s62}|Given by: {s62}
; qstr_Given_on:_{s60}|Given on: {s60}
; qstr_You_have_{reg0}_days|You have {reg0} days to finish this quest.
; qstr_This_quest_has_been_|This quest has been concluded. Talk to {s59} to finish it.
; qstr_This_quest_has_been_s|This quest has been successfully completed. Talk to {s59} to claim your reward.
; qstr_This_quest_has_faile|This quest has failed. Talk to {s59} to explain the situation.
; qstr_At_the_time_quest_wa|At the time quest was given:^{s1}
; qstr_{s7}_and_{s8}|{s7} and {s8}
; qstr_{s7}_{s8}|{s7}, {s8}
; qstr_noone|noone
; qstr_{s9}_and_{s10}|{s9} and {s10}
; qstr_{s9}_{s10}|{s9}, {s10}
; qstr_no_one|no one
; qstr_{s11}_and_{s12}|{s11} and {s12}
; qstr_{s11}_{s12}|{s11}, {s12}
; qstr_{s5}_is_ruled_by_{s6|{s5} is ruled by {s6}.^It controls {s8}.^Its commanders are {s10}.^{s5} is at war with {s12}.
; qstr_{s5}_has_been_defeat|{s5} has been defeated!
; qstr_{s5}_has_a_strength_|{s5} has a strength of {reg1} men in total.
; qstr_no_holdings|no holdings
; qstr_{s57}_and_{s58}|{s57} and {s58}
; qstr_{s57}_{s58}|{s57}, {s58}
; qstr_{reg3?She:He}|{reg3?She:He}
; qstr_{reg6?:{reg4?{s54}_i|{reg6?:{reg4?{s54} is the ruler of {s56}.^:{s54} serves {s55} of {s56}.^}}{reg9?{reg3?She:He} is the {reg3?lady:lord} of {s58}.:}{s59}{reg10?^{reg3?She:He} died on the battlefield!:}
; qstr_The_last_time_you_sa|The last time you saw {reg1?her:him}, {s1}
; qstr_The_last_time_you_he|The last time you heard about {reg1?her:him}, {s1}
; qstr_The_{s50}|The {s50}
; qstr_{s50}_belongs_to_{s1|{s50} belongs to {s1} of {s2}.^
; qstr_Current_garrison_con|Current garrison consists of {reg5} men.^Has food stock for {reg6} days.
; qstr_Very_Poor|Very Poor
; qstr_Poor|Poor
; qstr_Average|Average
; qstr_Rich|Rich
; qstr_Very_Rich|Very Rich
; qstr_Strength|Strength
; qstr_Agility|Agility
; qstr_Intelligence|Intelligence
; qstr_Charisma|Charisma
; qstr_You_ve_gained_{s6}_f|You've gained {s6} from gaining {s7}
; qstr_You_ve_lost_{s6}_fro|You've lost {s6} from losing {s7}
; qstr_{s50}_Caves|{s50} Caves
; qstr_{s50}_Mines|{s50} Mines
; qstr_{s50}_Woods|{s50} Woods
; qstr_{s4}_looks_upset.|{s4} looks upset.
; qstr_your_party|your party
; qstr_{reg0?One_of_your_pr|{reg0?One of your prisoners, :}{s1} of {s3} has escaped from captivity!
; qstr_You_brought_{reg3}_h|You brought {reg3} heads of cattle to {s1}.
; qstr_Log_entry_{reg3}:_ty|Log entry {reg3}: type {reg4}
; qstr_Center:_{s4}|Center: {s4}
; qstr_Troop:_{s4}|Troop: {s4}
; qstr_Lord:_{s4}|Lord: {s4}
; qstr_Ally_party_is_presen|Ally party is present
; qstr_{s4}_is_present_at_e|{s4} is present at event
; qstr_Event_#{reg5}_type_{|Event #{reg5}, type {reg6}, time {reg8}: player's kingdom relation to troop object = {reg7}
; qstr_Event_#{reg5}_type_{r|Event #{reg5}, type {reg6}, time {reg8}: player's kingdom relation to center object faction = {reg7}
; qstr_Event_#{reg5}_type_{re|Event #{reg5}, type {reg6}, time {reg8}: player's kingdom relation to faction object = {reg7}
; qstr_Event_#{reg5}_type_{reg|Event #{reg5}, type {reg6}, time {reg8}. No relevant kingdom relation
; qstr_Event_#{reg5}_type_{reg6|Event #{reg5}, type {reg6}, time {reg8}. Player unaffiliated
; qstr_Elapsed_hours:_{reg7|Elapsed hours: {reg7}
; qstr_Reputation_type:_{s1|Reputation type: {s15}
