trp_unarmed_troop|Silahsız Birlik
trp_ac2_rhun_horse_scout|Rhun Gözcüsü
trp_ac2_rhun_horse_scout_pl|Rhun Gözcüleri
trp_ac3_rhun_horse_archer|Rhun Atlı Okçusu
trp_ac3_rhun_horse_archer_pl|Rhun Atlı Okçuları
trp_ac4_rhun_veteran_horse_archer|Rhun Kıdemli Atli Okçusu
trp_ac4_rhun_veteran_horse_archer_pl|Rhun Kıdemli Atli Okçulari
trp_ac5_rhun_balchoth_horse_archer|Balchoth Atlı Okçusu
trp_ac5_rhun_balchoth_horse_archer_pl|Balchoth Atlı Okçuları
trp_c3_rhun_swift_horseman|Rhun Hafif Süvarisi
trp_c3_rhun_swift_horseman_pl|Rhun Hafif Süvarileri
trp_c4_rhun_veteran_swift_horseman|Rhunlu Kıdemli Çevik Süvari
trp_c4_rhun_veteran_swift_horseman_pl|Rhunlu Kıdemli Çevik Süvariler
trp_c5_rhun_falcon_horseman|Şahin Atlısı
trp_c5_rhun_falcon_horseman_pl|Şahin Atlıları
trp_i2_rhun_tribal_warrior|Rhunlu Kabile Savaşçısı
trp_i2_rhun_tribal_warrior_pl|Rhunlu Kabile Savaşçıları
trp_i3_rhun_tribal_infantry|Rhunlu Kabile Piyadesi
trp_i3_rhun_tribal_infantry_pl|Rhunlu Kabile Piyadeleri
trp_i4_rhun_vet_infantry|Rhunlu Kıdemli Piyade
trp_i4_rhun_vet_infantry_pl|Rhunlu Kıdemli Piyadeler
trp_i5_rhun_ox_warrior|Oxlu Piyade
trp_i5_rhun_ox_warrior_pl|Oxlu Piyadeler
trp_c2_rhun_light_horseman|Rhunlu Hafif Atlı
trp_c2_rhun_light_horseman_pl|Rhunlu Hafif Atlılar
trp_c3_rhun_light_cavalry|Rhunlu Hafif Süvari
trp_c3_rhun_light_cavalry_pl|Rhunlu Hafif Süvariler
trp_c4_rhun_noble_cavalry|Rhunlu Soylu Süvari
trp_c4_rhun_noble_cavalry_pl|Rhunlu Soylu Süvariler
trp_c5_rhun_heavy_noble_cavalry|Rhun Agır Soylu Süvariler
trp_c5_rhun_heavy_noble_cavalry_pl|Rhunlu Agır Soylu Süvari
trp_c6_rhun_dorwinion_noble|Rhunun Dorwinion Soylusu
trp_c6_rhun_dorwinion_noble_pl|Rhunun Dorwinion Soyluları
trp_i1_dwarf_apprentice|Cüce Çıragı
trp_i1_dwarf_apprentice_pl|Cüce Çırakları
trp_i2_dwarf_warrior|Cüce Savaşçısı
trp_i2_dwarf_warrior_pl|Cüce Savaşçıları
trp_i3_dwarf_hardened_warrior|Zırhlı Cüce Savaşçısı
trp_i3_dwarf_hardened_warrior_pl|Zırhlı Cüce Savaşçıları
trp_i4_dwarf_spearman|Mızraklı Cüce
trp_i4_dwarf_spearman_pl|Mızraklı Cüceler
trp_i5_dwarf_pikeman|Kargıcı Cüce
trp_i5_dwarf_pikeman_pl|Kargıcı Cüceler
trp_i6_dwarf_longpikeman|Uzun Mızraklı Cüce
trp_i6_dwarf_longpikeman_pl|Uzun Mızraklı Cüceler
trp_i4_dwarf_axeman|Baltalı Cüce
trp_i4_dwarf_axeman_pl|Baltalı Cüceler
trp_i5_dwarf_expert_axeman|Usta Baltalı Cüce
trp_i5_dwarf_expert_axeman_pl|Usta Baltalı Cüceler
trp_i6_dwarf_longbeard_axeman|Uzun Sakallı Baltacı Cüce
trp_i6_dwarf_longbeard_axeman_pl|Uzun Sakallı Baltacı Cüceler
trp_a2_dwarf_lookout|Uyanık-cüce
trp_a2_dwarf_lookout_pl|Uyanık-cüceler
trp_a3_dwarf_scout|İzci-cüce
trp_a3_dwarf_scout_pl|İzci-cüceler
trp_a4_dwarf_bowman|Okçu-cüce
trp_a4_dwarf_bowman_pl|Yaylı Cüceler
trp_i6_dwarf_longaxeman|Uzun Baltalı Cüce
trp_i6_dwarf_longaxeman_pl|Uzun Baltalı Cüceler
trp_i3_iron_hills_warrior|Demir Tepe Savaşçısı
trp_i3_iron_hills_warrior_pl|Demir Tepe Savaşçıları
trp_i2_iron_hills_miner|Demir Tepe Madencisi
trp_i2_iron_hills_miner_pl|Demir Tepe Madencileri
trp_i4_iron_hills_infantry|Demir Tepe Piyadeleri
trp_i4_iron_hills_infantry_pl|Demir Tepe Piyadeleri
trp_i5_iron_hills_battle_dwarf|Demir Tepe Savaş Cücesi
trp_i5_iron_hills_battle_dwarf_pl|Demir Tepe Savaş Cüceleri
trp_i6_iron_hills_grors_guard|Gror'un Koruması
trp_i6_iron_hills_grors_guard_pl|Gror'un Korumaları
trp_i1_gon_levy|Gondor Acemisi
trp_i1_gon_levy_pl|Gondor Acemileri
trp_i2_gon_watchman|Gondor Gözcüsü
trp_i2_gon_watchman_pl|Gondor Gözcüleri
trp_i3_gon_footman|Gondor Piyade Eri
trp_i3_gon_footman_pl|Gondor Piyade Erleri
trp_i4_gon_spearman|Gondor Mızrakçısı
trp_i4_gon_spearman_pl|Gondor Mızrakçıları
trp_i5_gon_vet_spearman|Kıdemli Gondor Mızrakçısı
trp_i5_gon_vet_spearman_pl|Kıdemli Gondor Mızrakçıları
trp_i6_gon_tower_spearman|Pınarmahkeme Gardiyanı
trp_i6_gon_tower_spearman_pl|Pınarmahkeme Gardiyanları
trp_i4_gon_swordsman|Gondor Kılıç Ustası
trp_i4_gon_swordsman_pl|Gondor Kılıç Ustaları
trp_i5_gon_vet_swordsman|Kıdemli Gondor Kılıç Ustası
trp_i5_gon_vet_swordsman_pl|Kıdemli Gondor Kılıç Ustaları
trp_i6_gon_tower_swordsman|Hisar Kılıç Ustası
trp_i6_gon_tower_swordsman_pl|Hisar Kılıç Ustaları
trp_c1_gon_nobleman|Gondor Soylusu
trp_c1_gon_nobleman_pl|Gondor Soyluları
trp_c2_gon_squire|Gondor Kavalyesi
trp_c2_gon_squire_pl|Gondor Kavalyeleri
trp_c3_gon_vet_squire|Kıdemli Gondor Kavalyesi
trp_c3_gon_vet_squire_pl|Kıdemli Gondor Kavalyeleri
trp_c4_gon_knight|Gondor Şövalyesi
trp_c4_gon_knight_pl|Gondor Şövalyeleri
trp_c5_gon_vet_knight|Kıdemli Gondor Şövalyesi
trp_c5_gon_vet_knight_pl|Kıdemli Gondor Şövalyeleri
trp_c6_gon_tower_knight|Hisar Şövalyesi
trp_c6_gon_tower_knight_pl|Hisar Şövalyeleri
trp_a3_gon_bowman|Gondor Okçusu
trp_a3_gon_bowman_pl|Gondor Okçuları
trp_a4_gon_archer|Gondor Nişancısı
trp_a4_gon_archer_pl|Gondor Nişancıları
trp_a5_gon_vet_archer|Kıdemli Gondor Nişancısı
trp_a5_gon_vet_archer_pl|Kıdemli Gondor Nişancıları
trp_a6_gon_tower_archer|Hisar Kılıç Ustaları
trp_a6_gon_tower_archer_pl|Hisar Kılıç Ustaları
trp_steward_guard|Vekilharç Koruması
trp_steward_guard_pl|Vekilharç Korumaları
trp_a4_ithilien_ranger|Ithilien Okçusu
trp_a4_ithilien_ranger_pl|Ithilien Okçuları
trp_a5_ithilien_vet_ranger|Tecrübeli Ithilien Okçusu
trp_a5_ithilien_vet_ranger_pl|Tecrübeli Ithilien Okçuları
trp_a6_ithilien_master_ranger|Usta Ithilien Okçusu
trp_a6_ithilien_master_ranger_pl|U:sta Ithilien Okçuları
trp_a6_ithilien_leader|Ithilien Okçularının Kaptanı
trp_a6_ithilien_leader_pl|Ithilien Okçularının Kaptanları
trp_i1_loss_woodsman|Lossarnach Oduncusu
trp_i1_loss_woodsman_pl|Lossarnach Oduncuları
trp_i2_loss_axeman|Lossarnach Baltacısı
trp_i2_loss_axeman_pl|Lossarnach Baltacıları
trp_i3_loss_vet_axeman|Tecrübeli Lossarnach Baltacısı
trp_i3_loss_vet_axeman_pl|Tecrübeli Lossarnach Baltacıları
trp_i4_loss_heavy_axeman|Agır Lossarnach Baltacısı
trp_i4_loss_heavy_axeman_pl|Agır Lossarnach Baltacıları
trp_i5_loss_axemaster|Lossarnach Balta Ustası
trp_i5_loss_axemaster_pl|Lossarnach Balta Ustaları
trp_i6_loss_leader|Lossarnach Kaptanı
trp_i6_loss_leader_pl|Lossarnach Kaptanları
trp_i1_pel_watchman|Pelargir Bekçisi
trp_i1_pel_watchman_pl|Pelargir Gözcüleri
trp_a2_pel_marine|Pelargir Denizcisi
trp_a2_pel_marine_pl|Pelargir Denizcileri
trp_a3_pel_vet_marine|Pelargir Kıdemli Denizcisi
trp_a3_pel_vet_marine_pl|Pelagir Kıdemli Deniz Piyadeleri
trp_i2_pel_infantry|Pelargir Piyadesi
trp_i2_pel_infantry_pl|Pelargir Piyadeleri
trp_i3_pel_vet_infantry|Pelargir Kıdemli Piyadesi
trp_i3_pel_vet_infantry_pl|Pelargir Kıdemli Piyadeleri
trp_i6_pel_leader|Pelargir Kaptanı
trp_i6_pel_leader_pl|Pelargir Kaptanları
trp_a6_pel_marine_leader|Pelargir Denizcilerinin Kaptanı
trp_a6_pel_marine_leader_pl|Pelargir Denizcilerinin Kaptanları
trp_i1_lam_clansman|Lamedon klan üyesi
trp_i1_lam_clansman_pl|Lamedon klan üyeleri
trp_i2_lam_footman|Lamedon uşagı
trp_i2_lam_footman_pl|Lamedon uşaklar
trp_i3_lam_veteran|Lamedon tecrübelisi
trp_i3_lam_veteran_pl|Lamedon tecrübelileri
trp_i4_lam_warrior|Lamedon savaşçısı
trp_i4_lam_warrior_pl|Lamedon savaşçıları
trp_i5_lam_champion|Lamedon şampiyonu
trp_i5_lam_champion_pl|Lamedon şampiyonları
trp_c5_lam_knight|Lamedon şövalyesi
trp_c5_lam_knight_pl|Lamedon şövalyeleri
trp_c6_lam_leader|Lamedon kaptanı
trp_c6_lam_leader_pl|Lamedon kaptanları
trp_i1_pinnath_plainsman|Pinnath Gelin Köylüsü
trp_i1_pinnath_plainsman_pl|Pinnath Gelin Köylüleri
trp_c2_pinnath_rider|Pinnath Gelin Binicisi
trp_c2_pinnath_rider_pl|Pinnath Gelin Binicileri
trp_c3_pinnath_knight|Pinnath Gelin Şovalyesi
trp_c3_pinnath_knight_pl|Pinnath Gelin Şovalyeleri
trp_a2_pinnath_bowman|Pinnath Gelin Yay Ustası
trp_a2_pinnath_bowman_pl|Pinnath Gelin Yay Ustaları
trp_a3_pinnath_archer|Pinnath Gelin Okçusu
trp_a3_pinnath_archer_pl|Pinnath Gelin Okçuları
trp_c6_pinnath_leader|Pinnath Gelin Kaptanı
trp_c6_pinnath_leader_pl|Pinnath Gelin Kaptanları
trp_a1_blackroot_hunter|Blackroot Vale Avcısı
trp_a1_blackroot_hunter_pl|Blackroot Vale Avcıları
trp_a2_blackroot_bowman|Blackroot Vale Yay Ustası
trp_a2_blackroot_bowman_pl|Blackroot Vale Yay Ustaları
trp_a3_blackroot_archer|Blackroot Vale  Okçusu
trp_a3_blackroot_archer_pl|Blackroot Vale Okçuları
trp_i2_blackroot_footman|Blackroot Vale Uşagı
trp_i2_blackroot_footman_pl|Blackroot Vale Uşakları
trp_i3_blackroot_spearman|Blackroot Vale Mızrakçısı
trp_i3_blackroot_spearman_pl|Blackroot Vale Mızrakçıları
trp_a5_blackroot_shadow_hunter|Morthond Gölge Avcısı
trp_a5_blackroot_shadow_hunter_pl|Morthond Gölge Avcıları
trp_i1_amroth_recruit|Dol Amroth Askeri
trp_i1_amroth_recruit_pl|Dol Amroth Askerleri
trp_c2_amroth_squire|Dol Amroth Beyi
trp_c2_amroth_squire_pl|Dol Amroth Beyleri
trp_c3_amroth_vet_squire|Dol Amroth Kıdemli Beyi
trp_c3_amroth_vet_squire_pl|Dol Amroth Kıdemli Beyleri
trp_c4_amroth_knight|Dol Amroth Şovalyesi
trp_c4_amroth_knight_pl|Dol Amroth Şovalyeleri
trp_c5_amroth_vet_knight|Dol Amroth Kıdemli Şovalyesi
trp_c5_amroth_vet_knight_pl|Dol Amroth Şovalyeleri
trp_c6_amroth_swan_knight|Dol Amroth Kugu Şovalyesi
trp_c6_amroth_swan_knight_pl|Dol Amroth Kugu Şovalyeleri
trp_c6_amroth_leader|Dol Amroth Kaptanı
trp_c6_amroth_leader_pl|Dol Amroth Kaptanları
trp_lothlorien_scout|Lothlorien İzcisi
trp_lothlorien_scout_pl|Lothlorien İzcileri
trp_lothlorien_veteran_scout|Lothlorien Kıdemli İzcisi
trp_lothlorien_veteran_scout_pl|Lothlorien Kıdemli İzcileri
trp_lothlorien_archer|Lothlorien Okçusu
trp_lothlorien_archer_pl|Lothlorien Okçuları
trp_lothlorien_veteran_archer|Lothlorien Kıdemli Okçusu
trp_lothlorien_veteran_archer_pl|Lothlorien Kıdemli Okçuları
trp_lothlorien_master_archer|Lothlorien Usta Okçusu
trp_lothlorien_master_archer_pl|Lothlorien Usta Okçuları
trp_galadhrim_royal_archer|Galadhrim Kıraliyet Okçusu
trp_galadhrim_royal_archer_pl|Galadhrim Kraliyet Okçuları
trp_galadhrim_royal_marksman|Galadhrim Kraliyet Nişancısı
trp_galadhrim_royal_marksman_pl|Galadhrim Kraliyet Nişancıları
trp_noldorin_mounted_archer|Noldorin Atlı Okçusu
trp_noldorin_mounted_archer_pl|Nolodrin Atlı Okçuları
trp_lothlorien_infantry|Lothlorien Piyadesi
trp_lothlorien_infantry_pl|Lothlorien Piyadesi
trp_lothlorien_veteran_infantry|Lothlorien Kıdemli Piyadesi
trp_lothlorien_veteran_infantry_pl|Lothlorien Kıdemli Piyadesi
trp_lothlorien_elite_infantry|Lothlorien Seçkin Piyadesi
trp_lothlorien_elite_infantry_pl|Lothlorien Seçkin Piyadesi
trp_galadhrim_royal_swordsman|Galadhrim Kraliyet Kılıç Ustası
trp_galadhrim_royal_swordsman_pl|Galadhrim Kraliyet Kılıç Ustası
trp_lothlorien_warden|Lothlorien Gardiyanı
trp_lothlorien_warden_pl|Lothlorien Gardiyanları
trp_lothlorien_veteran_warden|Lothlorien Kıdemli Gardiyanı
trp_lothlorien_veteran_warden_pl|Lothlorien Kıdemli Gardiyanları
trp_galadhrim_royal_warden|Galadhrim Kraliyet Gardiyanı
trp_galadhrim_royal_warden_pl|Galadhrim Kraliyet Gardiyanları
trp_lothlorien_standard_bearer|Lothlorien Bayrak Taşıyıcısı
trp_lothlorien_standard_bearer_pl|Lothlorien Bayrak Taşıyıcıları
trp_a1_greenwood_scout|Greenwood İzcisi
trp_a1_greenwood_scout_pl|Greenwood İzcileri
trp_a2_greenwood_veteran_scout|Greenwood Kıdemli İzcisi
trp_a2_greenwood_veteran_scout_pl|Greenwood Kıdemli İzcileri
trp_a3_greenwood_archer|Greenwood Yay Ustası
trp_a3_greenwood_archer_pl|Greenwood Yay Ustaları
trp_a4_greenwood_veteran_archer|Greenwood Okçusu
trp_a4_greenwood_veteran_archer_pl|Greenwood Okçuları
trp_a5_greenwood_master_archer|Greenwood Kıdemli Okçusu
trp_a5_greenwood_master_archer_pl|Greenwood Kıdemli Okçuları
trp_a6_greenwood_chosen_marksman|Thranduil'in Kraliyet Nişancısı
trp_a6__pl|Thranduil'in Kraliyet Nişancıları
trp_a3_greenwood_sentinel|Greenwood Nöbetçisi
trp_a3_greenwood_sentinel_pl|Greenwood Nöbetçileri
trp_a4_greenwood_vet_sentinel|Greenwood Kıdemli Nöbetçisi
trp_a4_greenwood_vet_sentinel_pl|Greenwood Kıdemli Nöbetçileri
trp_a5_greenwood_vigilant|Greenwood Askeri
trp_a5_greenwood_vigilant_pl|Greenwood Askerleri
trp_i2_greenwood_infantry|Greenwood Piyadesi
trp_i2_greenwood_infantry_pl|Greenwood Piyadeleri
trp_i3_greenwood_vet_infantry|Greenwood Kıdemli Piyadesi
trp_i3_greenwood_vet_infantry_pl|Greenwood Kıdemli Piyadesi
trp_i4_greenwood_elite_infantry|Greenwood Seçkin Piyadesi
trp_i4_greenwood_elite_infantry_pl|Greenwood Seçkin Piyadesi
trp_i5_greenwood_chosen_shieldmaster|Thranduil'in Kraliyet Kılıç Ustası
trp_i5_greenwood_chosen_shieldmaster_pl|Thranduil'in Kraliyet Kılıç Ustaları
trp_i5_greenwood_chosen_spearmaster|Thranduil'in Kraliyet Mızrakçısı
trp_i5_greenwood_chosen_spearmaster_pl|Thranduil'in Kraliyet Mızrakçıları
trp_i5_greenwood_standard_bearer|Greenwood Bayrak Taşıyıcısı
trp_i5_greenwood_standard_bearer_pl|Greenwood Bayrak Taşıyıcıları
trp_rivendell_scout|Ayrıkvadi Gözcüsü
trp_rivendell_scout_pl|Ayrıkvadi Gözcüleri
trp_rivendell_veteran_scout|Ayrıkvadi Kıdemli İzcisi
trp_rivendell_veteran_scout_pl|Ayrıkvadi Kıdemli İzcileri
trp_rivendell_sentinel|Ayrıkvadi Nöbetçisi
trp_rivendell_sentinel_pl|Ayrıkvadi Nöbetçileri
trp_rivendell_veteran_sentinel|Ayrıkvadi Kıdemli Nöbetçisi
trp_rivendell_veteran_sentinel_pl|Ayrıkvadi Kıdemli Nöbetçileri
trp_rivendell_elite_sentinel|Ayrıkvadi seçkin Nöbetçisi
trp_rivendell_elite_sentinel_pl|Ayrıkvadi Seçkin Nöbetçileri
trp_rivendell_guardian|Ayrıkvadi Koruyucusu
trp_rivendell_guardian_pl|Ayrıkvadi Koruyucuları
trp_rivendell_infantry|Ayrıkvadi Piyadesi
trp_rivendell_infantry_pl|Ayrıkvadi Piyadesi
trp_rivendell_veteran_infantry|Ayrıkvadi Kıdemli Piyadesi
trp_rivendell_veteran_infantry_pl|Ayrıkvadi Kıdemli Piyadesi
trp_rivendell_elite_infantry|Ayrıkvadi Seçkin Piyadesi
trp_rivendell_elite_infantry_pl|Ayrıkvadi Seçkin Piyadesi
trp_rivendell_royal_infantry|Ayrıkvadi Kraliyet Piyadesi
trp_rivendell_royal_infantry_pl|Ayrıkvadi Kraliyet Piyadesi
trp_rivendell_cavalry|Ayrıkvadi Süvarisi
trp_rivendell_cavalry_pl|Ayrıkvadi Süvarisi
trp_knight_of_rivendell|Ayrıkvadi Şovalyesi
trp_knight_of_rivendell_pl|Ayrıkvadi Şovalyeleri
trp_rivendell_standard_bearer|Ayrıkvadi Bayrak Taşıyıcısı
trp_rivendell_standard_bearer_pl|Ayrıkvadi Bayrak Taşıyıcıları
trp_dunedain_scout|Dunedain İzcisi
trp_dunedain_scout_pl|Dunedain İzcileri
trp_dunedain_trained_scout|Dunedain İz Sürücü
trp_dunedain_trained_scout_pl|Dunedain İz Sürücüleri
trp_arnor_man_at_arms|Arnor Askeri
trp_arnor_man_at_arms_pl|Arnor Askerleri
trp_arnor_master_at_arms|Arnor Usta Askeri
trp_arnor_master_at_arms_pl|Arnor Usta Askerleri
trp_high_swordsman_of_arnor|Arnor'un Üstün Kılıç Ustası
trp_high_swordsman_of_arnor_pl|Arnor'un Üstün Kılıç Ustaları
trp_arnor_horsemen|Arnor Atlısı
trp_arnor_horsemen_pl|Arnor Atlıları
trp_knight_of_arnor|Arnor Şovalyesi
trp_knight_of_arnor_pl|Arnor Şovalyeleri
trp_dunedain_ranger|Dunedain Okçusu
trp_dunedain_ranger_pl|Dunedain Okçuları
trp_dunedain_veteran_ranger|Dunedain Kıdemli Okçusu
trp_dunedain_veteran_ranger_pl|Dunedain Kıdemli Okçuları
trp_dunedain_master_ranger|Dunedain Usta Okçusu
trp_dunedain_master_ranger_pl|Dunedain Usta Okçuları
trp_i1_rohan_youth|Rohan Genci
trp_i1_rohan_youth_pl|Rohan Gençleri
trp_i2_guardsman_of_rohan|Rohan Koruyucusu
trp_i2_guardsman_of_rohan_pl|Rohan Koruyucuları
trp_i3_footman_of_rohan|Rohan Eri
trp_i3_footman_of_rohan_pl|Rohan Erleri
trp_i4_veteran_footman_of_rohan|Kıdemli Rohan Eri
trp_i4_veteran_footman_of_rohan_pl|Kıdemli Rohan Erleri
trp_i5_elite_footman_of_rohan|Seçkin Rohan Eri
trp_i5_elite_footman_of_rohan_pl|Seçkin Rohan Erleri
trp_i6_footman_guard_of_rohan|Folcwine Rohan Muhafızı
trp_i6_footman_guard_of_rohan_pl|Folcwine Rohan Muhafızları
trp_i6_frealaf_raider|Frealaf Akıncısı
trp_i6_frealaf_raider_pl|Frealaf Akıncıları
trp_i5_raider_of_rohan|Rohan Akıncısı
trp_i5_raider_of_rohan_pl|Rohan Akıncıları
trp_i6_warden_of_methuseld|Altın Konak Gözcüsü
trp_i6_warden_of_methuseld_pl|Altın Konak Gözcüleri
trp_ac3_skirmisher_of_rohan|Rohan Çatışmacısı
trp_ac3_skirmisher_of_rohan_pl|Rohan Çatışmacıları 
trp_ac4_veteran_skirmisher_of_rohan|Kıdemli Rohan Çatışmacısı 
trp_ac4_veteran_skirmisher_of_rohan_pl|Kıdemli Rohan Çatışmacıları 
trp_ac5_elite_skirmisher_of_rohan|Seçkin Rohan Çatışmacısı 
trp_ac5_elite_skirmisher_of_rohan_pl|Seçkin Rohan Çatışmacısı 
trp_ac6_skirmisher_guard_of_rohan|Rohan Thengel Muhafızı 
trp_ac6_skirmisher_guard_of_rohan_pl|Rohan Thengel Muhafızları 
trp_c4_lancer_of_rohan|Rohan Mızraklı Süvarisi
trp_c4_lancer_of_rohan_pl|Rohan Mızraklı Süvarileri
trp_c5_elite_lancer_of_rohan|Seçkin Rohan Mızraklı Süvarisi
trp_c5_elite_lancer_of_rohan_pl|Seçkin Rohan Mızraklı Süvarileri
trp_c6_lancer_guard_of_rohan|Rohan Brego Muhafızı
trp_c6_lancer_guard_of_rohan_pl|Rohan Brego Muhafızları
trp_c6_king_s_man_of_rohan|Kral'ın Muhafızı
trp_c6_king_s_man_of_rohan_pl|Kral'ın Muhafızları
trp_c2_squire_of_rohan|Rohan Beyi
trp_c2_squire_of_rohan_pl|Rohan Beyleri
trp_c3_rider_of_rohan|Rohan Atlısı
trp_c3_rider_of_rohan_pl|Rohan Atlıları
trp_c4_veteran_rider_of_rohan|Kıdemli Rohan Atlısı
trp_c4_veteran_rider_of_rohan_pl|Kıdemli Rohan Atlıları
