qstr_Gate_is_breached!|Kapı açıldı!
qstr_1H_Weapons^2H_Weapon|1H silahlar^2H elli silahlar^Gönderliler^Okçuluk^Arbalet^Fırlatmalılar
qstr_Equipment|Ekipman
qstr_The_Last_Days_Mod_Op|The Last Days Mod Ayarları
qstr_War_Starts_at_Level:|Savaş Şu Level'e ulaşıldığında Başlayacak:
qstr_Restrict_Player_Equi|Oyuncu ekipmanını kısıtla:
qstr_Battle_Formations_an|Savaş Formasyonları ve AI:
qstr_Native|Yerli
qstr_TLD_FormAI__Original|TLD FormAI (Original)
; qstr_TLD_New_FormAI|TLD New FormAI
qstr_Advanced_Siege_AI:__|Gelişmiş Kuşatma Yapay Zekası
qstr_On|Açık
qstr_Town_NPCs_Always_Acc|Şehir NPC'leri Her zaman menüden erişilebilsin:
qstr_Cutscenes:__|Ara sahneler:
qstr_Injuries_for_compani|Yoldaşlar için Yaralanma:
qstr_Permanent_death_for_|Lordlar ve Yoldaşlar için kalıcı ölüm:
qstr_Permanent_death_for_p|Oyuncu için kalıcı ölüm (bu SENSİN ! ):
qstr_Battle_morale_system|Savaş moral sistemi:
qstr_Animal_ambushes:__|Hayvan Pusuları:
qstr_Fallen_rider_damage_|Düşmüş süvari Hasar mesajları:
qstr_No_Messages|Mesaj yok
qstr_Player_damage_only|Sadece Oyuncu hasarı
qstr_All_Messages|Tüm Mesajlar
qstr_Troop_Identifier_in_|Savaşlarda Asker isimleri (Göstermek/saklamak için savaş Alanında Y tuşuna basın):
qstr_Disable|Devre Dışı
qstr_Enable_without_Facti|Tarafların Adları Olmadan etkinleştir.
qstr_Enable_with_Faction_|Tarafların adlarıyla Etkinleştir
qstr_Simple:_Red___Enemy_|Basit: Kırmızı - Düşman / Yeşil - Müttefik
qstr_Preferred_Camera_Mod|Tercih edilen Kamera Modu
qstr_Default_Camera|Varsayılan Kamera
qstr_Free_Mode_Custom_Cam|Serbest-mod Özel Kamera
qstr_Fixed_Over_The_Shoul|Sabit Omuz Kamerası
qstr_Prevent_AI_from_taki|Yapay zekanın savunma yapmasını önleyin:
qstr_Brighter_Nights:__|Daha Aydınlık Geceler:
qstr_Done|Tamam
qstr_Gameplay_Tweaks|Oyun Ayarı
qstr_Beta_Formations_Twea|Eğitimin İnce Ayarları Betada
qstr_War_Will_Start_at_Le|Savaşın Başlayacağı seviye{reg0}
qstr_Troop_Tree|Birlik Ağacı
qstr__Click_on_a_unit_for|(Detaylar için birime tıklayın)
qstr_Weapons|Silahlar
qstr_Armors|Zırhlar
qstr_Others|Diğerleri
qstr_F4___Complex_formati|F4 - Gelişmiş Formasyonlar
qstr_F7___Memorize_div._p|F7 - Birlik yerleşimini belirleme
qstr_F8___Default_divisio|F8 - Varsayılan bölük yerleşimi
qstr_F4___Ranks|F4 - Rütbeler
qstr_F5___Shield_Wall|F5 - Kalkan duvar
qstr_F6___Wedge|F6 - Kama
qstr_F7___Square|F7 - Kare
qstr_F8___No_Formation|F8 - Formasyon yok
qstr_Extended_Formations_|Gelişmiş Formasyonlar ve AI ayarları
qstr_Put_player_in_divisi|Oyuncuyu şu bölümde say:
qstr_None|Hiçbiri
qstr_Army_rotates_to_face|Savaşta ordu düşmana göre dönsün:
qstr_Prevent_AI_from_takin|Yapay zekanın savunma yapmasını önleyin:
qstr_AI_Controls_Troops_W|Oyuncu ölünce yapay zeka birliğin kontrolünü alır:
qstr_You_gained_{reg0}_Re|{s0} kadar Kaynak Puanın {reg0} kadarını topladın
qstr_You_lost_{reg0}_Reso|{s0} kadar Kaynak Puanın {reg0} kadarını kaybettin
qstr_{s24}:|{s24}:
qstr_Great_Hope_of_{s5}|{s5}'in Büyük Umudu
qstr_Hope_of_{s5}|Umuyorum
qstr_Indispensable_Ally_o|{s5}'in Vazgeçilmez Müttefiği
qstr_Faithful_Ally_of_{s5|{s5}'in sadık müttefiki
qstr_Trusted_Friend_of_{s|{s5}'in güvenilir arkadaşı
qstr_Close_Friend_of_{s5}|{s5}'in yakın arkadaşı
qstr_Friend_of_{s5}|{s5}'in arkadaşı
qstr_Familiar_to_{s5}|{s5}'e benzer
qstr_Known_to_{s5}|{s5} olarak Biliniyor
qstr_Stranger_to_{s5}|{s5}'e yabancı
qstr_Great_Enforcer_of_{s|{s5}'in Büyük Kanun Uygulayıcısı
qstr_Enforcer_of_{s5}|{s5}'in Kiralık Katili 
qstr_Important_Ally_of_{s|{s5}'in Sadık Müttefiği
qstr_Ally_of_{s5}|{s5}'in müttefiki
qstr_Accomplice_of_{s5}|{s5}'in Suç Ortağı
qstr_Useful_Tool_of_{s5}|{s5}'in Kullanışlı Aracı
qstr_Servant_of_{s5}|{s5}'in Hizmetkarı
qstr_Unknown_to_{s5}|{s5}'in Bilinmeyeni
qstr_You_have_been_{reg1?|{reg1?promoted:demoted} {s24} ({reg0}) seviye oldun!
qstr_You_{reg1?earned:los|Sen {reg11} rütbe puanı {reg1?kazandın:kaybettin}  {reg12?ve {reg12} etkisi :}{s11} ile.
qstr_You_spent_{reg10}_of|Kararların sonucunda {reg10} ikna gücünü {s1} ile harcadın kalan puanın {reg11}
qstr_Troop_upkeep:|Asker bakımı:
qstr_{s11}_and_{s10}|{s11} ve {s10}
qstr_their|onların
qstr_its|onun
qstr_[no_upkeep_costs]|[bakım maliyeti yok]
qstr_Short_of_Resource_Po|Kaynak Puanı Azlığı!!
qstr_{s10}_will_soon_reas|{s10} yakında yeniden atanacak {s12}  birliklerinin bir kısmını partinizden ayrılacak!
qstr_Superior_orders_from|Birlikleri yeniden atamak için {s11}'den gelen üstün emirler:
qstr_{reg12}_{s10}_left_t|{reg12} {s10} takımdan ayrıldı!
qstr_Fangorn_claimed_{reg|Fangorn ele gecirildi birliklerinden {reg0} ölü {reg1} yaralı var!
qstr_You_were_wounded_in_|Sen Fangorn'da yaralandın!
qstr_{s1}_of_{s3}_was_def|{s3}'ün {s1}'i savaşta yenildi.
qstr_{s2}_have_razed_{s1}|{s2} {s1}'i yerle bir etti!
qstr_Left_for_dead_but_mi|Ölüme terk edildin ama şans eseri hayattasın: {reg1?{reg1} time{reg2?s:}:NEVER}
qstr_1_Res.Pt__{s2}_|1 Kay.Pn ({s2})
qstr_{reg1}_Res.Pts__{s2}|{reg1} Kay.Pnları ({s2})
qstr_+30_to_Party_Morale|Parti Moraline +30
qstr_+20_to_Party_Morale|Parti Moraline +20
qstr_+1_to_Riding_Skill|Biniş Becerisine +1
qstr_+1_to_Pathfinding|Yol bulma Becerisine +1
qstr_+1_to_Athletics|Atletizm Becerisine +1
qstr_Use_from|Kullanmak
qstr_Action_Menu|Aksiyon Menüsü
qstr_+1_to_First_Aid|+1 İlkyardıma 
qstr_+1_to_Weapon_Mastery|+1 Silah ustalığına 
qstr_+1_to_Wound_Treatmen|+1 Yara bakımına 
qstr_+1_to_Tactics|+1 Taktiğe
qstr_+1_to_Power_Strike|+1 Güçlü Saldırı
qstr_when_equipped|Kullanıldığında
qstr_+1_to_Strength|+1 Güce 
qstr_+1_to_Agility|+1 Çeviklik
qstr_+1_to_Leadership|+1 Liderliğe 
qstr_+1_to_Wildcraft|Yaban Ustası'na +1
qstr_+1_to_Power_Draw|+1 Güçlü Vuruşa
qstr_Turns_nature_to_your|Doğayı sizin tarafınıza çevirir (efektler Wildraft ile şekillenir)
qstr_+1_to_Trainer|Talimciliğe +1
qstr_Recruits_Tribal_Orcs|Kabile Orklarını Topla
qstr_rally|toparla
qstr_rallies|toparlamak
qstr_+{reg1}_{s3}_in_batt|+{reg1} {s3} Savaşta
qstr_+1_to_Charisma|Karizmaya +1
qstr_+1_to_Surgery|Cerrahlığa +1
qstr_+1_to_Ironflesh|Demirvücuda +1
qstr_+1_to_Prisoner_Mgmt|Esir yönetimine +1
qstr_+2_to_Tactics|Taktik becerisine +2
qstr_+3_to_Spotting|Tespit etmeye +3
qstr_Less_Dunnish_upkeep|Dunnishlere daha az bakım
qstr_Less_Wargs_upkeep|Warglara daha az bakım
qstr_Light_Armor|Hafif Zırh
qstr_+{reg1}_to_Party_Mor|Grup moraline +{reg1}
qstr_Shoot_Speed:_{reg55}|Atış Hızı: {reg55}
qstr_Do_you_want_to_disem|Karaya çıkmak istiyor musun?
qstr_Move_here|Buraya git
qstr_View_notes|Notlara bak
qstr_Looted_your_items|Eşyalarını yağmaladı
qstr_nothing|Hiçbir şey
qstr_Good|İyi
qstr_Med|İdare eder
qstr_Bad|Kötü
qstr_{reg4}_killed_{reg5}|{reg4} ölü, {reg5} yaralı, {reg6} kaçak
qstr_{reg4}_killed_{reg5}_|{reg4} ölü, {reg5} yaralı
qstr_{reg4}_killed_{reg5}_r|{reg4} ölü, {reg5} kaçak
qstr_{reg4}_wounded_{reg5|{reg4} yaralı, {reg5} kaçak
qstr_killed|Öldürüldü
qstr_routed|yönlendirilmiş
qstr_wounded|yaralı
qstr_{s0}^TOTAL:_{reg3}__|{s0}^TOPLAM: {reg3} ({s2})
qstr_^None|^Yok
qstr_near_the_Great_East_|Büyük Doğu Yolunun yakınında, terkedilmiş eski yol
qstr_near_what_is_left_of|Yaşlı Orman Yolu'ndan kalanların yakınında, sisli ormanı geçmek için kullanılan antik cüce yolu
qstr_close_to_the_Hand_sh|Saruman'ın el şeklindeki simgesine yakın, Orthanc Kulesi'ne karşı işaret ediyor
qstr_in_sight_of_the_maje|Minas Tirith, görkemli şehir duvarları gözümün önümde, Ak Şehir
qstr_in_sight_of_Edoras_t|Tam Karşımda Edoras. Rohan'ın Başkenti
qstr_in_sight_of_the_Horn|Miğferdibi Tam Karşımda, Rohan'ın Büyük Kalesi
qstr_in_sight_of_Dol_Amro|Dol Amroth Tam karşımda, Belfalas Prensinin ikamet ettiği yer
qstr_in_sight_of_the_Mora|Morannon Tam karşımda, Mordorun Kara kapısı
qstr_in_sight_of_Dol_Guld|Dol Guldur tam karşımda, Sauron'un Kuzeydeki kalesi
qstr_on_the_green_pasture|Yeşil çayırlar ve çok çiçekli alanlar Beorn'un evini çevreliyor
qstr_on_the_shores_of_Lak|Moria Doğu Kapısı yakınında, AynaGölü kıyısında
qstr_on_the_shores_of_the|Long Lake kıyılarında, Esgaroth'un gölünde, Laketown'da
qstr_near_the_coast_of_Go|Gondor kıyısına yakın. Dalgaların uzak seslerini ve martıların çığlıklarını duyabilirsiniz.
qstr_in_the_outskirts_of_|Gondor'un eski başkenti Osgiliath'in eteğinde
qstr_in_sight_of_the_entr|Erebor'un önündeki girişinde, cüce hisarı
qstr_in_sight_of_the_dark|Kara Orthanc Kulesi'nin önünde
qstr_near_the_Old_Ford_wh|Eski Nehir'in yanında, Eski Orman Yoluyla Anduin Nehrinin kesiştiği yerde
qstr_near_a_big_ford_cros|{s15} Nehrini geçerken büyük sığlığın yakınında 
qstr_near_a_small_ford_cr|{s15} Nehrini geçerken küçük sığlığın yakınında 
qstr_Battle_Advantage_=_{ = "Savaş avantajı = {reg0}."
qstr_{s9}_wants_you_to_re|{s9} sizden sonraki bildiriye kadar onun ordusunu takip etmenizi istiyor.
qstr__Being_Raided_|(Yağmalanıyor)
qstr__Looted_|(Yağmalanmış)
qstr__Under_Siege_|(Kuşatma Altında)
qstr_{s3}_is_no_longer_un|{s3} artık kuşatma altında değil.
qstr_Enemies_spotted_near|{s1} yakınlarında düşman birliği tespit edildi.
qstr_Your_relation_with_{|{s1} ile ilişkin ilerledi.
qstr_Your_relation_with_{s|{s1} ile ilişkin geriledi.
qstr_{s2}_{reg3?was:is_cu|{s2} {reg3?önceden:şu anda} {s3}'daydı.
qstr_{s2}_{reg3?was:is}_t|{s2} {reg3?:} {s3}'e yolculuk yapıyor ve {reg4?o:o}  {s4} yakınında {reg3?olmalıydı:olmalı}  {reg3?: şu an}.
qstr_{s2}_{reg3?was:is}_i|{s2} {reg3?:} şu an kırsalda ve {reg4?o:o}  {s3} yakınında {reg3?olmalıydı:olmalı} {reg3?: şu an}.
qstr_{s2}_{reg3?was:is}_b|{s2} {reg3?:} {s3} da tutuluyor.
qstr_{s2}_{reg3?was:has_b|{s2} {reg3?:}  {reg4?:} düşmanı tarafından tutuluyor.
qstr_{reg3?{s2}_s_locatio|{reg3?{s2}'nin Lokasyon belirli değil: {s2} nerede bilmiyorum}.
qstr_{s6}_has_joined_your|{s6} grubuna katıldı
qstr_elven|elfler
qstr_dwarven|cüceler
qstr_orc|ork
qstr_uruk|uruk
qstr_uruk_hai|uruk-hai
qstr_trollish|trollce
qstr_man|insan
qstr_riding|binicilik
qstr_marching|yürüyüş
qstr_charging|doldurma
qstr_We_know_this_is_your|Burasının senin toprağın olduğunu biliyoruz, {playername}.^Bize güven,Ortak düşmanımıza karşı savaşmak için buradayız.
qstr_I_trust_you._{s20}_a|Sana güveniyorum. {s20} ve {s21} birbirlerine destek ve dost olmalılar.
qstr_There_is_wisdom_in_y|Sözlerinde bilgelik var , {playername}
qstr_Why_should_I?_Better|Ne yapmalıyım? En iyisi {s20} diyarını terk etmek.
qstr_We_will_go_in_peace_|Görevimizi tamamladığımızda barış içinde gideceğiz, ki, korkarım, sana söyleyemeyiz.
qstr_Is_this_your_land_{p|Burası senin diyarın mı, {playername}? Burası kokuşmuş bir yer.^Ama sakin ol, biz sadece ortak efendimizin emirlerini uygulamak için {s20}'dayız.
qstr_Yes_go_on_do_whateve|Evet,devam et {s22}'nin dediğini yap.
qstr_Of_course.|Tabi ki.
qstr_I_don_t_like_this._W|Bundan hoşlanmadım.Seni {s21}'den buraya onca yolu getirten nedir?
qstr_Do_you_fear_us_{play|Bizden korkuyor musun, {s20}'lı {playername}? Mmm, {s22}'dan ne gizliyorsun?^^Bizi yalnız bırak, ve kimsenin canı yanmasın.
qstr_It_s_a_servant_of_{s|O bir {s22} hizmetkarı.{s23}'dan sakın, {playername}!
qstr_Our_allies_are_you?_|Sen müttefikimiz misin ? Müttefiksen geçebilirsin.
qstr_And_we_shall_not_kil|Ve bizde seni öldürmeyeceğiz,şimdilik.
qstr_This_land_belongs_to|Burası {s20}'a ait... {s23}'ın burda işi yok.
qstr_We_will_stay_as_long|Efendimiz aksini emretmedikçe kalacağız! Şansına dua et senin için gelmedik.
qstr_You_wear_the_colors_|{s20} renklerini giyiyorsun.{s21}'da işin ne?^Çabuk konuş!
qstr_We_are_pursuing_our_|Düşmanlarımızı izliyoruz, ki onlar sizin de düşmanlarınız!
qstr_Maybe._Or_maybe_you_|Belki. Belki de sizler casussunuzdur.^Ait olduğunuz yere dönün, {s20}'nin askerleri.
qstr_We_are_friends_of_{s|Biz {s21}'in arkadaşlarıyız.
qstr_Time_will_tell_if_yo|Zaman doğruyu söyleyip söylemediğini ortaya çıkartacak.Bu günlerde dostu düşmandan ayırmak çok zor.
qstr_What_are_you_doing_h|{s21}'da ne yapıyorsun, {s20} pisliği? Burası bizim mekanımız, senin değil!
qstr_You_dare_question_di|{s23}'ten gelen gelen emri sorgulamaya nasıl cesaret edersin?
qstr_Guess_not._But_I_sti|Belki değil. Ama ben hala senin etrafta olmandan hoşnutsuzum. Seni izliyor olacağım,{s20}'den {playername}
qstr_None_of_your_busines|Bu seni ilgilendirmez,domuz!
qstr_*growls*^You_should_|*homurdanır*^Efendimiz için savaştığına şükretmelisin, yoksa bu suçunla paçayı kurtaramazdın.
qstr_What_are_you_doing_s|Evden bu kadar uzakta ne yapıyorsun, {s22} kölesi? Buralarda, {s23} efendidir!
qstr_Quiet!_I_didn_t_came|Sessiz ol!Senin için gelmedim.Bu sefer.
qstr_And_I_ve_orders_to_l|Ve senin geçişine izin vermem için emir verildi.Bu seferlik.
qstr_None_of_your_business|Seni ilgilendirmez.
qstr_You_slaves_of_{s22}_|Siz {s22} köleleri zayıfsınız! Sizi müttefik olarak saydığımız için şanslısınız...
qstr_Look_whom_we_meet_so|Bak evden bu kadar uzakta kimlerle karşılaştık: {s20} askerleri! Bu iyi haber mi yoksa kötü haber mi?
qstr_{s20}_and_{s21}_figh|{s20} ve {s21} ortak bir payda için savaşıyorlar.Hasım diyarlarda işbirliği yapmalıyız. 
qstr_In_these_dark_times_|Bu karanlık zamanlarda, herkes kendinden sorumludur, {playername} Ama yine de sizin yuvanıza güvenli bir şekilde dönmenizi dilerim.
qstr_Neither_good_nor_bad|Ne iyi ne kötü. Bizim işimiz sadece bizi ilgilendirir.
qstr_Everybody_on_his_way|Herkes kendi yoluna o zaman. 
qstr_What_are_you_trying_|Ne yapmaya çalışıyorsun,{s20} pisliği? Ganimetlerimizi mi çalmaya çalışıyorsun?
qstr_Ha!_Soon_there_will_|Ha! Yakında herkes için iyi ganimetler olacak.
qstr_Yes._Unless_you_get_|Evet.Sen kendini öldürtmediğin müddetçe.
qstr_You_don_t_get_any_sp|Eğer ÖLÜRSEN hiçbir ganimet alamazsın, seni {s21} pisliği.
qstr_Is_that_a_threat?_Be|Bu bir tehdit mi? Size sıra gelmeden etrafta doğramamız gereken düşmalarımız olduğu için minnet duy.
qstr_The_enemy_is_upon_us|Düşman üstümüzde! ^
qstr_They_are_upon_us!_^|Üzerimizdeler! ^
qstr_{playername}_and_{hi|{playername} ve {onun/onun} {s18}'den ayak takımı kapımızda!
qstr_ORCS!_ORCS!|ORKLAR! ORKLAR!
qstr_ORCS!_ORCS!_Fight_fo|ORKLAR! ORKLAR! Hayatınız için savaşın!
qstr_Elven_ghosts!|Elf hayaletleri!
qstr_Here_they_come!_Hold|İşte geliyorlar! Yerinizi koruyun!
qstr_We_are_under_attack!|Saldırı altındayız!
qstr_Horse_people!_The_ho|At insanları! At insanları üstümüze geliyor
qstr_Men_from_the_White_C|Beyaz şehir insanları? Onların ölümlerinin gelmelerine izin ver!
qstr_Death_to_men!|İnsanlara ölüm!
qstr_Kill_the_maggots!|Kurtçukları öldürün!
qstr_Death_to_traitors_of|Göze ihanet edenlere ölüm!
qstr_Death_to_traitors_of_|Beyaz Ele ihanet edenlere ölüm!
qstr_{s14}Kill_them_all!_|{s14} Hepsini öldür! Esir alma!
qstr_Tonight_we_feast_on_|Bu gece {s15}'in etiyle ziyafet çekeceğiz
qstr_Gharr!_Kill!_Kill!_K|Gharr! Öldür! Öldür! Öldür!
qstr_Slaughter_these_half|Şu yarım adamları öldür!
qstr_Fear_no_elven_ghosts|Elf Hayaletlerinden korkma!
qstr_{s14}Double_rations_|{s14} En çok kafa getirene çifte erzak!
qstr_{s14}Double_rations_t|{s14} Bana en çok {s15} kafası getirene çifte erzak!
qstr_{s14}Kill_these_hors|{s14} Bu at hırsızlarını öldürün!
qstr_Kill_them_all!_Take_|Hepsini öldür! Bizim olanı geri al!
qstr_Tonight_there_will_b|Bu gece bir {s16} düşmanı eksilecek.
qstr_Baruk_Khazd!_Khazd_a|Baruk Khazâd! Khazâd ai-mênu!
qstr_{s14}Riders_of_Rohan|{s14}Rohan Süvarileri! Ne için savaştığınızı hatırlayın!
qstr_{s14}More_{s19}heads|{s14} daha {s19} kellesi Morannon'un kapılarını süslemek için!
qstr_The_Wise_Master_shal|Bilge efendi, ona {playername}'ın vücudunu gösterdiğimde çok memnun kalacak!
qstr_{s14}Now_we_will_put|{s14} biz şimdi bu pis şeylerden dolayı acı çekenlere son vereceğiz.
qstr_{s14}Today_we_shall_|{s14} Bugün Imladris'in düşmanlarıyla savaşacağız ve olması gereken de bu!
qstr_All_who_enter_Mirkwo|Kuyutorman'a kötü niyetle girenler asla ayrılamayacaklar!
qstr_Men_of_{s16}_the_ene|{s16}'ın İnsanları, düşman burada! Ülkeniz için savaşın!
qstr_Men_of_{s16}_charge!|{s16}'ın İnsanları, hücum! Ülkeniz için savaşın!
qstr_{s14}Grind_their_bod|{s14}Bedenleri kuma dönüşene kadar ezin.
qstr_{s14}Dwarves_or_men_|{s14}Cüceler ve insanlar, onlar psikopatlık konusunda bize denk değiller!
qstr_{s14}Elves_or_men_th|{s14}Elfler ve insalar, onlar psikopatlık konusunda bize denk değiller!
qstr_{s14}Flesh_to_shatte|{s14}Bedenler parçalayacağız,boğazlar keseceğiz,kan dökeceğiz!
qstr_Put_on_the_masks_of_|Savaş maskelerinizi takın yiğit savaşçılar! Bugün lanet, {s18}'lı düşmanlarınızın üzerine yağıyor !
qstr_They_seek_the_tempes|Fırtınayı arıyorlar, ve görünen o ki alacaklar! Askerler, savaşa hazırlanın!
qstr_Draw_your_weapons_me|Kılıçlarınızı çekin bügün fırtına düşmanlarımız için çakacak!
qstr_Orcs_of_{s16}_get_re| {s16} Orkları Hazır olun! İşte size kesmeniz gereken bir kaç boğaz!
qstr_These_friend_of_elve|Elflerin dostları kılıçlarımızın altında can verecek!
qstr_These_Elves_will_fal|Elfler kılıçlarımızın altında can verecek!
qstr_Raahh!_Draw_your_wea|Raahh! Silahlarınızı çekin {s16}lı pislikler! Bu gece  {s15} bağırsakları üstünde ziyafet çekeceğiz!
qstr_Rha!_{s14}More_{s15}|Rha! {s14}Bilenmiş silahlarımızla can verecek bir kaç {s15} cesedi daha!
qstr_Slaughter_these_puny|Şu lanet  {s18}  hırsızlarını hemen öldürün ! Sonra evlerini ateşe verip ailelerini kılıçtan geçirin !
qstr_Death_to_the_trespas|{s16} diyarına izinsiz girenlere ölüm!
qstr_CHARGE!_Let_s_clear_|HÜCUUUM! Şu  {s17}'dan gelen lanet {s18} {s19} pisliklerini yeryüzünden silelim!
qstr_{s14}Now_that_{s19}s|{s14}Şimdi {s19} pisliği ayı adamların öfkesini tadacak!
qstr_Attack!|Saldırın!
qstr_You_are_attacked_by_|Bir grup goblin tarafından saldırıya uğradın!
qstr_Holding|Tutuluyor
qstr_Following|Takip ediliyor
qstr_Charging|Saldırıyor
