menu_start_game_1|^^^^^^^^^^Za co bojuješ?
mno_camp_troop|Prohlédnout{reg10? vojáky:}{reg12? and:}{reg11? zajatce:}.
mno_camp_action|Použít předmět.
mno_camp_wait_here|Nějakou dobu tady tábořit.
mno_camp_options|Změnit NASTAVENÍ TLD.
mno_Dev_Menu|Menu pro vývojáře
menu_dev_menu|Tohle je Vývojářské nastavení, které vám zpřístupní hodně cheatů/nástrojů se kterými můžete hrát.^^ Nicméně, to povede k některým WIP událostem, spoštěčům a změnám v kampani, které můžou způsobit pády hry^^ Používej je na vlastní nebezpečí! ^^ Také, když nahlašujete bugy, řekněte nám prosím, jestli používáte Vývojářské menu.
mno_Cheat_enable|Zapnout cheaty/modderské nastavení.
menu_game_options|^^^^^^^^Klikni na možnost pro přepnutí:
mno_game_options_war_level_start|Válka začíná na úrovni: {s1}
mno_game_options_restrict_items|Omezené hráčovo vybavení: {s7}
mno_game_options_formations|Bitevní formace a speciální umělá inteligence: {s7}
mno_game_options_siege_ai|Pokročilé obléhací UI: {s7}
mno_game_options_town_menu|NPC ve městech vždy dostupná z Menu: {s7}
mno_game_options_cutscenes|Příběhové filmečky: {s7}
mno_game_options_injuries|Společníci mohou byt zraněni: {s7}.
mno_game_options_death|Velitele všech frakcí a společnici mohou trvale zemřít: {s7}.
mno_game_options_death2|Hráč (TY!) může trvale umřít: {s7}.
mno_game_options_morale|System bitevní morálky: {s7}
mno_game_options_animal_ambushes|Divoká zviřata: {s7}
mno_game_options_horse_ko|Zpráva o zranění spadlého jezdce {s7}
mno_game_options_bright_nights|Světlejší noci: {s7}.
mno_game_options_camera_pref|Preferovaný mód kamery: {s7}.
mno_game_options_tweaks|Úpravy hratelnosti...
mno_game_options_back|Zpět do táborového menu.
mno_game_options_start_back|Zpět.
menu_camp_tweaks|^^^^^^^^Vyber možnost kterou chceš upravit.
mno_tweak_options_compat|Úpravy kompatibility...
mno_tweak_options_strat|Strategické úpravy...
mno_tweak_options_battlefield_ai|Nastavení UI v boji
mno_tweak_options_back|Zpět do menu nastavení.
menu_camp_compat_tweaks|^^^^^^^^Klikni na možnost pro změnu (podrž SHIFT k sníženi):^(tohle slouží k zvýšeni kompatibility s různými počítači a nejedna se o cheaty)
mno_game_options_compat_party|Maximální množství skupin na mapě: {s1}
mno_game_options_compat_back|Zpět do menu úprav.
menu_camp_strat_tweaks|^^^^^^^^Klikni na možnost k přepnutí:^(varování: tohle jsou cheaty!)
mno_strat_tweaks_siege_reqs|Požadovaná síla k dobývání: {s7}
mno_strat_tweaks_siege_relax_rate|Rychlost snižování požadavku na sílu pro dobývání: {reg1}
mno_strat_tweaks_regen_rate|Rychlost obnovy síly frakce: {s7}
mno_strat_tweaks_siege_regen_limit|Síla frakce se regeneruje pomaleji v: {reg1}
mno_strat_tweaks_influence_gain_rate|Nárůst vlivu: {s7}
mno_strat_tweaks_rank_gain_rate|Nárůst úrovně: {s7}
mno_strat_tweaks_back|Zpět do menu úprav.
menu_camp_action|^^^^^^^^^ Který předmět?
mno_camp_drink_water|Vypij Entí vodu!
mno_camp_drink_orc_brew|Poslat kolovat skřetí pálenku!
mno_camp_drink_miruvor|Poslat kolovat Miruvor!
mno_camp_use_athelas|Použít Athelas k ošetření zranění.
mno_camp_use_drums|Hrát na bubny z hlubin.
mno_camp_action_4|Zpět.
menu_assasins_attack_player_won|Vrazi z {s2}, poslání {s3} byli poraženi!
menu_assasins_attack_player_retreat|Utíkáš a jsi stále naživu!
menu_fangorn_danger|^^^^^^Podivné a hrozivé zvuky praskají a skřípou v lese okolo.^Mluví to na tebe stromy? Ve vzduchu visí těžký pocit hněvu a bolesti.^Co rozkážeš?
mno_be_quiet_elf|Mějte respekt ke stromům a jejich nenávisti. Tiše jdete dal.
mno_be_quiet|Složte zbraně a buďte potichu! Musíme se odsud dostat!
mno_be_bold|Pokračujte! Nebojím se pár stromků a starých povídaček!
mno_fight_back|Uvidíme co a jak! Prohledejte okolí! Zapalte pár stromů! (tábor)
menu_fangorn_search_fails|^^^^^^Prohledáte okolní temný a hustý les, ale nenacházíte nic.^Přesto se vám čím dál víc zdá, že vás něco sleduje. Něco hrozivého.
menu_fangorn_killed_player_only|^^^^^^Procházíš se hustým temným lesem.^Z ničeho nic tě něco udeřilo! Možná ti na hlavu spadla těžká větev?^Z bezvědomí se probíráš po několika minutách. Je to nemalé zranění, ale můžeš jít dále.
mno_ow_get_out|Ouva! Musíme zmizet z tohoto prokletého místa!
menu_fangorn_killed_troop_and_player|^^^^^^Procházíš se hustým temným lesem.^Z ničeho nic tě něco udeřilo! Možná ti na hlavu spadla těžká větev?^Z bezvědomí se probíráš po několika minutách, ale zjišťuješ že ne všichni tví vojáci měli takové štěstí.
menu_fangorn_killed_troop_only|^^^^^^^^Procházíš hustým a temným lese. Tví vojáci jsou bázliví.^^Z ničeho nic slyšíš ze zadního voje výkřiky hrůzy! Spěcháš zpátky, ale ty kdo vykřikli nacházíš ležet v kalužích krve.^^Několik dalších jste už nikdy nenašli...
mno_get_out|Musíme zmizet z tohoto prokletého místa!
menu_can_capture_troll|Poražení divocí skřeti stále dýchají!^^Jejich ďábelské oči na tebe shlížejí, plné bolesti a zuřivosti.^I teď když byli poraženi, a leží bezmocně v kaluži jejich krve, stále vypadají velmi nebezpečně...
mno_killit|Doraž to a ujisti se že je to mrtvé.
mno_cageit1|Zamkněte to do klece a táhněte to za sebou.
mno_cageit2|Zavři to do klece s ostatními troly.
mno_cheat_disabable|Vypnout cheaty/nastaveni módu.
menu_drank_ent_water_human|^^^Napil jsi se vody. Chutná čistě a svěže. Má pižmovou vůni.^Cítíš se osvěžen.^^Nicméně, máš také zvláštní nepřirozený pocit. Něco ti říká, že bude lepší nikdy více nepít tuto vodu.
menu_drank_ent_water_orc|^^^Napil jsi se vody. Je to prostě voda. ^Náhle jsi chytil své hrdlo v záchvatu bolesti.^Otráven!^Dusíš se, vyzvracíš černou krev a málem zemřeš.^^Bolí to, ó jak to bolí. 
mno_i_shall_surv|Já... musím... přežít!
menu_end_game|^^^^^Volba je vykonána a ty volíš zanechání života dobrodruha a usídlení se. Prodáš veškeré své zbraně a brnění, posbíráš svůj majetek a vyjedeš vstříc západu slunce....
mno_end_game_bye|Šťastnou cestu.
menu_cattle_herd|Narazil jsi na nějaké lidi.
mno_cattle_drive_away|Rozkázat jim aby tě následovali.
mno_cattle_stop|Přimět je aby zastavili.
mno_leave|Odejít.
menu_simple_encounter|^^^^^{s2}^Máš k dispozici {reg22} jednotek k boji proti jejich {reg11}.^^Bitva se odehrává v {s3}{s4}.^^Jaké jsou tvé rozkazy?
mno_encounter_attack|{reg21?Zaútočte na ně:Připravte se jim čelit}.
mno_encounter_order_attack|Přikaž svým jednotkám, aby {reg21?zaútočili:se jim postavili} bez tebe.
mno_control_allies_menu|Využij vliv, abys velel svým spojencům na bitevním poli.
mno_encounter_hide|Skryj se před nepřítelem...
mno_special_whip|Spěcháte směrem k nim, praskající {s4}.
mno_encounter_attack_bearform|{reg21?Vtrhnout do bitvy v medvědí podobě:Změnit vzhled a čelit jim}.
mno_encounter_leave|uvolnit se.
mno_encounter_retreat|Nechat za sebou nějaké vojáky, aby kryli tvůj ústup.
mno_player_control_allies_simple|Zavel a zaútoč na nepřítele
mno_player_control_allies_back|Jdi zpět...
mno_hide_close|Pokračuj
menu_encounter_retreat_confirm|^^^^^Jako nejzkušenější taktik v družině,   ({reg2}), {reg3?navrhuješ:{s3} navrhuje} plán, který tobě a tvým mužům umožní uprchnout a zachránit si život,   ale budeš muset nechat vzadu {reg4} vojáku, aby zastavili nepřátelské pronásledování.
mno_leave_behind|Vykonat. Obětováním těchto zachráníš zbytek.
mno_dont_leave_behind|Ne. My nikoho neopustíme.
menu_encounter_retreat|^^^^^Přikázal jsi {reg4} svým vojákům zadržet nepřítele, zatímco ustupuješ se zbytkem družiny.
menu_order_attack_begin|^^^^^^          Tvé jednotky se připravují na útok nepřítele.
mno_order_attack_begin|Dát příkaz k zahájení útoku.
mno_call_back|Zavolat je zpět.
menu_order_attack_2|^{s4}^Tvoje ztráty: {s8}^^Ztráty nepřítele: {s9}
mno_order_attack_continue|Rozkaž svým vojákům, aby dál útočili.
mno_order_retreat|Povolej své vojáky zpět.
menu_kingdom_army_quest_report_to_army|{s8} ti poslal zprávu že si přeje aby jsi se připojil k novému tažení. máš sebou vzít nejméně {reg13} jednotek. jestli nemáš dostatek jednotek, máš je co nejdříve naverbovat
mno_reject|Pošli zprávu, že jsi příliš zaneprázdněný.
mno_send_word|Pošli zprávu, že se k němu brzy připojíš.
menu_kingdom_army_quest_messenger|{s8} poslal zprávu, že si s tebou potřebuje promluvit o jedné záležitosti, kterou je potřeba vykonat. Chce tě vidět co nejdříve to bude možné.
menu_kingdom_army_quest_join_siege_order|{s8} poslal zprávu, aby si se připojil k obléhání a přípravám k hlavnímu útoku na {s9}. Musíš dostat své jednotku k {s9} za jakoukoliv cenu.
menu_kingdom_army_follow_failed|Neuposlechl jsi přímý rozkaz a nenásledoval jsi {s8}. Posílá zprávu, že je přesvědčen, že jsi měl mnohem urgentnější úkol, ale jeho trpělivost není nekonečná.
menu_battle_debrief|{s11}^Tvé ztráty:{s8}{s10}^^Nepřátelské ztráty:{s9}
mno_inspect_troll|Prohledat padlého trola
menu_pre_join|^^^^^Dorazil jsi k bitvě mezi {s2} a {s1}. Rozhodl ses...
mno_pre_join_help_attackers|Pomoci {s2}.
mno_pre_join_help_defenders|Přispěchat na pomoc {s1}.
mno_pre_join_help_refugees|Přispěchat na pomoc {s1}.
mno_pre_join_leave|Nezapojit se.
menu_join_battle|^^^Pomáháš {s2} proti {s1}.^ Máš {reg22} připravených vojáků proti {reg11} nepřátelům.^^Bitva se odehrává v {s3}{s4}.
mno_join_attack|Zaútočit na nepřítele.
mno_join_order_attack|Nařiď svým jednotkám, aby zaútočili s tvými spojenci, mezitím co ty zůstaneš vzadu.
mno_control_allies_join_menu|Využij vliv, abys velel svým spojencům na bitevním poli.
mno_join_attack_bearform|Vtrhnout do bitvy v medvědí podobě.
mno_join_leave|Uvolnit se od nepřítele.
mno_player_control_allies_join_menu|Zavel a zaútoč na nepřítele
menu_join_order_attack|{s4}^^Tvoje ztráty:  {s8}^^Spojenecké ztráty:  {s9}^^Nepřátelské ztráty: {s10}
mno_enter|Vstup.
menu_battlefields|^^^^^^^^^Vyber bojové pole...
mno_enter_f1|Pole 1
mno_enter_f2|Pole 2
mno_enter_f3|Pole 3
mno_enter_f4|Pole 4
mno_enter_f5|Pole 5
menu_join_siege_outside|^^^^^^{s1} je obléháno {s2}.
mno_approach_besiegers|Přijeď k obléhacímu táboru.
mno_pass_through_siege|Projdi skrz obléhací linie a vejdi {s1}.
menu_cut_siege_without_fight|Dobyvatelé ti umožnili přístup k branám bez obtíží.
menu_besiegers_camp_with_allies|{s1} zůstává v obležení. Zástavy {s2} vlají nad táborem obléhatelů, kde jsi se svými muži vítán.
mno_talk_to_siege_commander|Požádej o schůzku s velitelem.
mno_join_siege_with_allies|Připoj se k dalšímu útoku.
mno_join_siege_stay_back|Nařiď tvým vojákům, aby se přidali k dalšímu útoku bez tebe.
menu_moria_must_escape|^^Zdá se, že kniha pojednává o posledním pokusu trpaslíků o znovu osídlení Morie. Pokus, který zjevně skončil děsivou smrtí všech zúčastněných. Během pročítání knihy narazíš na slova 'pravostříbro'! Během studování stránek ti najednou dochází, že jde o popis trpasličích slují někde v nižších patrech. Hah!  Nebylo by to skvělé odkrýt dlouho ztracený trpasličí mithril!?  ^Dychtivě následuješ popsaný směr, skrz úzké, klikatící se tunely a dal...  ^...^Po několika hodinách neplodného pátrání chápeš, ze jsi ztracen v Morii a potřebuješ najít cestu ven.
mno_moria_exit_scene|Najdi cestu ven!
menu_castle_outside| Před tebou je {s2}. {s11} {s3} {s4}
mno_moria_enter|Vrať se do hlavní síně Morie skrze tajný vstup
mno_moria_enter_door|Vejdi do Morie.
mno_cheat_steal_book_door|Získat knihu
mno_castle_start_siege|Obléhat {reg6?město:hrad}.
mno_castle_leave|Odejít
menu_castle_besiege|Začínáš obléhat {s1}. {s2} {s3}
mno_siege_request_meeting|Zažádej si o sejití s velitelem hradu.
mno_wait_24_hours|Počkat do zítra.
mno_castle_lead_attack|Veď své vojáky do útoku.
mno_attack_stay_back|Nařiď svým vojákům, aby zaútočili, mezitím co se budeš držet zpátky...
mno_build_ladders|Připravit žebříky na útok na hradby.
mno_lift_siege|Opustit obléhání.
menu_siege_attack_meets_sally|^^^^^^Obránci vyrazili aby se střetli s tvým útokem.
menu_construct_ladders|Jakožto člen skupiny s nejvyššími Inženýrskými dovednostmi ({reg2}), {reg3?odhaduješ:{s3} odhaduje} že bude trvat {reg4} hodin postavit žebříky pro útok.
mno_build_ladders_cont|Udělej to.
menu_castle_attack_walls_simulate|{s4}^^Tvé ztráty: {s8}^^Nepřátelské ztráty: {s9}
menu_castle_attack_walls_with_allies_simulate|{s4}^^Tvé ztráty: {s8}^^Spojenecké ztráty: {s9}^^Nepřátelské ztráty: {s10}
menu_castle_taken_by_friends|Tady není nic k vidění.
menu_castle_taken|{s3} padl a teď máš plnou kontrolu nad {reg2?městem:hradem}. {reg1? Zdá se, že ti nic nebrání v tom, zabrat si ho pro sebe...:} 
menu_castle_taken_2|{s3} padl pod tvým nátlakem a teď máš plnou kontrolu nad tímto hradem. Je čas poslat zprávu {s9}  o tvém vítězství. {s5}
mno_castle_taken_no_claim|Nežádat o odměnu.
menu_siege_started_defender|{s1} zahajuje útok na opevnění {s2}. Máš {reg22} bojeschopných jednotek proti nepřátelským {reg11}. Rozhodneš se...
mno_siege_defender_join_battle|Připojit se k bitvě.
mno_siege_defender_troops_join_battle|Přikaž svým mužům, aby se připojili do bitvy bez tebe.
mno_siege_defender_do_not_join_battle|Nezapojit se.
menu_siege_join_defense|{s4}^^Tvé ztráty: {s8}^^Spojenecké ztráty: {s9}^^Nepřátelské ztráty: {s10}
menu_village_hunt_down_fugitive_defeated|^^^^^Těžký úder od uprchlíka tě posílá k zemi, hlava se ti točí a oči tmavnou. Čas běží. Když znovu otevřeš oči, zjišťuješ, že si pomlácený a zkrvavený, ale naštěstí žádná rána není smrtelná.
menu_town_bandits_succeeded|^^^^^Goblini před tebou padají jako obílí před kosou! Brzy stojíš sám, zatímco většina útočníků leží v bezvědomí, mrtvá nebo umírající. Místní obyvatelé by byli jistě velmi vděční za to, že jsi je zachránil před tímto nebezpečím.
menu_town_brawl_lost|^^^^^^Byl jsi omráčen. Lidé, na které si zaútočil tě rychle prohledají a seberou cennosti, než se vrátí ke svým denním činnostem.
menu_town_brawl_won|^^^^^Porazil si všechny nepřátele a stráže, které byly poslány k potlačení nepokojů. Rychle je prohledáš pro cennosti a zmizíš dokud se vztek neuklidní.^Možná příště ukážou více respektu a ustoupí.
menu_close|Nic.
menu_town|Dorazil jsi do místa {s60}. {s12}{s13}
mno_town_menu_0|Jdi na nějaké místo.
; mno_town_menu_0_door|Inspect...
mno_town_approach|Navštívit {s1}...
mno_town_castle|Jdi do {s1}.
mno_town_castle_door|Dveře do hradu.
mno_town_center|Jdi na hlavní náměstí...
mno_town_center_door|Dveře do centra města.
mno_aw_chamber_door|Otevřít dveře.
mno_trade_with_arms_merchant|Navštiv {s40}.
mno_trade_with_horse_merchant|Navštiv {s41}.
; mno_town_prison_door|To the Training Grounds
mno_dungeon_enter|Hledej ztracená kopí v horách.
mno_dungeon_enter_door|Otevřít dveře.
mno_dwarven_warehouse|Navštivte trpasličí sklad
mno_dwarven_warehouse_door|Vstup do trpasličího skladu
mno_talk_to_castle_commander|Navštívit kasárnu.
mno_speak_with_elder|Promluv si s {s6}.
mno_isengard_underground|Jdi do podzemních jeskyní.
mno_isengard_underground_door|Jdi do podzemních jeskyní
mno_tirith_toplevel|Vyšplhej na horní patro.
mno_tirith_toplevel_door|Jít do Citadely!
mno_erebor_gates|Navštiv Velké Brány.
; mno_erebor_gates_door|Go to the Great Gates
mno_town_leave|Odejít...
mno_town_leave_door|Opustit oblast
menu_player_initiated_siege_result|Zaútočil jsi na centrum pod vlajkou {s2}.
menu_disembark|Přeješ si vystoupit?
mno_disembark_yes|Ano.
mno_disembark_no|Ne.
menu_ship_reembark|Přeješ si nastoupit?
mno_reembark_yes|Ano.
mno_reembark_no|Ne.
menu_center_reports|Název města: {s1}^Příjem z pronájmu: {reg1} denárů^Tarifní příjem: {reg2} denárů^Zásoby jídla: na {reg3} dní
menu_sneak_into_town_suceeded|Přestrojil ses do oděvů  chudého poutníka, oklamal jsi stráže a přišel si do města.
menu_sneak_into_town_caught|Když ses pokoušel vplížit do města, jeden ze stráží tě poznal a vyvolal poplach! Musíš utéct přes bránu než tě všechny ostatní stráže ve městě obklíčí!
mno_sneak_caught_fight|Pokus se probojovat ven!
mno_sneak_caught_surrender|Vzdát se.
menu_sneak_into_town_caught_dispersed_guards|Utíkáte před strážemi a zakrýváte stopy než utečete, snadno se ztrácíte pronásledovatelům v bludišti uliček.
menu_sneak_into_town_caught_ran_away|Našel jsi si cestu zpět k bráně a rychle se stahuješ do bezpečí mimo město.
menu_tld_player_defeated|^^^^^Najednou začneš cítit tříštivou bolest vzadu v hlavě! \\ Třeseš se, když celý svět vedle tebe upadá do temnoty...^Je tohle tvůj konec?
menu_recover_after_death_fangorn|Vzbudil ses. Stále se nacházíš v lese. Každá kost tě bolí. Zázrakem jsi přežil.^^Byla to porážka, alespoň jsi byl schopen vidět, co se stalo. ^Teď už víš, co se v tomto prokletém lese děje^a přežil jsi, abys jsi mohl vyprávět. ^^Bude ti někdo vůbec věřit?  
menu_recover_after_death_moria|^^^^^Nabíráš vědomí. Ležíš na měkké půdě, svěží vánek ti vane po tváři. Jsi venku! ^ Skřeti tě považovali za mrtvého a hodili tě do nějaké kalné jámy. ^ Na povrch tě musel vynést podzemní proud.
mno_whatever|Vstaň!
menu_recover_after_death_default|^^^^^Nabýváš vědomí. Ležíš na místě, kde jsi padli. Nepřátelé tě museli považovat za mrtvého a nechali tě tam. Zdá se však, že žádná z tvých ran nebyla smrtelná a přestože se cítíš strašně, zjišťuješ, že stále můžeš chodit. Vstáváš a snažíš se hledat další přeživší z tvé skupiny.
menu_recover_after_death_town|^^^^Nabýváš vědomí a ocitáš se na okraji města. Jsi živý! Nikdo není v okolí a ty využíváš svou šanci a vlečeš se mimo město. Zdá se, že žádná z tvých ran nebyla smrtelná a přestože se cítíš strašně, můžeš stále chodit.
menu_recover_after_death_town_alone|Nabýváš vědomí a ocitáš se na okraji města. Jsi živý! Nikdo není v okolí a ty využíváš svou šanci a vlečeš se mimo město. Našli tě tví společníci. Zdá se, že žádná z tvých ran nebyla smrtelná a přestože se cítíš strašně, můžeš stále chodit.
menu_notification_center_under_siege|{s1} je obléháno {s2} z {s3}!
menu_notification_one_side_left|^^^^^Válka o Prsten je u konce!^^{s1} porazil všechny své nepřátelé a zvítězil!
menu_notification_total_defeat|^^^^^Válka o Prsten pro tebe končí!^^{s1} byl poražen nepřáteli a ty zůstáváš sám a poražen!
menu_notification_your_faction_collapsed|^^^^^Tvá domovina, {s11}, byla poražena!^Ostatní i nadále bojují ve Valce. S ostatními, kdo zbyli z {s11}, můžeš stále pomoci své straně k vítězství.
menu_notification_faction_defeated|^^^^^{s1} Je poražen!^{s1} zanikl, byl poražen jednotkami {s13}!
menu_ruins|^^^^Přijíždíš k {s1}. Kdysi silné sídlo bylo vypáleno do základu, ačkoliv stále rozpoznáš stopy po opevnění a roztroušené rezavé zbraně.
menu_legendary_place|^^^^Následoval jsi zvěsti a našel {s1}. Nyní můžeš prozkoumat toto místo a přesvědčit se sám, zda jsou fámy pravdivé.
mno_explore|Prozkoumej toto místo.
menu_ring_hunter_lair|^^^^Sledoval jsi stopy Lovců Prstenu skrz Temný hvozd a došel jsi k {s1}. Vidíš je, jak se chystají odejít s truhlou.
mno_attack_lair|Zaútoč na ně hned
mno_leave_bandit_lair|Prozatím odejít.
menu_gondor_reinforcement_event|^^^^^Svítí majáky Gondoru, Minas Tirith žádá o pomoc! ^^ Pánové jižních knížectví nyní pochodují na sever, aby bránili Bílé město před přicházející temnotou.
mno_gondor_reinforcement_event_close|Zavřít
menu_gondor_beacons|Podíváš se nahoru na {s1}, jeden z výstražných majáků Gondoru, který se používal ke spuštění poplachu v severním a jižním Gondoru.
mno_gondor_beacons_close|Odejít...
