qstr_Gate_is_breached!|Brána je proražena!
qstr_no_one|nikdo
qstr_{s11}_and_{s12}|{s11} a {s12}
qstr_{s11}_{s12}|{s11}, {s12}
qstr_{s5}_is_ruled_by_{s6|{s5} vede {s6}.^Patří mu {s8}.^Jeho velitelé jsou: {s10}.^{s5} je ve válce s {s12}.
qstr_{s5}_has_been_defeat|{s5} byl porazen!
qstr_{s5}_has_a_strength_|{s5} má skupinu o velikosti {reg1} mužů.
qstr_no_holdings|žádné državy
qstr_{s57}_and_{s58}|{s57} a {s58}
qstr_{s57}_{s58}|{s57}, {s58}
qstr_{reg3?She:He}|{reg3?She:He}
qstr_{reg6?:{reg4?{s54}_i|{reg6?:{reg4?{s54} je vladař {s56}.^:{s54} slouží {s55} z {s56}.^}}{reg9?{reg3?Ona:On} je {reg3?lady:lord} z {s58}.:}{s59}{reg10?^{reg3?Ona:On} padl na bojišti!:}
qstr_The_last_time_you_sa|Když jsi {reg1?jí:ho} naposledy viděl, {s1}
qstr_The_last_time_you_he|Když jsi o {reg1?ní:něm} naposledy slyšel, {s1}
qstr_The_{s50}|{s50}
qstr_{s50}_belongs_to_{s1|{s50} patří {s1} z {s2}.^
qstr_Current_garrison_con|Současná posádka se skládá z {reg5} mužů.^Jsou zde zásoby na {reg6} dní.
qstr_Very_Poor|Velmi špatný
qstr_Poor|Špatný
qstr_Average|Průměrný
qstr_Rich|Bohatý
qstr_Very_Rich|Velmi bohatý
qstr_Strength|Síla
qstr_Agility|Obratnost
qstr_Intelligence|Inteligence
qstr_Charisma|Charisma
qstr_You_ve_gained_{s6}_f|Dostal jsi {s6} za získání {s7}
qstr_You_ve_lost_{s6}_fro|Ztratil jsi {s6} za ztracení {s7}
qstr_{s50}_Caves|Jeskyně {s50}
qstr_{s50}_Mines|Doly {s50}
qstr_{s50}_Woods|Lesy {s50}
qstr_{s4}_looks_upset.|{s4} vypadá naštvaně.
qstr_your_party|tvoje skupina
qstr_{reg0?One_of_your_pr|{reg0?Jeden z tvých vězňů, :}{s1} z {s3} utekl ze zajetí!
qstr_You_brought_{reg3}_h|Přivedl jsi {reg3} kusů dobytka do {s1}.
; qstr_Log_entry_{reg3}:_ty|Log entry {reg3}: type {reg4}
qstr_Center:_{s4}|Centrum: {s4}
qstr_Troop:_{s4}|Voják: {s4}
qstr_Lord:_{s4}|Lord: {s4}
qstr_Ally_party_is_presen|Je přítomna spojenecká družina
qstr_{s4}_is_present_at_e|{s4} se účastní události
; qstr_Event_#{reg5}_type_{|Event #{reg5}, type {reg6}, time {reg8}: player's kingdom relation to troop object = {reg7}
; qstr_Event_#{reg5}_type_{r|Event #{reg5}, type {reg6}, time {reg8}: player's kingdom relation to center object faction = {reg7}
; qstr_Event_#{reg5}_type_{re|Event #{reg5}, type {reg6}, time {reg8}: player's kingdom relation to faction object = {reg7}
; qstr_Event_#{reg5}_type_{reg|Event #{reg5}, type {reg6}, time {reg8}. No relevant kingdom relation
; qstr_Event_#{reg5}_type_{reg6|Event #{reg5}, type {reg6}, time {reg8}. Player unaffiliated
qstr_Elapsed_hours:_{reg7|Uplynulé hodiny: {reg7}
qstr_Reputation_type:_{s1|Typ reputace: {s15}
; qstr_Entries_up_to_#{reg5|Entries up to #{reg5} skipped
qstr_A_new_location_is_no|Nová lokace je teď dostupná na mapě!
qstr_New_trait_gained:_{s|Získán nový rys: {s5}.
qstr_Gained_permanent_+1_|Získáno permanentně +1 k Síle
qstr_Gained_permanent_+1_t|Získáno permanentně +1 k Obratnosti
qstr_Gained_permanent_+1_to|Získáno permanentně +1 k Charisma
qstr_Gained_permanent_+20|Získáno permanentně +20 k dovednostem zbraní
qstr_Gained_permanent_+2_|Získáno permanentně +2 k Síle
qstr_Gained_permanent_+2_t|Získáno permanentně +2 k Charisma
qstr_Lost_permanent__1_to|Permanentně -1 k Charisma
qstr_Gained_permanent_+1_to_|Získáno permanentně +1 k Síle úderu
qstr_Gained_permanent_+5_|Získáno permanentně +5 k Síle
qstr_Lost_permanent__2_to|Permanentně -2 k Charisma
qstr_Gained_permanent_+2_to|Získáno permanentně +2 k Síle úderu
qstr_Gained_permanent_+10|Získáno permanentně +10 k dovednostem zbraní
qstr_Gained_permanent_+1_to_T|Získáno permanentně +1 k Taktice
qstr_You_have|Máš
qstr_{s1}_has|{s1} má
qstr_{s11}_suffered_a_ser|{s11} utrpěl vážné zranění.
qstr_The_leg_has_been_bad|Noha byla těžce zmrzačená v bitvě.
qstr___2_athletics__1_rid|(-2 kondice, -1 jezdectví, -2 obratnost, -15 boj z blízka)
qstr_The_arm_has_been_bad|Ruka byla těžce zmrzačená v bitvě.
qstr___20_weapon_skill__2|(-20 dovednosti zbraní, -2 síla, -1 síla útoku)
qstr_The_head_has_suffere|Hlava utrpěla silný úder.
qstr___1_intelligence_ski|(-1 inteligenční dovednosti, -15 střelecké dovednosti)
qstr_The_chest_has_suffer|Tělo utrpělo nalomením žeber.
qstr___20_weapon_skill_|(-20 dovednost zbraní)
qstr_{s1}_has_been_killed|{s1} byl zabit.
qstr_You_were_killed.|Byl jsi zabit.
qstr_{s1}_recovered_from_|{s1} se zotavil z vazneho zraneni.
qstr_The_leg_wound_has_he|Zranění nohy bylo vyléčeno.
qstr__+2_athletics_+1_rid|(+2 kondice, +1 jezdectví, +2 obratnost, +15 boj z blízka)
qstr_The_arm_wound_has_he|Zranění paže bylo vyléčeno.
qstr__+20_weapon_skill_+2|(+20 dovednost zbraní, +2 síla, +1 síla útoku)
qstr_The_head_wound_has_h|Zranění hlavy bylo vyléčeno.
qstr__+1_intelligence_ski|(+1 inteligenční dovednosti, +15 střelecké schopnosti)
qstr_The_cracked_ribs_hav|Nalomená žebra byla vyléčena.
qstr__+20_weapon_skill_|(+20 dovednosti zbraní)
qstr_{s1}_has_had_his_hea|{s1} má své zdraví posílené
qstr_News_has_arrived_tha|Dorazily zprávy, že {s1} z {s2} byl zabit v bitvě se silami {s28}!
qstr_{s1}_s_Burial_Mound|Pohřebiště od {s1}
qstr_{s1}_s_Funeral_Pyre|Pohřební hranice od {s1}
qstr_{s1}_is_logged_as_de|{s1} je zaznamenám jako mrtvý
qstr_You_have_been_discov|Byl jsi odhalen dříve než jsi stihl vyšplhat na zeď.
qstr_The_enemy_is_coming_|Nepřátelé přichází v přesile, musíš utéct!
qstr_Scout_this_area_alon|Prozkoumat tuhle oblast sám a potkat se se svými muži za ní!
qstr_Be_stealthy_but_elim|Buď nenápadný, ale eliminuj rychle jakékoliv hrozby!
qstr_You_are_spotted_by_a|Byl jsi spatřen patrolou!
qstr_Eliminate_them_befor|Zneškodni je než se rozezní alarm!
qstr_You_have_reached_the|Přišl jsi k dungeonu!
qstr_Eliminate_the_guards|Zneškodni stráže a osvoboď své muže!
qstr_{s1}_has_been_captur|{s1} byl zajat neprateli.
qstr_Gondor_takes_a_capti|Gondor vzal zajatce
qstr_Rohan_takes_a_captiv|Rohan vzal zajatce
qstr_Mordor_takes_a_capti|Mordor vzal zajatce
qstr_Isengard_takes_a_cap|Železný pas vzal zajatce
qstr_You_were_grievously_|Byl jsi těžce zraněn a tvé tělo dali na hromadu s mrtvými. Ve správný moment se ti podařilo uniknout přes zeď, ale nepřátelé možná viděli tvůj únik. Raději rychle zmiz.
qstr_You_were_grievously_w|Byl jsi těžce raněn v bitvě. Tví muži tě odtáhli pryč, ale to si vyžádalo obrovské ztráty.
qstr_You_were_grievously_wo|Byl jsi těžce raněn v bitvě. Tví muži tě odtáhli pryč, ale to si vyžádalo obrovské ztráty. Bohužel někteří z tvých následovníků byli zajati a odvedení do {s2}.
qstr_You_were_grievously_wou|Byl jsi těžce raněn v bitvě. Tví muži tě odtáhli pryč od bojů, ale bohužel čaroději se podařilo uniknout.
qstr_You_were_grievously_woun|Byl jsi těžce zraněn a tvé tělo dali na hromadu s mrtvými. Ve správný moment se ti podařilo uniknout, ale bohužel čaroději se podařilo uniknout.
qstr_Some_of_your_compani|Někteří z tvých společníků trpí starými ranami.
qstr_Item_you_just_equipp|Předmět, který jsi si právě nasadil není vhodný pro tuto rasu a bude přesunut do tvého inventáře^^Zajisti aby jsi na něho měl místo nebo bude ztracen
qstr_Inappropriate_equipm|Nevhodné vybavení
qstr_The_mount_you_just_e|Oř, na kterého jsi vylezl není vhodný pro tuto rasu. Buď si vědom toho, že pokud to tak necháš, budou s jeho chováním na bojišti problémy.
qstr_Inappropriate_mount|Nevhodné zvíře
qstr_{s24}:_Your_infantry|{s24}: Tvá pěchota se cítí lépe!
qstr_{s24}:_Your_archers_|{s24}: Tví střelci se cítí lépe!
qstr_{s24}:_Your_cavalry_|{s24}: Tvá jízda se cítí lépe!
qstr_Ah_what_a_coincidenc|Ah, jaká náhoda tě to potkala, {playername}! Možná mně neznáš,ale ty mi nejsi neznámý. Jsem na cestě do {s4}, ale zrovna jsem došel do {s3} a narazím na tebe. {s3} na tebe spoléhá v těchto nebezpečných dobách a pokud jsi uvažoval o nějakém rozptýlení, možná to budeš chtít znovu zvážit a zaměřit se na pomoc {s3} pomocí svých nejlepších schopností.
qstr_Who_are_you?|Kdo jste?
qstr_A_friend_of_{s3}_and|Přátelé {s3} a lidé z {s2}. Pospěšte! Mordor přitahuje všechny zlé věci a Temná moc ovládá jejich vůli, aby je všechny shromáždila. Dochází čas pro všechno co je na tomto světě dobré, jestliže nebudeme konat vše pro to abychom se jim postavili!
qstr_What_should_I_do?|Co bych měl dělat?
qstr_Find_{s3}_s_whereabo|Najdi neprodleně místo pobytu {s3} a promluv si s ním. Hodně štěstí!
qstr_Good_to_see_the_Shad|Rád vidím že ze Temnotě ještě nepodařilo tě přemoct, {playername}.
qstr_You_are_the_one_they|Ty jsi ten, kterého nazývají Gandalf nebo Mithrandir.
qstr_That_is_what_some_ca|Takto mne někteří nazývají. V mých časech jsem byl nazýván různě, ale dokud nebude Temnota zastavena, tak brzy nezbude nikdo kdo by mně nazýval jakkoliv.
qstr_What_do_you_mean?|Co myslíš?
qstr_In_spite_of_their_va|I přes jejich statečný odpor, byl {s3} přemožen silami zla. Lidé z {s3} jsou roztroušeni a dobrý {s4} již není více.
qstr_You_bring_dismal_new|Přinášíš ponuré zprávy, čaroději.
qstr_But_I_also_bring_a_m|Ale přináším také zprávy o naději. {s5} a jeho lidé stále pevně odolávají . Jejich válečníci jsou nebojácní a vůdce odhodlaný.
qstr_Help_them_fight_the_|Pomoz jim bojovat s nepřáteli jak nejlépe umíš. Nikdy neustupuj! Buď bdělý! Na tomto světě existují starší a odpornější věci než skřeti.
qstr_Beware_{playername}_|Dej si pozor, {playername}, mocná Temnota se rozpadá. {s3} padl,stejně jako jejich vůdce {s4}.
qstr_What_do_you_want_of_|Co po mně chceš, starý muži?
qstr_Just_know_that_a_Daw|Věz že Úsvit se blíží. Je nevyhnutelný. A ty bys měl být naživu abys to viděl. Zvaž co bys pak měl sám sobě říct.
qstr_Well_met_{playername|Zdravím tě, {playername} z {s24}. Má důvěra v tebe byla správná. Mocné síly Temnoty byly poraženy a tvé činy se na vítězství podílely nemalou měrou!
qstr_Thank_you_Mithrandir|Děkuji ti, Mithrandire!
qstr_The_wizard_Saruman_i|Čaroděj Saruman je pryč a Barad Dur byl zničen na prach společně s Temným Pánem! Všem lidem Středozemě se ulevilo, že hrozba, která málem pohltila všechno dobré a čisté na tomto světě je pryč. Nepřítel je poražen a Král se vrátil!
qstr_It_was_a_long_and_bl|Byla to dlouhá a krvavá válka a spousta tvých blízkých přátel již není mezi námi.
qstr_There_is_much_to_reg|Je spousta toho čeho bychom měli litovat a nad čím truchlit. Je ještě více toho co je třeba znovu vystavět a opravit v následujících dnech. Ale teď pojďme slavit s těmi z našich přátel, kteří jsou stále s námi, to čeho jsme dosáhli v The Last Days Of The Third Age.
qstr_Bagginsssss..._Ssssh|Kraj... Pytlík...
qstr_I..._don_t_know!|Já... nevím!
qstr_It..._beckonsssssss.|On... mně volááááááá...
qstr_Treachery..._Unforgi|Zrada... Neodpustitelná...
qstr_But_I...|Ale já...
qstr_Noone..._oppossssses|Žádný... nepřítelll... Barad Dur... je naživuuu!
qstr_All..._must..._submi|Všichni... se musí... podřídit... a... sloužit...
qstr_I_serve_the_Eye!|Sloužím Velkému Oku!
qstr_I_shall_serve_the_Ey|Budu sloužit Velkému Oku!
qstr_Go_to_{s1}_and_speak|Jdi do {s1} a promluv si s {s9}.
qstr_The_Remnant_Forces_o|Zbývající síly z {s22} se shromáždily aby posílily {s15}!
qstr_The_strength_of_the_|Síla zbývajících spojeneckých sil frakce {s15} se zvýšila
qstr_{s30}_reinforced_by_|{s30} byl posílen {reg65} síl. fr.
qstr_{s1}_has_been_besieg|{s1} je bléháno {s2} z {s3}.
qstr_The_forces_of_{s2}_m|Síly z {s2} pochodují do {s15}!
qstr_Rohan_capital_moved_|Rohanské hlavní město se přesunuto z Edorasu do Helmovy hlásky!
qstr_Dale_capital_moved_f|Dolské hlavní město přesunuto z Dolu do Esgarothu!
qstr_Gundabad_capital_mov|Gundabadské hlavní město přesunuto z Gundabadu do Gobliního města!
qstr_The_hosts_of_{s2}_re|Hordy z {s2} ustupují do svých domovů!
qstr____Ruins_of_{s1}___|   Ruiny {s1}   
qstr_ranks|řady
qstr_shield_wall|štítová hradba
qstr_wedge|klín
qstr_square|čtverec
qstr_up|formace
qstr___Infantry_forming_{|  Pěchota formuje {s1}.
qstr___Not_enough_infantr|  Nedostatek pěchoty ke zformování {s1}, místo toho drží pozici.
qstr___Cavalry_forming_{s|  Jízda formuje {s1}.
qstr___Not_enough_cavalry|  Nedostatek jízdy ke zformování {s1}, místo toho drží pozici.
qstr___Archers_forming_{s|  Lučištníci formují {s1}.
qstr___Not_enough_archers|  Nedostatek lučištníků ke zformování {s1}, místo toho drží pozici.
qstr___Infantry_formation|Formace pěšáků se rozpadla.
qstr___Cavalry_formation_|Formace jízdy se rozpadla.
qstr___Archer_formation_d|Formace lučištníků se rozpadla.
qstr_Division_{reg1}_{s2}|Divize {reg1} {s2} formuje {s1}.
qstr_Not_enough_troops_in|Nedostatek jednotek v divizi {reg1} {s2} pro formaci {s1}.
qstr_Division_{reg1}_{s2}_|Divize {reg1} {s2} je divize {s3} a nemůže zformovat {s1}.
qstr_{s1}:_infantry_forma|{s1}: pěchotní formace se rozpadla.
qstr_{s1}:_archer_formati|{s1}: lučištnická formace se rozpadla.
qstr_{s1}:_skirmisher_for|{s1}: záškodnická formace se rozpadla.
qstr_{s1}:_cavalry_format|{s1}: jízdní formace se rozpadla.
qstr_{s1}:_formation_disa|{s1}: formace se rozpadla.
qstr_Cavalry_formation_di|Formace jízdy se rozpadla.
qstr_The_placement_of_{s1|Umístění divize {reg0} z {s1} zapamatováno.
qstr_The_placement_of_{s1}|Umístění divize {reg0} z {s1} nastaveno na základní.
qstr_Your_party_s_tactica|Dovednost Taktika limituje vzdálenost, kde můžeš nasadit své vojáky!
qstr_...and_attack_enemy_|...a zaútočit na nepřátelskou {s1} divizi!
qstr_{s2}:_returning_afte|{s2}: se vrací po zničení nepřátelské divize z {s1}.
qstr_infantry|pěchota
qstr_archer|lučištník
qstr_cavalry|jízda
qstr_polearm|kopí
qstr_skirmisher|harcovník
qstr_mounted_archer|jízdní střelec
qstr_support|podpora
qstr_bodyguard|bodyguard
qstr_undetermined_type_of|neurčený typ

qstr_{s1}_has_fled_the_ba|{s1} utekl z bitvy!
qstr_Your_troops_are_at_{|Tvé jednotky jsou na {reg1}% soudržnosti (+{reg3}% bonus), nepřátelé na {reg2}%!
qstr_Morale_of_your_troop|Morálka tvých vojáků klesá!
qstr_Morale_of_your_enemi|Morálka tvých nepřátel klesá!
qstr_Your_enemies_flee_in|Tví nepřátelé v hrůze prchají!
qstr_Many_of_your_enemies|Mnoho tvých nepřátel utíká z bitvy.
qstr_Some_of_your_enemies|Někteří s tvých nepřátel utíkají z bitvy.
qstr_A_few_of_your_enemie|Pár nepřátel utíká z bitvy.
qstr_Your_troops_flee_in_|Tví vojáci utíkají ve strachu!
qstr_Many_of_your_troops_|Mnoho tvých vojáků utíká z bitvy.
qstr_Some_of_your_troops_|Několik tvých vojáků utíká z bitvy.
qstr_A_few_of_your_troops|Pár tvých vojáků utíká z bitvy.
qstr_Gained_permanent_+1_to_P|Získáno permanentně +1 k Hledání cest
qstr_Gained_permanent_+1_to_S|Získáno permanentně +1 k Pozorování.
qstr_{s11}_recovered_from|{s11} se zotavil z vážného zranění.
qstr_Volunteers|Dobrovolníci
qstr_Reserves|Rezervy
qstr_have_taken_measure_o|zjistili aktuální Sílu vaší frakce a to jim dodalo odvahy.
qstr_loses_Faction_Streng|frakce ztrácí Sílu po tom co se přerušila zásobovací linie.
qstr_loses_Faction_Strengt|frakce ztrácí Sílu, kvůli zničení jejich tábora.
qstr_gains_Faction_Streng|Síla frakce vzrostla po tom co se začaly šířit zprávy o tvém vítězství.
qstr_Something_wrong_not_|Něco je špatně, nedostatek jednotek pro odstranění
qstr_Raiders|Jezdci
qstr_have_won_the_sea_bat|vyhráli námořní bitvu a demoralizovali tvé jednotky. Nepřítel může teto porážky využít a útočit častěji.
qstr_loses_Faction_Strength|frakce ztrácí Sílu, kvůli ničivému nájezdu.
qstr_loses_Faction_Strength_|frakce ztrácí Sílu, díky tvému úspěchu na moři.
qstr_You_spent_{reg67}_of|Utratil jsi {reg67} bodů vlivu s frakcí {s1}, zbývá ti {reg66}.
qstr_No_Troops_Left.|Nezbývají žádní vojáci.
qstr_avoid_melee|vyhnout se boji z blízka
qstr_stand_and_fight|stát a bojovat
qstr_Everyone|Vsichni
qstr_Shield___{reg31}_|Štít (-{reg31})
qstr_Power_Draw___{reg31}|Síla napnutí (-{reg31})
qstr_Riding___{reg31}_|Jezdectví (-{reg31})
qstr_Horse_Archery___{reg|Střelba z koně (-{reg31})
qstr_Athletics___{reg31}_|Kondice (-{reg31})
qstr_No_Skill_Penalty_Ass|Nebyl přiřazen žádný postih za dovednost
qstr_Inventory|Inventář
qstr_Show_stats|Statistiky
qstr_Show_item_details__|Detaily předmětu
qstr_Troop_detail|Detaily jednotky
qstr_{s1}^|{s1}^
qstr_{s1}Level:_{reg1}^|{s1}Level: {reg1}^
qstr_{s1}Hit_Points:_{reg|{s1}Životy: {reg1}
qstr_{s1}Atributes:_^___S|{s1}Schopnosti: ^   Síla:^
qstr_{s2}^{reg1}^|{s2}^{reg1}^
qstr_{s1}___Agility:|{s1}   Obratnost:
qstr_{s2}{reg1}|{s2}{reg1}
qstr_{s1}Main_skills:_^|{s1}Hlavní schopnosti: ^
qstr_{s1}___Power_Strike:|{s1}   Síla úderu:^
qstr_{s2}{reg1}^|{s2}{reg1}^
qstr_{s1}___Athletics:^|{s1}   Kondice:^
qstr_{s1}___Riding:^|{s1}   Jezdectví:^
qstr_{s2}_^|{s2}-^
qstr_{s1}___Power_Throw:^|{s1}   Síla vrhu:^
qstr_{s1}___Power_Draw:^^|{s1}   Síla napnutí:^^
qstr_{s2}{reg1}^^|{s2}{reg1}^^
qstr_{s2}_^^|{s2}-^^
qstr_{s1}Weapons:^|{s1}Zbraně:^
qstr_{s1}___One_Handed:^|{s1}   Jednoruční:^
qstr_{s1}___Two_Handed:^|{s1}   Obouruční:^
qstr_{s1}___Polearms:^|{s1}   Kopí:^
qstr_{s1}___Archery:^|{s1}   Střelba:^
qstr_{s1}___Crossbow:^|{s1}   Kuše:^
qstr_{s1}___Throwing:^|{s1}   Házení:^
qstr_{s1}___Slings:|{s1}   Praky:
qstr_{s2}_|{s2}-
qstr__Click_on_the_troop_|(Klikni na jednotku abys jí otočil)^^Klikni na část výstroje^(helmu, zbroj, rukavice a boty)^pro zobrazení.
qstr_ready_bows_and_missi|připravit luky a střely
qstr_ready_side_arms|připravit jednoruční zbraně
qstr_ready_two_hander|připravit obouruční zbraně
qstr_ready_polearms|připravit kopí
qstr_shields_up|štíty nahoru
qstr_doff_shields|odložit štíty
qstr_Distance___{reg70}__|Vzdálenost - {reg70} - {s11} Skupina - {s12} Jednotka
qstr_A_golden_mist_from_L|Zlatá mlha z Lórienu pokrývá bojiště. Tví vojáci jsou povzbuzeni z přítomnosti Paní.
qstr_A_golden_mist_from_Lr|Zlatá mlha z Lórienu pokrývá bojiště. Čarodějnice je blízko, sesílá na tebe třes a bodá tvé jednotky.
qstr_Dark_clouds_from_Mor|Temné mraky z Mordoru pokrývají bojiště. Tví lučištníci mají problém vidět nepřátelé a přítomnost  zla děsí tvé muže.
qstr_Dark_clouds_from_Mord|Temné mraky z Mordoru pokrývají bojiště. Přítomnost Temného Pána posiluje tebe i tvé jednotky.
qstr_A_thunderstorm_from_|Bouře z Mlžných hor zuří nad bojištěm. Tví vojáci jsou zpomaleni a ti pověrčiví mezi muži jsou vystrašeni.
qstr_A_thunderstorm_from_t|Bouře z Mlžných hor zuří nad bojištěm. Lučištníci mají potíže v tomto počasí.
qstr_A_poisonous_fog_from|Otrávená mlha z Dol Gulduru přetrvává na bojišti. Ty a tví vojáci se cítíte oslabeni. Mezi muži zavládl strach.
qstr_A_poisonous_fog_from_|Otrávená mlha z Dol Gulduru přetrvává na bojišti. Necítíš se jinak než obvykle, ale slyšíš jak tví nepřátelé trpí a cítíš jejich strach.
qstr_Your_mount_stumbles!|Tvůj kůň zakopl! Vypadá že je chromý.
qstr_Bitten_by_your_own_w|Kousl tě vlastní vrk!
qstr_You_weigh_too_much_f|Vážíš příliš mnoho pro poníka!
qstr_Your_mount_rears_ref|Tvůj kůň se plaší, odmítá poslouchat tvé příkazy!
qstr_Fixed_Custom_Camera|Fixní vlastní kamera
qstr_Press_Ctrl_+_Left_/_|Stiskni Ctrl + Levou/ Ctrl + Pravou šipku k přehození ramen
qstr_Use_+/__to_zoom_in/o|Použij +/- k přiblížení/oddálení
qstr_Use_Up/Down_arrow_ke|Použij šipku Nahoru/Dolů k naklonění nahoru/dolů
qstr_Fixed_Camera___Right|Fixní kamera - Pravé rameno
qstr_Fixed_Camera___Left_|Fixní kamera - Levé rameno
qstr_While_visiting_towns|Když navštěvuješ města, osady a tábory můžeš mluvit s lidmi chodícími okolo. Členové různých frakcí ti řeknou různé věci - někteří ti svěří své myšlenky, jiní ti poví nějaké fámy. Oba vám mohou pouze poskytnout lepší porozumění kultuře a frakci dané osoby nebo by mohli poskytnout stopy k nalezení tajných míst, tipů a triků pro cestování divočinou a bojování ve válce o Prsten.
qstr_Cannot_leave_now.|Teď nemůžeš odejít.
qstr_You_have_found_the_l|Našel jsi místního kováře... (+{reg3} XP)
qstr_You_have_found_the_lo|Našel jsi místního vůdce...(+{reg3} XP)
qstr_You_have_found_the_loc|Našel jsi místního zásobovače...(+{reg3} XP)
qstr_You_look_through_Hen|Díváš se skrze Henneth Annun, Okno Západu slunce. Nádherný výhled obnovuje tvoji víru v Západ a Síly za ním.
qstr__cancelled_the_{reg1|(zrušeno {reg10} bodů zkušenosti získaných za zabití vězňů)
qstr_Forming_ranks.|Formovat řady.
qstr_{reg2?You:Your_mount|{reg2?Ty jsi:Tvůj kůň} obdržel {reg1}b. extra poškození!
qstr_{reg2?You_strike:You|{reg2?Tvůj útok:Útok tvého koně} působí {reg1}b. bonusového poškození!
qstr_Division_Placement|Umisťování divizí
; qstr_Complex_Formations|Complex Formations
qstr_Formations_turned_OF|VYPNOUT formace v menu nastavení
; qstr_Division_{reg1}_{s2}_g|Division {reg1} {s2} goes to its memorized position...
; qstr_Division_{reg1}_{s2}_f|Division {reg1} {s2} forms line (memorized).
; qstr_Division_{reg1}_{s2}_fo|Division {reg1} {s2} forms {reg0} lines (memorized).
; qstr_DEBUG__Health_Regen_|DEBUG (Health Regen): {s1} regains {reg0}% health.  = +{reg1}% STR
qstr_Three_Nazgul_are_cir|Tři Nazgůlové krouží na obloze nad bojištěm!
qstr_Two_Nazgul_are_circl|Dva Nazgůlové krouží na obloze nad bojištěm!
qstr_A_Nazgul_is_circling|Nazgůl krouží na obloze nad bojištěm!
qstr_Some_of_your_human_t|Některé z lidských jednotek nejsou zastrašeny tmou.(Noční jednotky nejsou postiženy penalizací za tmu)
qstr_You_are_filled_with_|Když se díváš na nepřítele, jsi naplněný vztekem (Bersekr aktivní).
qstr_Your_mount_is_scared|Tvůj kůň je vyděšený {reg73?entem:trolem}!
; qstr_Nazgul_sweep!|Nazgul sweep!
qstr_You_and_your_horse_p|Ty i tvůj kůň panikaříte, řev Nazgůla je nesnesitelný!
qstr_Your_horse_panics_th|Tvůj kůň se plaší, křik Nazgůla je nesnesitelný.
qstr_You_cower_in_terror_|V hrůze se krčíš, nazgůlův křik je nesnesitelný.
qstr_knocked_unconscious|byl omráčen
; qstr_Nazgul_diving_attack|Nazgul diving attack on {s11}!
qstr_{s11}_is_{s10}_in_th|{s11} je {s10} útokem Nazgůla!
qstr_Received_{reg66}_dam|Obdržel {reg66} poškození.
qstr_You_yell_for_your_ho|Křičíš si pro svého koně.
qstr_{s1}_s_morale:_{reg1|Morálka {s1}: {reg1}
qstr_You_do_not_need_to_r|Zatím nepotřebuješ seskupit své vojáky.
qstr_You_rally_your_troop|Shromáždil jsi svoje muže!
qstr_{s5}_rallies_{reg65?|{s5} seskupil {reg65?její:jeho} jednotky!
qstr_You_have_killed_{reg|Zabil jsi {reg1} nepřátel v této bitvě!
qstr_Your_bravery_inspire|Tvá udatnost inspiruje tvé jednotky!
qstr_Your_mount_has_falle|Tvůj kůň pod tebou padl k zemi!
qstr_Receive_{reg22}_dama|Obdrženo {reg22} poškození.
qstr_You_have_been_knocke|Byl jsi omráčen jednotkou {s22}.
qstr_{s21}_has_been_knock|{s21} byl sražen z {reg23?svého:svého} koně, když padl.
qstr_{s21}_{reg24?killed:|{s21} {reg24?zabit:omráčen} jednotkou {s22}.
qstr_A_bear_has_been_summ|Medvěd byl přivolán do bitvy!
; qstr_In_The_Last_Days_of_|In The Last Days of the Third Age, your troops will position themselves and hold at the beginning of each battle, instead of blindly charging.^^To order your troops into formation, press 'J' for Ranks, 'K' for Shield-Wall, 'L' for Wedge, ';' for Square. To undo the formation, press 'U'. ^If your troops are fleeing, you can press 'V' to rally them. You get only a limited amount of rallies per battle, and the amount depends on your leadership and charisma.
; qstr_You_can_also_order_y|You can also order your troops to cycle through the type of weapon you want them to use.^^ Press O to cycle between Weapon Order types. Press P to cycle between Shield Order types.
; qstr_The_Last_Days_of_the|The Last Days of the Third Age has implemented a Custom Camera in order to bypass the current camera limitation with regards to shorter races (e.g Orcs and Dwarves).^^Press CTRL + END to cycle through the 2 camera modes: Fixed Position and Free-Mode.^^Fixed position is the optimal position for all races, however it cannot be configured. You can press CTRL+Left/Right Arrow Keys to switch shoulders.^^Free-Mode Camera puts the character in the middle of the screen. You can press CTRL+Up/Down arrow keys to tilt the camera and CTRL+ Numpad +/- to zoom.^^See Info Pages for how to control the different camera modes.
qstr_Battlefield_is_too_s|Bojiště je příliš malé na složité formace UI.
; qstr_You_have_a_clear_per|You have a clear perception of great imminent danger, from all around you!
qstr_New_ent_reached_batt|Nový Ent dorazil na bitevní scénu...
qstr_You_receive_word_tha|Dostal jsi zprávu že vesnice Meddědovců byla napadena. Meddědovci ztrácí Sílu frakce.
qstr_You_receive_word_that|Dostal jsi zprávu že vůdce lovců prstenu byl viděn jak cestuje do Mordoru s hrudníkem v závěsu. Mordorská Síla frakce stoupá.
qstr_Enemy_reinforcements|Nepřátelské posily dorazily
qstr_Yarrrr!!|Yarrrr!!
qstr_Get_all_of_them!|Dostaňte je všechny!
qstr_Kill_them_all!|Zabijte je všechny!
qstr_Toss_them_overboard!|Hoďte je přes palubu!
qstr_It_is_a_good_day_to_|To je dobrý den na smrt!
qstr_All_hands_on_deck!_T|Všichni na palubu! Hoďte je zpátky!
qstr_Ally_reinforcements_|Spojenecké posily dorazily
qstr_Forward_men!|Kupředu, chlapi!
